,TVD_capital,TNT_capital,THT_capital,SPI_capital,SHN_capital,SQC_capital,HGM_capital,NBC_capital,MIC_capital,MDC_capital,LCM_capital,DHM_capital,KSB_capital,BMC_capital,BKC_capital,AMC_capital,HLC_capital,BMJ_capital,ACM_capital,ATG_capital,GLC_capital,BCB_capital,AAH_capital,CST_capital,KCB_capital,D17_capital,HPM_capital,LMC_capital,VBG_capital,MSR_capital,KSV_capital,KHD_capital,MTA_capital,MIM_capital,KSH_capital,MVB_capital,VIM_capital,VDB_capital,CLM_capital,MGC_capital,TMB_capital,YBM_capital,VPG_capital
2016-09-30,0.005486338559334725,0.007338183766749809,0.0022246306542695804,0.00159922100948776,0.04303661901246785,0.31820763644141403,0.009535355269070768,0.004145233578164015,0.00114779255145241,0.0032750347468108757,0.0012519176556415857,0.017083400181113245,0.09369531281063168,0.004612551732126967,0.002570176622391042,0.0016573977994162406,0.0035896067915342925,0.006689049414684379,0.003547722431761994,0.008570184384177993,3.6612202598163e-20,3.6612202598163e-20,3.6612202598163e-20,3.6612202598163e-20,0.000805468457159586,3.6612202598163e-20,0.002532099931688953,3.6612202598163e-20,3.6612202598163e-20,0.36863625915845105,0.0619478467960918,3.6612202598163e-20,0.01697052476050311,0.0003435689091811615,0.0029472823091521213,3.6612202598163e-20,3.6612202598163e-20,3.6612202598163e-20,0.004655607682382407,0.0018979765826887699,3.6612202598163e-20,3.6612202598163e-20,3.6612202598163e-20
2016-12-31,0.005298357268814039,0.004057300611253994,0.0026789852088321795,0.0013662230555019986,0.04820645921550156,0.30730472159121425,0.01081692253943104,0.0048797216327595965,0.0009528910803772997,0.0026255950221394254,0.001382982624039989,0.008615408245233927,0.08259737671737404,0.004287903788479253,0.002937167422892107,0.001476539202840669,0.004319796469536779,0.006905366530526405,0.0034261649606144836,0.002832296367441306,3.535773953162522e-20,3.535773953162522e-20,3.535773953162522e-20,3.535773953162522e-20,0.00037620634861649236,3.535773953162522e-20,0.0025259569121393057,3.535773953162522e-20,3.535773953162522e-20,0.41818984567442785,0.021638936593354634,0.0,0.013041171860146987,0.00031015809117141644,0.004676061053057436,0.02665619983289225,3.535773953162522e-20,3.535773953162522e-20,0.0037843388620698473,0.0018329452173194514,3.535773953162522e-20,3.535773953162522e-20,3.535773953162522e-20
2017-03-31,0.004784984627670837,0.004225478538715004,0.0023847437582869297,0.001296122019019987,0.04177699133852372,0.2915368867471121,0.008296589750009459,0.004182542819658441,0.0008671002637594893,0.002275526022936798,0.0010809738143099923,0.005318997633436836,0.09516702128887126,0.006546892111393504,0.002354755842008361,0.0013463031406673444,0.004524150134402218,0.006269285852868415,0.003079296101087857,0.0011879776766462694,3.354353051293962e-20,3.354353051293962e-20,3.354353051293962e-20,3.354353051293962e-20,0.0006091505141149835,3.354353051293962e-20,0.0024345894446291577,3.354353051293962e-20,0.0025068422093540293,0.43987161146609116,0.020528640673919046,0.0018286591094434162,0.010931702420044969,0.0002737152089855873,0.004397556850246384,0.020991541394997613,0.00018925259915400535,3.354353051293962e-20,0.0034794704201072265,0.00173889662179079,0.0017157515857368617,3.354353051293962e-20,3.354353051293962e-20
2017-06-30,0.004685557383427238,0.006808074830620773,0.0025696477735693054,0.0014016624651278062,0.03961818981433246,0.2900540234086976,0.009007083000911282,0.0039143092984485805,0.0009361102892103562,0.002506773200133572,0.0008620224160536009,0.007471595143279606,0.13732848073338186,0.005565934903190846,0.002381825003242179,0.00140236329636037,0.007332363338410246,0.008234766982625862,0.0032338355445448667,0.0017551483896667043,3.337291583637634e-20,3.337291583637634e-20,3.337291583637634e-20,3.337291583637634e-20,0.0007582326478024704,3.337291583637634e-20,0.00248561477149331,3.337291583637634e-20,0.0024022492277340412,0.40021708414293256,0.017353916234915695,0.0018193578797358924,0.009847279530007892,0.0007477535522298482,0.005277092316627008,0.014156790897790842,0.0002351455649831077,3.337291583637634e-20,0.003461772559707317,0.0017300519569577494,0.0024378915018472913,3.337291583637634e-20,3.337291583637634e-20
2017-09-30,0.004210776715924931,0.006817448016259411,0.0025542580884994905,0.0028202411492706516,0.03581706259573727,0.27018917438994716,0.008950348647338109,0.0042328487090464275,0.0008890971877109858,0.002508062339515626,0.0009100500375192796,0.0049587996715438724,0.11444459000215809,0.004529421687045127,0.0029825169296850335,0.0012684556835724247,0.003347979396074207,0.006952677833271396,0.0030123607513704376,0.0018097790867056904,3.1087314255628877e-20,3.1087314255628877e-20,3.1087314255628877e-20,3.1087314255628877e-20,0.0006117983445507761,3.1087314255628877e-20,0.002339009524593516,0.000690138376474961,0.002237727054748677,0.4298733919387237,0.04706619378302211,0.0003457220218368487,0.008180284785911925,0.0012239697368726199,0.005005057595156248,0.012991388627427304,0.0002509678879856919,3.1087314255628877e-20,0.0029818951833999216,0.0016115663710118007,0.0013849398500882665,3.1087314255628877e-20,3.1087314255628877e-20
2017-12-31,0.003731845870700349,0.0036765592652084926,0.0021600801980994964,0.0015935550994711732,0.03245388785437292,0.23845329758855552,0.007860779654962801,0.00432184067538551,0.0007452851230519943,0.0017631006896462013,0.0006666914191665113,0.00319117539052263,0.08485756788260163,0.0034244089821221014,0.0026318050290756057,0.0011513977619223264,0.002953117771581222,0.004069256771863889,0.002349680733403924,0.001194624299059342,2.7101277201890703e-20,2.7101277201890703e-20,2.7101277201890703e-20,2.7101277201890703e-20,0.00043145233305409995,2.7101277201890703e-20,0.002121487979364004,0.0003861932001269425,0.0019508041355464961,0.5287675992306491,0.039242649388337734,0.0005455487100740597,0.0056991546840627965,0.0011822119141008762,0.003443894800430261,0.007341735993992192,0.00017721525162316332,2.7101277201890703e-20,0.0026770641620027635,0.001404930210146014,0.0013780999457161422,2.7101277201890703e-20,2.7101277201890703e-20
2018-03-31,0.003247318822265431,0.0031056307141843036,0.0020346987703629914,0.0010471973876452865,0.02929966229322707,0.21608515325834463,0.006216727568578844,0.003521584804743959,0.0005274345816894757,0.001528889006522784,0.0005072002731919341,0.0022884907013523,0.06892304139685393,0.002806335563374694,0.0024683938423067466,0.000916345662787961,0.0024357887954386697,0.004103201302552444,0.0013449581833081632,0.0008199210315354577,2.3974299167703443e-20,2.3974299167703443e-20,2.3974299167703443e-20,2.3974299167703443e-20,0.000508255142355313,2.3974299167703443e-20,0.0013756452862428235,0.0005214410068975499,0.001725718002689629,0.5692150723350159,0.03155017770469773,0.00048260264224587025,0.004804018015822751,0.0009732606490120889,0.0023710581876858704,0.018124570170783803,0.00019198618773496917,2.3974299167703443e-20,0.002436747767405378,0.0012428276688537464,0.001308996734556608,2.3974299167703443e-20,0.009939648537733178
2018-06-30,0.0039139296063488245,0.002731974705358716,0.0025292798078643598,0.0005806094250477726,0.037324891610213955,0.253400301945701,0.00860390591742668,0.004358314697047591,0.000760321866133988,0.002064677067543394,0.0005171916693952333,0.002333151326486615,0.0734065417690161,0.003389077118150878,0.002628294450885899,0.0009270742754111012,0.0031382285024680353,0.0054129732856016315,0.001321923244528411,0.0007967251554822214,2.880007068689349e-20,2.880007068689349e-20,2.880007068689349e-20,2.880007068689349e-20,0.00037094491044718813,2.880007068689349e-20,0.001269507115878265,0.0007776019085461241,0.0020730866881839664,0.5134771514783205,0.0380160933066994,0.0003497480584216345,0.004851458307419268,0.0010027032610348838,0.003312008128992751,0.006531856031787443,0.0003167431774144546,2.880007068689349e-20,0.0032091918766405415,0.0015054372949452961,0.0016459240397559626,2.880007068689349e-20,0.011151156969399664
2018-09-30,0.0033841217515543456,0.003148605170196172,0.0023749827427575095,0.0005121914002352523,0.03009490327382276,0.22354004236656208,0.008841704046561044,0.003844738323293687,0.00047509817382932634,0.0017833203752635333,0.0004874964577239099,0.0031910337236878816,0.06371010617148463,0.0032606470389976334,0.002705010832492426,0.000884139917072757,0.0026393609030178284,0.0051219140023525235,0.0011661500630356192,0.0008495873226124424,2.540631945611371e-20,2.540631945611371e-20,2.540631945611371e-20,2.540631945611371e-20,0.0005203214224612087,2.540631945611371e-20,0.001148873765805462,0.0003849057397601226,0.0018287976870899766,0.5635593196655125,0.03353634168207009,0.00030853434347504486,0.0037482959346382795,0.0013147262192149721,0.0027318144995186265,0.004801794377205491,7.959799885600426e-05,2.540631945611371e-20,0.0028142580061537156,0.0013280391306099758,0.0013986178860590595,0.004555912017509222,0.013924695567506803
2018-12-31,0.004328698065759859,0.0035795648539917284,0.0032193433521627976,0.0003288468298019118,0.03551545761860647,0.24603671060332494,0.008752023484585167,0.004635174362922186,0.000768987059485763,0.0023158534651815245,0.00046088889870706727,0.004565825711739469,0.05230342383798367,0.0033426049870069158,0.0029772382626708795,0.0009341934430291046,0.00327431893612458,0.005696096873354543,0.0009982850190415177,0.0006673129886388455,2.79631657994823e-20,7.01316198251016e-05,2.79631657994823e-20,2.79631657994823e-20,0.0005503151029338115,2.79631657994823e-20,0.0012644943574525894,0.00025166849219534067,0.0013948027100781767,0.5308299215940795,0.03926028478247314,0.00047615678723358446,0.005603315089231861,0.0012340704330627526,0.0022510348468583246,0.004756534502491939,9.306141578067708e-05,0.00022868276990816618,0.0029283027225217857,0.0017365125961478504,0.0015393722772615002,0.0037987960738596694,0.017031693172485478
