,JVC_capital,DNM_capital,AMV_capital,TNH_capital,CVN_capital,MEF_capital,MRF_capital,DTH_capital,TTD_capital,YTC_capital
2019-12-31,0.10144673484490188,0.009981480900216581,0.5258839132810301,2.6600258235306954e-19,0.05893606415131078,0.001744976940236136,0.01580906547440763,2.6600258235306954e-19,0.17432638836057823,0.1118713760473187
2020-03-31,0.09623944000733961,0.04052078193331036,0.36354270241587344,4.132665164029614e-19,0.059528975355264566,0.0027110283476034264,0.0245612556028608,4.132665164029614e-19,0.26193988955865616,0.15095592677909173
2020-06-30,0.11891543575515577,0.05376842129916828,0.42057650757961673,3.081708733531734e-19,0.07706552298292148,0.0020216009291968173,0.01676449551041263,3.081708733531734e-19,0.18830842850420332,0.12257958743932501
2020-09-30,0.15267718424729743,0.0597001718670099,0.3704290486732149,2.714261053285288e-19,0.08738509175830916,0.0017805552509551484,0.03495751095747188,2.714261053285288e-19,0.18897445446067093,0.1040959827850707
2020-12-31,0.1637025986999346,0.04530924148461522,0.4149206066648542,2.4252236844434754e-19,0.07779147490220892,0.0015909467369949197,0.0286952466343352,2.4252236844434754e-19,0.16631601974229088,0.10167386513476605
2021-03-31,0.1059372971413459,0.03322710916536801,0.27842425408121557,0.2928136946120742,0.055177553915322294,0.0011948397494042193,0.028548655841709965,1.8214020570186272e-19,0.12831704635613947,0.07635954913742042
2021-06-30,0.09534546239550976,0.03302131180964488,0.2478994015423178,0.34164497907197083,0.05402309878749354,0.0013112499650200084,0.034225223172345415,1.9988566539939154e-19,0.13679615260071237,0.05573312065498534
2021-09-30,0.12498435889977777,0.025958613731350777,0.20884211617565443,0.402836164798924,0.04265439457964481,0.001082908891375324,0.029937808674430376,1.6507757490477501e-19,0.11773860890448248,0.045965025344360075
2021-12-31,0.14824214512988768,0.024543251913694927,0.23419318429515404,0.409112878758275,0.047040226702890854,0.0008516417927111663,0.02215826542377163,1.2982344401084855e-19,0.08121235363542642,0.03264605234818802
2022-03-31,0.1550827510071763,0.03125193135463059,0.1668676615703794,0.4765327632414822,0.03718884369152088,0.0007535872937830196,0.022286425204737947,1.1487611185716764e-19,0.07091210484053473,0.039123931795754865
2022-06-30,0.08986725425025567,0.026144647850052247,0.1689790809400425,0.471526919041817,0.0288291287339864,0.001043876384031301,0.03169374194516498,0.01722157342405298,0.11704463955950961,0.047649137871087315
2022-09-30,0.09372816634662282,0.01769981500441616,0.1474761944518901,0.4884347440162057,0.02662354497238248,0.0011530366080334659,0.026605616659269766,0.019022467515917962,0.12662451169514832,0.05263190273011296
2022-12-31,0.06956627341912482,0.013969009074179086,0.08771280690511028,0.5120394003098323,0.01806442247473667,0.0013299956389929582,0.013869259401254616,0.019630613985593473,0.1618718228867515,0.1019463959044244
2023-03-31,0.06641131421747037,0.018952767365139622,0.09177816577626312,0.5018141073524705,0.017982140465038134,0.0012411915135800732,0.023519065534155094,0.018319873216827834,0.20808878454807384,0.05189259001098152
2023-06-30,0.08186581283655947,0.017341338109785207,0.11251218935689901,0.4892241972725163,0.01964779508077427,0.0011728959480378487,0.022541057616010315,0.017834812624508447,0.1896379649254049,0.04822193622950427
2023-09-30,0.07734468170094927,0.0158779845637107,0.10070652038231608,0.45418640692424544,0.01825161650864859,0.0017322136038300743,0.028272337777811924,0.019156131594462295,0.21423295776433066,0.07023914917969509
2023-12-31,0.0725662953460625,0.01699224967156714,0.09757375712685941,0.41640171937750037,0.018704069972038356,0.0023473121177030073,0.0349989961901025,0.019036128759420734,0.20273906515146073,0.11864040628728502
2024-03-31,0.07054632169795828,0.018213616564931753,0.08824800136469267,0.47447941420247575,0.017361569339904306,0.0021788317812552085,0.03353487822544602,0.02027376401338688,0.20907857203970712,0.06608503077024183
2024-06-30,0.07262928781795489,0.013705754680915783,0.08060698101954611,0.5138643501005644,0.012890172762312664,0.0031140400528482616,0.03332493036811136,0.018038646647596638,0.18985879039978704,0.06196704615036293
2024-09-30,0.07148376197994903,0.012310852382072187,0.07046729599892497,0.5199698611597695,0.010832705440828528,0.004564978475684962,0.025454842131027167,0.01958064779309782,0.18447273826720864,0.0808623163714372
2024-12-31,0.07314146886034043,0.008727787556112553,0.044860100901008795,0.5336889177842841,2.1386394403608315e-19,2.1386394403608315e-19,0.028649213943073692,0.02181412229168048,0.20785008992978846,0.0812682987337116
