,VSH_capital,UIC_capital,TMP_capital,TBC_capital,SMA_capital,SHP_capital,PPC_capital,ND2_capital,SJD_capital,SEB_capital,SBA_capital,REE_capital,NT2_capital,NBP_capital,KHP_capital,CHP_capital,HJS_capital,BTP_capital,DNC_capital,DRL_capital,GHC_capital,GSM_capital,BSA_capital,TTE_capital,BGE_capital,HIO_capital,DNH_capital,BHA_capital,HNA_capital,DTE_capital,AVC_capital,HTE_capital,TDB_capital,GEG_capital,PGV_capital,HPD_capital,HND_capital,PIC_capital,POW_capital,QPH_capital,QTP_capital,SBH_capital,TTA_capital,S4A_capital,SP2_capital,ISH_capital,SVH_capital,VCP_capital,NTH_capital,VPD_capital,DTK_capital,XMP_capital
2016-09-30,0.10740172233536024,0.0051421978181434,0.03595442768976566,0.03224426342362716,0.003001064214281869,0.04170228814429181,0.07329144793658447,0.01370806960623403,0.021368289356620114,0.014176150031812752,0.013375607125387714,0.2188911241586672,0.21453367153258554,0.004447808865376392,0.011182608538656255,0.0620077005916871,0.007600455910334514,0.015322529145529213,0.0032096943468255287,0.006304876160964835,0.016924994123918943,0.009060198151817874,4.179289514095741e-20,4.179289514095741e-20,4.179289514095741e-20,4.179289514095741e-20,4.179289514095741e-20,4.179289514095741e-20,4.179289514095741e-20,4.179289514095741e-20,4.179289514095741e-20,4.179289514095741e-20,4.179289514095741e-20,4.179289514095741e-20,4.179289514095741e-20,0.0016719665630091423,4.179289514095741e-20,0.009226993596325435,4.179289514095741e-20,0.004446429699836741,4.179289514095741e-20,4.179289514095741e-20,4.179289514095741e-20,0.013350907524359407,0.0,0.010024025899558633,4.179289514095741e-20,4.179289514095741e-20,4.179289514095741e-20,0.030428487508437987,4.179289514095741e-20,4.179289514095741e-20
2016-12-31,0.07378193066643234,0.003810234530233267,0.02508976506357056,0.02404967401612851,0.00237504619051207,0.02897757734189687,0.06107805951963929,0.012414728124033318,0.0141321941990724,0.01117668795535092,0.010556809710079483,0.17097397661305508,0.10772013587090376,0.0029779042440005545,0.008673375311133397,0.042819684541186266,0.005965076626047622,0.01017607231069957,0.001977202783256182,0.004842602129303227,0.01511839274009584,0.006201299724776349,2.86053643410906e-20,2.86053643410906e-20,2.86053643410906e-20,2.86053643410906e-20,2.86053643410906e-20,2.86053643410906e-20,2.86053643410906e-20,2.86053643410906e-20,2.86053643410906e-20,2.86053643410906e-20,2.86053643410906e-20,2.86053643410906e-20,2.86053643410906e-20,0.001403178937023517,0.09182321953490082,0.00631546373386164,2.86053643410906e-20,0.003990448325582138,2.86053643410906e-20,2.86053643410906e-20,2.86053643410906e-20,0.00982617149407935,0.0023570820217058653,0.007401638023257192,2.86053643410906e-20,0.01749904558201876,2.86053643410906e-20,0.022107655831011864,0.19238766630515206,2.86053643410906e-20
2017-03-31,0.061932856544437316,0.003443439682348328,0.021396974063282084,0.018485110682879245,0.0023198107292326997,0.023681918086124198,0.051673116733239606,0.01000890628193496,0.01201280209598715,0.006901916219204727,0.010618251315789381,0.16543946746227917,0.10207230645353836,0.002070081468972872,0.007251617066858061,0.03893210796752876,0.004558986326165868,0.00838657065102508,0.0013082063422022033,0.004432817718809082,0.0126192572343658,0.005489908590726495,2.3495085168861412e-20,2.3495085168861412e-20,2.3495085168861412e-20,2.3495085168861412e-20,2.3495085168861412e-20,2.3495085168861412e-20,2.3495085168861412e-20,2.3495085168861412e-20,2.3495085168861412e-20,2.3495085168861412e-20,2.3495085168861412e-20,0.06473664253306341,2.3495085168861412e-20,0.0010725506379585235,0.06425905793683595,0.005789658887310828,2.3495085168861412e-20,0.003496068673126578,0.07358660674887393,2.3495085168861412e-20,2.3495085168861412e-20,0.009538158755491653,0.0024683936478405795,0.00607935328744289,2.3495085168861412e-20,0.01710963791183859,2.3495085168861412e-20,0.0188093663532947,0.1580180749099909,2.3495085168861412e-20
2017-06-30,0.059326155398671754,0.0031313986761507405,0.021963608405684978,0.016818748549273142,0.0023424458312824763,0.022904201696189928,0.054623932281664844,0.009301474703333814,0.014158781083112616,0.007348849666768554,0.01026067094324543,0.1862037866841457,0.08137870976750301,0.0019531336345511422,0.005931191465506707,0.041207117414109436,0.004600855626128524,0.007065306289639587,0.001111090984541242,0.0037055275563670337,0.0116541903016389,0.004710634545234958,1.9561460995444405e-20,1.9561460995444405e-20,1.9561460995444405e-20,1.9561460995444405e-20,0.07337331878534437,1.9561460995444405e-20,1.9561460995444405e-20,1.9561460995444405e-20,1.9561460995444405e-20,1.9561460995444405e-20,1.9561460995444405e-20,0.05284689091899468,1.9561460995444405e-20,0.0005163052015137597,0.05369621043249489,0.005901653659403585,1.9561460995444405e-20,0.0042242192561222375,0.05836161887990838,1.9561460995444405e-20,1.9561460995444405e-20,0.008684193240161571,0.0022566101404344666,0.004964698800643789,1.9561460995444405e-20,0.014540151326679797,1.9561460995444405e-20,0.01737014701181273,0.13156217084174096,1.9561460995444405e-20
2017-09-30,0.06294665530691519,0.0034540514546450764,0.022137399899132132,0.018943000090516512,0.0021124633137196225,0.023066553624515217,0.05316755531872051,0.009940618160281023,0.013026162897092984,0.009410323302070105,0.010698168469547055,0.17456573961226612,0.0746149162648992,0.0019004996380303713,0.005485832816119081,0.040394854080402956,0.004936370209215012,0.006416567784352106,0.0019067474756325653,0.004160307788535072,0.01152535131455853,0.005575732257172874,1.928344938948792e-20,1.928344938948792e-20,1.928344938948792e-20,1.928344938948792e-20,0.06842076378580546,0.014445231937665401,1.928344938948792e-20,1.928344938948792e-20,1.928344938948792e-20,0.0018173108373641207,0.0029585053722340155,0.050990338181950985,1.928344938948792e-20,0.0011171673569305934,0.06122495181162414,0.0059847342187239125,1.928344938948792e-20,0.0034468394445734078,0.04659845544969756,1.928344938948792e-20,1.928344938948792e-20,0.009488459838996311,0.0028998451191911932,0.006048253901012886,1.928344938948792e-20,0.01606257340486053,1.928344938948792e-20,0.018418316716077934,0.12969238154495213,1.928344938948792e-20
2017-12-31,0.05132326031790511,0.0027460271195068548,0.021178784612904105,0.014844321637878032,0.002381011363738991,0.020576838246776048,0.05494264111401652,0.01091481871974491,0.012625535761613094,0.009315772550448536,0.01009343236185224,0.18004960507612733,0.08507172843823389,0.0016141150099325693,0.005007900461965918,0.034513581776470674,0.004820851750408133,0.005738604689601475,0.0013857951656502012,0.004238700055517578,0.011046486078384175,0.00466081259025853,1.681790249575487e-20,1.681790249575487e-20,1.681790249575487e-20,1.681790249575487e-20,0.06102234650203689,0.015983734531965426,0.03773614416319473,1.681790249575487e-20,1.681790249575487e-20,0.0014291180824792657,0.002596785052759526,0.04766450881205115,1.681790249575487e-20,0.0007858837657241293,0.06516937217105011,0.005292341646876619,1.681790249575487e-20,0.0036036056035703874,0.04215407260560958,1.681790249575487e-20,1.681790249575487e-20,0.008977900889308821,0.0034644879141255028,0.005441432352501488,0.0015681012287041838,0.01744763203680591,1.681790249575487e-20,0.017461759074902345,0.113110148667399,1.681790249575487e-20
2018-03-31,0.028145651504846603,0.0013895419392483716,0.011111107605808692,0.0079558847475193,0.0016604196919617344,0.01120156844456256,0.024852033297989365,0.005385646787110159,0.006654766565562226,0.005194738002254941,0.005060615116577619,0.09131902692223987,0.041935611370285654,0.000870906407058361,0.002624121469184613,0.01758408718492332,0.002572401232758775,0.0029447544859395633,0.0007023424228479056,0.0025003822907855365,0.006397661646808201,0.0023020642981328204,9.013634790142526e-21,9.013634790142526e-21,9.013634790142526e-21,9.013634790142526e-21,0.029240519695535636,0.00773964764890378,0.021390869647652952,9.013634790142526e-21,0.011832631043490019,0.0009737249391095167,0.0016267988341945032,0.02215495546881334,0.12931947462947987,0.000540151078434081,0.036505220900077226,0.0030255527081984005,0.33415596571700057,0.0018073058845018974,0.026324320404611246,9.013634790142526e-21,9.013634790142526e-21,0.00599471611714967,0.0016711278900924241,0.002936642214628435,0.0017075429746446003,0.011148856708309807,9.013634790142526e-21,0.008916720188878912,0.06062192187188676,9.013634790142526e-21
2018-06-30,0.03182615638603501,0.0013680029040075397,0.011386958269747574,0.009116181243020159,0.0019131265826904296,0.012515305879912647,0.026610223938253602,0.00604625925338576,0.008127465963651673,0.006647945344403403,0.00557294592771553,0.08400282588634264,0.045958341744117656,0.000902587933212883,0.0028824879527794404,0.020470242766716492,0.002720522680591499,0.0034801268718819317,0.0006875292531888897,0.0028915230435924413,0.006006522492814481,0.0028110499787807656,9.799447736443696e-21,9.799447736443696e-21,9.799447736443696e-21,9.799447736443696e-21,0.04888497620894978,0.010496972426323758,0.021158340387874095,9.799447736443696e-21,0.012503595539867594,0.0015391992559632113,0.0017445172849371794,0.02538555755628702,0.11384008635978904,0.0007279519751017199,0.03317113058786191,0.003060896698269134,0.28686658317471864,0.00290902485724973,0.03245577090310152,0.01664981047329108,9.799447736443696e-21,0.007129372612799409,0.001816817610336661,0.004400931978436864,0.001450318264993667,0.01300770852977347,9.799447736443696e-21,0.010383534019326684,0.056472570997905286,9.799447736443696e-21
2018-09-30,0.028856143118326953,0.001235829322294935,0.011351431147902671,0.008295565453697685,0.001824193061829584,0.01107317743446566,0.027100640230671845,0.006060384042345144,0.0074655373510681385,0.005600004436131259,0.00489751510718824,0.0865792227767047,0.04326764031306338,0.0009304872640461737,0.0027374422882682804,0.018087626603845927,0.002800264194321063,0.003476337584174609,0.0006126751360388116,0.0026530335387678363,0.005440041734564,0.0022302737228340995,0.00571354494523583,8.732541847759575e-21,8.732541847759575e-21,8.732541847759575e-21,0.05046039925443305,0.0072965626663139905,0.018464505644911536,8.732541847759575e-21,0.011581673346260698,0.0009946714466272067,0.0015137686642254266,0.028222405091351342,0.10527214551872807,0.0006878361237224785,0.028249772877502223,0.002727644376315094,0.3257802842695616,0.0025923074427585168,0.024481681070193967,0.01483707762168699,8.732541847759575e-21,0.006283151184881492,0.0014031448240980084,0.0039099956123343485,0.001718913537312995,0.014855276238897723,8.732541847759575e-21,0.010053600778488643,0.050324171601608,8.732541847759575e-21
2018-12-31,0.02849766015433789,0.001541716432752805,0.012075026223365542,0.009330566111874461,0.0021062268547078476,0.011732817387704183,0.02743385043470593,0.005996268933831023,0.007411714729776169,0.00554031681384357,0.004946672592412588,0.07501427615094575,0.043477835619035815,0.0009728912352686562,0.0029236773950750156,0.01737735053402282,0.002756380132122959,0.003657905342726382,0.0007171954618967657,0.0023603907014738156,0.0061528245812326795,0.002447311673214565,0.005530599504248609,0.0026247613491762827,9.0646544729116e-21,9.0646544729116e-21,0.05364302979150361,0.007831317585327246,0.0228977523019894,9.0646544729116e-21,0.012600785247448888,0.0010796184770327174,0.0016322904602461376,0.03202395577877207,0.08534308733664961,0.0008163174585580542,0.027919135776567724,0.002668380466499933,0.32394712837230416,0.0033315868463560383,0.029451062382489786,0.016988775990732518,9.0646544729116e-21,0.0067937047171220035,0.0016058941864210189,0.004686879595218942,0.0017842865864479195,0.016225441437568627,9.0646544729116e-21,0.010503595853250532,0.053599737001740984,9.0646544729116e-21
2019-03-31,0.028111179642480152,0.001755612963489874,0.013174041897706846,0.009365453816532351,0.002530603583191822,0.011183317079474293,0.035484233238772665,0.006614799634984592,0.0070978883484844515,0.005058498744485856,0.0048054956797068185,0.07825724648478741,0.04571061798522526,0.0008757057186062673,0.002815612902897615,0.017508706209169184,0.0030589541934066544,0.0040912362125591385,0.0006750220729874042,0.0025012536651263587,0.005780501520392599,0.002301481507646175,0.0048608620735020045,0.0030183278649398198,8.680839415990279e-21,8.680839415990279e-21,0.06306872899220585,0.00900081515686368,0.022479485071356456,8.680839415990279e-21,0.012262822865049762,0.0009436593295546392,0.0016058858452428733,0.043264895649843,0.09167747698833173,0.0007817529936070046,0.02829953649612831,0.002457111596696048,0.2937635556190453,0.002263719856186617,0.02304762864945419,0.015331438832726415,8.680839415990279e-21,0.006689211790458462,0.001520014981739898,0.0037774672718681695,0.0012847642335665611,0.01737160971227245,8.680839415990279e-21,0.011141544880204546,0.051330220147042485,8.680839415990279e-21
2019-06-30,0.028463991698472767,0.0017660948700062656,0.013377066949639587,0.009142888396973654,0.0025015835532025406,0.011414972837054123,0.04265593685502369,0.006173704955852036,0.006707007979697979,0.005534893865155912,0.0049015064823139335,0.07615801077921258,0.04411196512664324,0.0009051829426828657,0.002600261137973908,0.017354051580953215,0.003046767887066471,0.003814561530169003,0.0006772855182864718,0.0025223207612011266,0.006314162040187371,0.002040771774644668,0.004711329251134421,0.003813671703099182,8.474543522103001e-21,8.474543522103001e-21,0.06468422461011508,0.005615571519486332,0.021945271126748867,8.474543522103001e-21,0.012747857516754005,0.0009882673673735638,0.001628180148727561,0.04581971276449984,0.07683567765195756,0.0008138188889710733,0.03491511931106436,0.00245516000378846,0.2877747353789888,0.0026623117456427464,0.02677108298632338,0.017798422745078212,8.474543522103001e-21,0.006433687002023112,0.0010998262582985275,0.003527528741075374,0.0012542324412712442,0.016958781921995285,0.0021764661655205813,0.011843394910270517,0.052540678317378714,8.474543522103001e-21
2019-09-30,0.031634727814041,0.0019151050444521725,0.013221644184211232,0.009101886792978608,0.002265000100318343,0.012522829389707784,0.038918327213914375,0.006195876860347949,0.0067236802285920655,0.005411617310041644,0.00543704522350927,0.0940076927449774,0.040740176256542984,0.0009526062705652605,0.002798185129700472,0.017410361728440474,0.0033099828455632543,0.00404090473491435,0.0007502976110858457,0.002809436110590942,0.007086393739466574,0.0022041298554078275,0.004718880831839705,0.0037550148721944305,8.708189543707588e-21,8.708189543707588e-21,0.07021949653567319,0.0060865019996789805,0.02255030964928707,8.708189543707588e-21,0.012569592367557492,0.0008620062665525267,0.0016023765415585456,0.056817827949024916,0.07973675526169711,0.0008138499783758238,0.0418863917052335,0.002345960138506193,0.25104655892755234,0.0023777537385302693,0.029350952857066424,0.019727602257831517,8.708189543707588e-21,0.00702632464799408,0.00174007043462365,0.0040401645388031355,0.001288812052468723,0.018863941435265687,0.0018179564819025707,0.011956413909026868,0.03734057743238543,8.708189543707588e-21
2019-12-31,0.037516878172689144,0.0021589958510296854,0.014438739087904755,0.009116668928190587,0.002313396766436657,0.012487791927974296,0.0450379255880817,0.007387473177134405,0.006903062113083929,0.007551396936194064,0.005689853649067816,0.09334304069722624,0.03835138095453621,0.0009471231293961539,0.0030076193380640472,0.017820030085825257,0.0031141879548185767,0.004117584911257773,0.001030793305306429,0.0030204588209660045,0.0065275276832381605,0.0019698838070413443,0.0049361405646597386,0.0033174116173113333,9.086682874704063e-21,9.086682874704063e-21,0.06567185601976518,0.003652301314658551,0.02489823801131911,9.086682874704063e-21,0.011130105206250386,0.0008625079384669099,0.0016682968024299165,0.058408307023676005,0.0767708393371697,0.0007994463593164635,0.04188960805238573,0.0023571491444783566,0.23237872065702236,0.002256314224617766,0.030912895139743223,0.016793062274009084,9.086682874704063e-21,0.007462093016901474,0.0011418325700353125,0.0038763789143487536,0.0008068974392737209,0.028288388525042445,0.0018969722636547187,0.011720548772765783,0.042251875925234425,9.086682874704063e-21
2020-03-31,0.03529272431707714,0.002411444664518781,0.015435622724901357,0.010208449079796175,0.0029599835019154994,0.014847843891888455,0.04198065865801981,0.009204976945206101,0.007387642236340938,0.0059119288549492706,0.0059089037451550705,0.08757595618534693,0.035988034999310275,0.001042496050935243,0.0031649130825453934,0.018553225251058184,0.0034871953152631136,0.00437938662528086,0.0020432455867105373,0.0033275127339835995,0.00817343611331128,0.0020826152298893297,0.005912382621418401,0.004264594512554551,1.0803963550711387e-20,1.0803963550711387e-20,0.08428958494456443,0.008499694204615662,0.023327226645028776,1.0803963550711387e-20,0.014085516223750257,0.0011109715719196517,0.002699413508999442,0.051446389263522324,0.09030860268622835,0.0009801247693569863,0.05056254941732928,0.0021622296372945213,0.17104018313841832,0.0029037812835246988,0.034129720856697264,0.02247602557272243,1.0803963550711387e-20,0.008867785242788398,0.0021143356668742183,0.004375605238038111,0.0009593919633031711,0.030800760391597872,0.002375661937238825,0.011505508119913278,0.047433764788897465,1.0803963550711387e-20
