,VCB_capital,STB_capital,SHB_capital,NVB_capital,MBB_capital,EIB_capital,CTG_capital,BID_capital,ACB_capital,BVB_capital,ABB_capital,KLB_capital,LPB_capital,BAB_capital,HDB_capital,OCB_capital,MSB_capital,PGB_capital,SSB_capital,NAB_capital,SGB_capital,TCB_capital,TPB_capital,VAB_capital,VIB_capital,VBB_capital,VPB_capital
2019-03-31,0.2929520100361697,0.027796008878633628,0.014252361422412336,0.004838305609904016,0.05765230447328786,0.02573086136827587,0.09721902897724352,0.1646525315129907,0.043455809554861,1.208551550760959e-21,1.208551550760959e-21,0.004216001871040836,0.01282761450183885,0.01423804854639667,0.032454651215001525,1.208551550760959e-21,1.208551550760959e-21,1.208551550760959e-21,1.208551550760959e-21,1.208551550760959e-21,1.208551550760959e-21,0.10566178882812695,0.02158463401246666,1.208551550760959e-21,0.015553710395446924,1.208551550760959e-21,0.06491432879590266
2019-06-30,0.32477653643858656,0.027362623568403,0.013675810363602218,0.004549928039065561,0.058492947848885736,0.029084595070890843,0.08934207306418541,0.15432299124233184,0.043868465969659785,1.2788053461838613e-21,1.2788053461838613e-21,0.004294656752276377,0.011512767387967448,0.014767837237338502,0.03147327941344371,1.2788053461838613e-21,1.2788053461838613e-21,1.2788053461838613e-21,1.2788053461838613e-21,1.2788053461838613e-21,1.2788053461838613e-21,0.08892064276235052,0.024562449077971123,1.2788053461838613e-21,0.01466730267624291,1.2788053461838613e-21,0.06432509308679878
2019-09-30,0.33101787898267204,0.02226289821319871,0.011601763837511735,0.004182091752643523,0.06034722686836523,0.022330795549542676,0.08481508651792086,0.1678796246280363,0.040398938631327735,1.1193652232052873e-21,1.1193652232052873e-21,0.003617575722007079,0.009676563112660068,0.013417989880423472,0.027744839398906693,1.1193652232052873e-21,1.1193652232052873e-21,1.1193652232052873e-21,1.1193652232052873e-21,1.1193652232052873e-21,1.1193652232052873e-21,0.08926870493148774,0.02108599761752067,1.1193652232052873e-21,0.016640157672889847,0.008081781091855032,0.06563008559103048
2019-12-31,0.3461098247009404,0.02000449183687241,0.010788821541580165,0.004415126939107079,0.05188081829420707,0.02273551412674102,0.07909563630172221,0.191818913065499,0.03716353633168409,1.0558543922057657e-21,1.0558543922057657e-21,0.00422150647237317,0.009370572581463968,0.012722892327192606,0.026047634328195207,1.0558543922057657e-21,1.0558543922057657e-21,1.0558543922057657e-21,1.0558543922057657e-21,1.0558543922057657e-21,1.0558543922057657e-21,0.08494760368508344,0.01869010093819114,1.0558543922057657e-21,0.015098379935136942,0.008678666974833962,0.05620995961917608
2020-03-31,0.325202045915583,0.019864556902557434,0.03346324678719702,0.0050713919483780295,0.046262311595435875,0.02556948744613154,0.08898458200039093,0.1753425717532954,0.039651579451431176,1.443439517522027e-21,1.443439517522027e-21,0.00475884687652802,0.010263039729839855,0.016720784606261432,0.022996765804878565,1.443439517522027e-21,1.443439517522027e-21,1.443439517522027e-21,1.443439517522027e-21,1.443439517522027e-21,1.443439517522027e-21,0.07392885828485328,0.020822076940900845,1.443439517522027e-21,0.015265534866607039,0.010784363893504251,0.06504795519622629
2020-06-30,0.3352530851307872,0.02328322339820122,0.028401858406071876,0.004343563857086248,0.0450519349187106,0.024738761771619718,0.08871772192417496,0.17139030982432607,0.04043805065393758,1.1488867209549648e-21,1.1488867209549648e-21,0.003820967456552021,0.01195925819748368,0.013998311540928319,0.025498405671515137,1.1488867209549648e-21,1.1488867209549648e-21,1.1488867209549648e-21,1.1488867209549648e-21,1.1488867209549648e-21,1.1488867209549648e-21,0.07673023787773085,0.01991195318196539,1.1488867209549648e-21,0.01649716543451323,0.007435245596457362,0.06252994515793832
2020-09-30,0.31014748998845937,0.0264018526136552,0.029696853701290445,0.004108010285361986,0.04738843395733123,0.020869395656038844,0.09656858950290206,0.1630212447994462,0.045783189351419215,0.004541511677062793,1.0148407201502165e-21,0.003668649203343033,0.014664894936087495,0.012819660796674362,0.028435037284121584,1.0148407201502165e-21,1.0148407201502165e-21,1.0148407201502165e-21,1.0148407201502165e-21,1.0148407201502165e-21,1.0148407201502165e-21,0.07835909949310271,0.020001820502471065,1.0148407201502165e-21,0.023219036078588235,0.006214137647429897,0.06409109252521443
2020-12-31,0.2811094636812276,0.024971560510758807,0.025318379640877464,0.0034869647183291374,0.048993519383012774,0.018249647269304857,0.09840571920114184,0.150301344579302,0.0441822355573087,0.004952092292206697,0.006684502787203072,0.00483946903280362,0.013551297085151015,0.01223233128602108,0.02748583147235265,7.837933008774299e-22,0.017444103704328077,0.004184045398743896,7.837933008774299e-22,0.006769291978905391,0.0033060871706990513,0.0843182494974864,0.021577547407567326,7.837933008774299e-22,0.02517128515210179,0.004682970592004026,0.0677820606011627
2021-03-31,0.2340152763436157,0.02724681903969405,0.032919458643627005,0.00455458690448039,0.05155705951574051,0.016378891500802406,0.09830939057288296,0.11584245382821946,0.04499446135296041,0.003993163173950445,0.006213683576231456,0.004355187889306502,0.01630252366974394,0.014282536962027869,0.02627801171777073,0.017827426310900035,0.017413690132037037,0.003234644824634615,0.02653300193750481,0.005854973957433581,0.002780492767366581,0.0929921980475985,0.019279348314167978,6.738001134513635e-22,0.032317818479525605,0.004495335617703932,0.08002756492007324
2021-06-30,0.21828832010658847,0.029528605532555798,0.030707450001002685,0.004394886674587453,0.060325987397631786,0.018764287968989896,0.09804861777966113,0.0968157008636031,0.0458193139740488,0.005174534014561201,0.007501838040153933,0.004274490558558601,0.02137877854639574,0.00977253122906643,0.026835978231088606,0.017216160358195762,0.018286229301185834,0.003377454881174683,0.0294731848056932,0.006634660042624962,0.0030904034644118287,0.09213740629985794,0.019325428075194384,5.118751903814196e-22,0.035119077553691556,0.005520193093121966,0.09218848120635419
2021-09-30,0.20832029611207595,0.02834030314599847,0.03252007090975526,0.007051330394614504,0.059780840894594095,0.016703174044882217,0.08339744548331036,0.09239655825969173,0.046272107776695916,0.005325735300682776,0.007797765126400866,0.004174162834912221,0.01977780157484017,0.00993076461047132,0.027429674767095607,0.01915445767864348,0.02027297264611285,0.004053658619584571,0.0320220605226183,0.006722986386202249,0.0031351896576893652,0.09910829735181932,0.024989454170199023,0.004475870855027016,0.028683282441374944,0.00564662361894132,0.10251711481576588
2021-12-31,0.1963240131604275,0.03126392428680071,0.030349113426348395,0.007469201154740069,0.05584446046306536,0.021456838759160542,0.08577591658948121,0.09879629616540943,0.04555037018095149,0.005368576777311632,0.008075400285228462,0.004757993185716666,0.01833940478271263,0.009178630308196526,0.02999336558065517,0.019693319844165995,0.023489087023395274,0.0051321570315909495,0.03882119688254391,0.006809933618927167,0.0029841101375155847,0.08990609158720704,0.029974751626898694,0.004193351670731203,0.0345521506075236,0.005677611790984683,0.09022273307230994
2022-03-31,0.20006478017101698,0.03077500739555363,0.02847896456928453,0.01052317429147389,0.06227555371583746,0.022983237289932974,0.08030680916295908,0.11331153131856743,0.04266897116323156,0.004398799075980413,0.007701754474268622,0.006943822425710137,0.017411875416318688,0.008742793557312275,0.02695320378912014,0.017917042945837798,0.020123976487001267,0.004650174207421604,0.034074962581778445,0.006892717886618651,0.002887505847774305,0.08717987478511444,0.028680379423770327,0.003920977454629911,0.033613128187257334,0.004794654038610332,0.09172432833761769
2022-06-30,0.23095943157359516,0.02644723199781485,0.022774193688107517,0.011771412282573659,0.057960428485561516,0.025256478194889236,0.08199256579726086,0.11058203415749164,0.04908097774124343,0.003722944558433535,0.0063819954791701225,0.005873432508389232,0.014719245276995623,0.008862231117940223,0.028906425631604525,0.015011490851128658,0.017066940035597854,0.003483206120891133,0.042787117516871,0.005825277585058939,0.002712515935747935,0.0792506061926734,0.02456586220867892,0.0033121191168639973,0.026281255418713494,0.003816563471438102,0.0905960170552654
