,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2016-09-30,20.882682794232238,1.478070111749101,11.893411751102848,0.09890736229981947,0.056941797352071874,115.9765149423742,5.289892197185561,7.242067506307751,585.0488368786827,6002.05734206259,0.5290221656402839,4.756254272062332,4.734174540749219,4.727352919229903,0.1355305315402745,1943.7512314743137,0.5805560984600778,0.41788246077207997,0.3222960807322429,0.5465055291527057,0.2806509241577592,2.717739742917024,1.0624071621845639,2.0911850548629607,2929.4249601509855,0.16093690884555656,0.1217698308263316,29.164548773409596,1441.100626271829,-1.9378754146157497,0.19149948789638535,2.811073840925041,0.41788246077207997,0.9155247479401644,1.0312521292328496,0.11922110679970914,0.12308784388062283
2016-12-31,126.61446979556162,1.3286860134753409,16.782485681839862,0.07684721920515838,0.04233970659444423,147.66066365086797,3.560512445538799,13.176520580183137,478.8845717435691,5724.8940931053485,0.527102110122574,6.763005989405122,6.714005920561381,6.700384852205285,-0.07798451644525789,1729.5309191228903,0.6342688294444523,0.22277430991046254,0.16514244133125422,0.5008702184723046,0.26231460198270506,2.84004068094148,0.6480111755689819,1.9516396926685438,2791.581172018166,0.19616835690401913,0.21757844264107729,32.335481072287095,186.3610637716602,-0.4650748993942659,0.19373390756968728,1.5498726721711686,0.22277430991046254,0.9159298755543992,0.8987912423818695,-0.03321110778946895,0.025112364723917723
2017-03-31,-22.45094239029608,1.3114503416264396,13.775391974236364,0.079415839738901,0.04775303738678163,6.6167512876175305,2.8691399329616964,5.702060625483625,554.6960493032441,6091.35495773327,0.497404379384582,4.357161188694705,5.030500717511069,5.019652336935739,0.07906966522519808,1974.1045729617697,0.6273518859846938,0.474937242726869,0.35004255097344594,0.4877373156636591,0.25559862156833896,2.357569485070405,1.0684624496401167,1.8972915632071652,3090.496684921585,0.1243507025576455,0.05997373960138481,6.272818129765326,0.5628071132709741,-0.5465712268737076,0.18866139578638083,1.2788886878215586,0.474937242726869,0.8321475602436477,0.9205343080340749,0.08556006977803776,0.08371337413925724
2017-06-30,45.55073028692541,1.6019165162380373,6.215110308168613,0.09951115429214309,0.05498611325633729,8.361565241027622,4.177392995926345,6.366889991021492,709.4990429450359,6641.915458340565,0.48954814654421874,3.205780748472232,5.054140508177069,5.033400295551661,-0.2760297463620647,2429.621406089168,0.5522555382281735,0.4193784196917722,0.3173444266139041,0.6207421739453732,0.2781564859981854,3.100532919989046,0.060552936296982496,2.3674732415845683,3502.9759639583813,0.1605362703124458,0.1805239895140244,9.829601381442352,1.8220277771145534,-0.7944910733485242,0.19843074396904864,1.1811029831527105,0.4193784196917722,49.63201806979603,1.2388078472767077,0.13257812600233687,0.027311930776660834
2017-09-30,37.06442269195967,1.6940486350485866,-179.16747224248434,0.13107353219844448,0.06972069455172822,7.774723555422564,3.7396907777434727,8.176608863325269,823.1233402475702,6778.556881924636,0.4972937919169635,4.439173412239737,5.845366080950525,5.828666814282755,0.07472865964634433,3269.3956040271823,0.5246866408004006,0.4001085462580298,0.29933268347283226,0.5928836886654171,0.25391141529380007,3.0615588578320216,0.05575951019261342,2.305539436563549,3273.070207790064,0.11235672775205498,0.10839173575147423,8.687906625742517,12.013469657530237,-0.5237430421473477,0.2324831305827651,1.1960690439286452,0.4001085462580298,0.8061569121016566,1.1478045826454826,0.022497852697432062,0.12965451313928725
2017-12-31,23.36194382170805,1.9533971260035845,10.512145746549022,0.15697154950126796,0.07873482530364197,4.39512425488225,3.2174712113964494,8.865922550720928,1029.1247644207892,7063.998513455359,0.4711562786157949,4.8181207696491155,5.825370172567238,5.816890830402943,0.17040285482462106,3902.732277762576,0.5356220059114136,0.3792345139274028,0.2765173639345385,0.7148537197478206,0.30616294748608747,2.132642210002248,0.04333524375823955,2.3620089738277854,3393.8848610384716,0.1277218851834218,0.09939529054000845,5.269446623694444,0.6123941514117681,-0.4447689250028442,0.24257396858800495,1.11564352791836,0.3792345139274028,0.8544950282704703,1.2427561971260204,-0.8941647031223265,0.049047417644923735
2018-03-31,39.22393065823302,2.175286562762652,10.457473441607533,0.16677788621555292,0.08233234851363781,3.9600303313286336,2.4267421916201335,5.658428139463571,1194.1413764258075,7028.414563603311,0.4078149924756917,3.809066106663969,4.69324442601457,4.687041337723806,0.19007163929401294,4504.890944936148,0.5225837405776141,0.44182117275019206,0.3429886096840178,0.7006670210329888,0.2832713282537662,2.1696180750213836,2.176195714279109,2.220329349050824,3739.1384078748474,0.10384791394083777,0.10461766710928523,4.855704981681919,0.33128591816725717,-0.4505471394885761,0.23798432628602914,1.1011547633446355,0.44182117275019206,0.72203063838103,1.223492241490823,0.15714850809735606,0.06850970440133744
2018-06-30,54.914727450337516,1.6488454196390383,7.5628507385595105,0.15588005212843378,0.07660956117770418,6.42638217096894,3.3798138271322493,5.508709107624347,1158.0537306393107,7160.365340451064,0.43688897493661144,3.883001279482736,5.678056218523123,5.670459877045796,0.06359541144841314,4278.087311328013,0.4610092431183898,0.3780815326032613,0.29365161548314367,0.5543955204103503,0.24796822394365292,1.891064920964033,1.9851368182100566,2.1672069022641534,3610.7665538621186,0.13205821051641822,0.08834001824767243,6.448327706708879,6.618513794237571,-0.46565708456185756,0.24570932728580128,1.0874014665921519,0.3780815326032613,0.8497969013811186,1.0963336325504678,0.040173784151648705,0.009284431554410923
2018-09-30,58.26056686604383,1.877931390928041,4.696462027832669,0.14934932453721603,0.07595633548067188,9.05839429566123,4.17872626652797,6.618192471512524,1204.2819669387095,7409.95878707457,0.42995907038631354,4.25532118827731,4.9796490542961465,4.969872300866322,0.06817953736205572,4152.550214583312,0.5891835564233405,0.4770797039431929,0.31810658642746414,0.6457798644835772,0.25432430104943876,1.2759861650019053,2.7152030809865795,2.2416367331432934,3483.821763415572,0.09936478364301629,0.11524125311340004,9.315268537895944,5.6858674320460505,-0.47134826639208505,0.2458463513170494,1.2029628261945902,0.4770797039431929,0.7768857007187264,1.183776169490392,0.04568007102797265,0.05303934027005029
2018-12-31,25.770658473613157,1.6197881940313705,15.041857450377082,0.14200885948686787,0.07003920451754649,6.8945846491607545,5.373911316160885,12.881786115181763,1140.2587817820765,7412.005456726738,0.4537871389050739,3.411073835436404,4.239234896768382,4.237739382297885,-0.06242560567491132,3697.586082052317,0.2215144126334528,0.07774404895080783,0.18998231704816648,0.6906986970379464,0.2811655991904056,6.388126334697377,0.4320477260068788,2.3335555946661217,3645.9328743399465,0.14880197249346144,0.12784938118934577,2.968116251099527,1.4766981355581639,-0.4178976909256576,0.23789044615787402,1.0830983784342194,0.07774404895080783,0.7636571001056266,1.1620542986662377,0.24003689465179245,-0.009402670172084994
