index,ticker,time,price_to_book,median_vol,raise_from_lowest_price,raise_from_highest_price
339,ANV,2016-06-30,0.3,1446744.0,x2,x2
340,ANV,2016-09-30,0.3,1446744.0,x2,x2
341,ANV,2016-12-31,0.2,1446744.0,x2,x2
342,ANV,2017-03-31,0.3,1446744.0,x2,x2
343,ANV,2017-06-30,0.5,1446744.0,x2,x2
344,ANV,2017-09-30,0.7,1446744.0,x2,x2
345,ANV,2017-12-31,0.8,1446744.0,x2,x2
346,ANV,2020-03-31,0.6,1446744.0,x2,x2
347,ANV,2020-06-30,0.8,1446744.0,x2,x2
348,APC,2019-12-31,0.7,3437.0,x1.5,N
349,APC,2020-03-31,0.4,3437.0,x1.5,N
350,APC,2020-06-30,0.6,3437.0,x1.5,N
351,APC,2020-09-30,0.7,3437.0,x1.5,N
352,APC,2020-12-31,0.8,3437.0,x1.5,N
353,APC,2021-03-31,0.8,3437.0,x1.5,N
354,APC,2021-06-30,0.7,3437.0,x1.5,N
355,APC,2021-09-30,0.7,3437.0,x1.5,N
356,APC,2021-12-31,0.8,3437.0,x1.5,N
357,APC,2022-03-31,0.8,3437.0,x1.5,N
358,APC,2022-06-30,0.6,3437.0,x1.5,N
359,APC,2022-09-30,0.5,3437.0,x1.5,N
360,APC,2022-12-31,0.4,3437.0,x1.5,N
361,APC,2023-03-31,0.4,3437.0,x1.5,N
362,APC,2023-06-30,0.4,3437.0,x1.5,N
363,APC,2023-09-30,0.4,3437.0,x1.5,N
364,APC,2023-12-31,0.3,3437.0,x1.5,N
365,APC,2024-03-31,0.2,3437.0,x1.5,N
366,APC,2024-06-30,0.3,3437.0,x1.5,N
367,APC,2024-09-30,0.2,3437.0,x1.5,N
368,APF,2019-03-31,0.7,9100.0,x2,x2
369,APF,2019-06-30,0.7,9100.0,x2,x2
370,APF,2019-09-30,0.6,9100.0,x2,x2
371,APF,2019-12-31,0.5,9100.0,x2,x2
372,APF,2020-03-31,0.5,9100.0,x2,x2
373,APF,2020-06-30,0.7,9100.0,x2,x2
374,APF,2020-09-30,0.8,9100.0,x2,x2
375,APF,2020-12-31,0.8,9100.0,x2,x2
376,APG,2022-06-30,0.8,571905.5,x2,N
377,APG,2022-09-30,0.8,571905.5,x2,N
378,APG,2022-12-31,0.9,571905.5,x2,N
379,APG,2024-09-30,0.8,571905.5,x2,N
380,APH,2022-09-30,0.9,1024402.5,x1.5,N
381,APH,2022-12-31,0.6,1024402.5,x1.5,N
382,APH,2023-03-31,0.7,1024402.5,x1.5,N
383,APH,2023-06-30,0.8,1024402.5,x1.5,N
384,APH,2023-09-30,0.8,1024402.5,x1.5,N
385,APH,2023-12-31,0.8,1024402.5,x1.5,N
386,APH,2024-03-31,0.8,1024402.5,x1.5,N
387,APH,2024-06-30,0.9,1024402.5,x1.5,N
388,APH,2024-09-30,0.7,1024402.5,x1.5,N
389,API,2015-06-30,0.9,564523.5,x2,N
390,API,2015-09-30,0.9,564523.5,x2,N
391,API,2016-03-31,0.8,564523.5,x2,N
392,API,2016-06-30,0.6,564523.5,x2,N
393,API,2016-09-30,0.8,564523.5,x2,N
394,API,2016-12-31,0.9,564523.5,x2,N
395,API,2019-09-30,0.8,564523.5,x2,N
396,API,2019-12-31,0.6,564523.5,x2,N
397,API,2022-12-31,0.8,564523.5,x2,N
398,API,2023-03-31,0.7,564523.5,x2,N
399,API,2023-06-30,0.7,564523.5,x2,N
400,API,2023-09-30,0.5,564523.5,x2,N
401,API,2023-12-31,0.5,564523.5,x2,N
402,API,2024-03-31,0.5,564523.5,x2,N
403,API,2024-06-30,0.7,564523.5,x2,N
404,API,2024-09-30,0.7,564523.5,x2,N
405,APP,2015-09-30,0.8,2410.5,x2,N
406,APP,2015-12-31,0.8,2410.5,x2,N
407,APP,2016-03-31,0.7,2410.5,x2,N
408,APP,2016-06-30,0.8,2410.5,x2,N
409,APP,2016-09-30,0.7,2410.5,x2,N
410,APP,2016-12-31,0.8,2410.5,x2,N
411,APP,2017-03-31,0.6,2410.5,x2,N
412,APP,2017-06-30,0.8,2410.5,x2,N
413,APP,2017-12-31,0.7,2410.5,x2,N
414,APP,2018-03-31,0.8,2410.5,x2,N
415,APP,2018-06-30,0.8,2410.5,x2,N
416,APP,2018-12-31,0.6,2410.5,x2,N
417,APP,2019-03-31,0.4,2410.5,x2,N
418,APP,2019-06-30,0.5,2410.5,x2,N
419,APP,2019-09-30,0.7,2410.5,x2,N
420,APP,2019-12-31,0.7,2410.5,x2,N
421,APP,2020-03-31,0.5,2410.5,x2,N
422,APP,2020-06-30,0.4,2410.5,x2,N
423,APP,2020-09-30,0.3,2410.5,x2,N
424,APP,2020-12-31,0.4,2410.5,x2,N
425,APP,2021-03-31,0.7,2410.5,x2,N
426,APP,2021-06-30,0.7,2410.5,x2,N
427,APP,2021-09-30,0.8,2410.5,x2,N
428,APP,2022-06-30,0.8,2410.5,x2,N
429,APS,2015-03-31,0.9,911016.0,x2,N
430,APS,2015-06-30,0.9,911016.0,x2,N
431,APS,2015-09-30,0.7,911016.0,x2,N
432,APS,2015-12-31,0.6,911016.0,x2,N
433,APS,2016-03-31,0.6,911016.0,x2,N
