,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2019-03-31,0.0103488573030326,0.0005644831256199599,0.032363699202211035,0.000103488573030326,7.15011959118616e-05,0.1016069626115928,0.0545667021432628,0.0338689875371976,0.016370010642978838,2.58721432575815,47.80607590875441,0.0013265353452069058,0.0065856364655662,0.00827908584242608,0.00715011959118616,0.00035186114830310837,1.3321801764631056,7.90276375867944e-05,2.8224156280998e-05,3.7632208374664e-05,0.0,0.0,0.00244609354435316,0.0026342545862264796,1.0123064052784616,8.84356896804604e-05,0.0002389645231791164,0.1241862876363912,0.01260678980551244,-0.000159936885592322,0.0026342545862264796,0.0026342545862264796,2.8224156280998e-05,0.00357505979559308,0.0005644831256199599,0.0016163033496918188,2.8224156280998e-05
2019-06-30,0.0089626187100918,0.00051707415635145,0.0303350171726184,0.0001085855728338045,7.5837542931546e-05,0.065496059804517,0.041365932508116,0.0258537078175725,0.014305718325723452,2.7042978377180833,44.087466151045795,0.001134115982930847,0.0044813093550459,0.0062048898762174,0.00534309961563165,0.00024302485348518148,1.4081652857971154,6.72196403256885e-05,1.20650636482005e-05,3.96423519869445e-05,0.00017235805211715,0.00017235805211715,0.003447161042343,0.00258537078175725,0.9324570619537815,0.00011375631439731901,0.00031024449381087,0.0810082844950605,0.01637401495112925,-0.0002809436249509545,0.0027577288338744,0.0020682966254058,1.20650636482005e-05,0.00672196403256885,0.0006894322084686,0.00026543140026041097,1.20650636482005e-05
2019-09-30,115.10581268966804,3.591026543652162,15.772253955951454,0.03201464829922482,0.014033009438334985,94.79361941164758,148.6461431542959,192.51425290479355,5.531186909626408,283.7106528687155,9129.950103609566,0.4528784521553137,0.7034680359827394,1.4028465528170009,1.2023100764098587,1.5200558316874693,1890.8074858019388,0.38602588696309703,0.1775520209654233,0.012982615999567031,0.6981668074569347,0.29921434605297204,3.492197210334166,2.196359029132117,7236.763645622089,0.14871430180677053,0.05016592647294041,50.92550966114993,3.809738660719206,-0.39631928684646606,0.30284947418495245,6.385814264890223,0.1775520209654233,0.5008110681652753,1.396788005930367,-0.08512500004826049,0.017916509481858515
2019-12-31,61.4867111627037,2.7905310290258085,0.022180047486069894,0.04494526883549508,0.019993344677504535,77.76730946003904,136.54596337399278,226.1854061677822,0.7981016703983764,399.33897506273684,8909.026848484387,0.43763914382588065,0.7016084261454645,1.201442043083078,1.0009227082612306,0.410125742297826,1812.3523179368924,0.2760181109352231,0.05579388092203612,0.09267024984652716,0.7974739332053745,0.2993142821157662,3.500509284411299,2.2950915724392087,3840.8733739975632,0.1915088291213402,0.0006277371930029463,-10.877906488881127,4.712413614044409,-0.23474812600394773,0.3045454253907825,1.3973579718229108,0.05579388092203612,2.3256414491653037,1.4955251819238278,-0.04119225438818894,-0.024889150438690354
2020-03-31,28.004439643157955,1.9930479929988523,16.857716548740886,0.07383705339873126,0.03495081985355881,114.70065778652106,91.67634207922299,200.2451647371413,1.4174466899572613,691.3992447455036,9893.49921907863,0.49061907526587906,0.9036686079395485,1.502893014295741,1.3025788642178684,0.7303254910758615,1760.892682485561,0.3786082493598381,0.07672687146559651,0.22316639781179382,0.5979358734481235,0.29907531446640084,3.588689018112132,1.9954103033303123,7516.444257053758,0.12769208555115122,0.04933574712811606,5.135633265330348,3.200087025098366,-0.23957217419717292,0.30745077836885065,0.7982500235259963,0.07672687146559651,3.4899278537236036,1.0964663160536845,-0.02837658842651896,0.11061276770078589
2020-06-30,63.88992884186634,2.691464567159813,17.65888302152666,0.04497103533916734,0.022010375046166458,120.69003510385147,83.72752604244413,200.3127424868501,2.9334082651384934,421.7910513371545,9876.171853102456,0.505683559588307,1.0041830058575292,1.603716365963308,1.4032015424576119,-0.39035036610741297,1781.9545913357726,0.37674269497962326,0.14053236197164484,2.614443534802524e-05,0.5979244717767309,0.29896223588836546,3.39125533901844,1.995897127164937,8349.071966424162,0.12467016491779576,0.04507762419096677,5.101359445740042,3.003096798639431,-0.31322746896567255,0.30841445482152197,0.0014077772879179267,0.14053236197164484,0.0038211097814888103,0.9971441194179446,0.01253567812358056,-0.0019629149164194547
2020-09-30,39.95072827968107,2.6900267407624145,22.062950654668946,0.07089668880782697,0.03398974606555319,159.45050473487677,103.58003388259262,195.18608776609915,5.881737661054673,691.0366725395598,10404.255592153539,0.5205731881546802,1.102138716120717,1.601662235174783,1.5015414653163919,0.635675365564982,1956.1705967131106,0.41629014102040157,0.18423222124476005,0.1523907351584897,0.4984431888161766,0.29928197933728373,2.9947103712891434,1.8960827284415658,9423.540294440829,0.13946416232152473,0.036928549347031575,67.84445085137025,2.3122305963245204,-0.24407671017835952,0.3125160247514245,0.8001559111887108,0.18423222124476005,1.0044486892975766,0.8973057728929068,0.09707043413047076,0.052723704000012146
2020-12-31,209.74316811994905,3.286733605046794,22.74310535917813,0.01713963568747783,0.008094778856911598,139.50921694015287,84.63235378162048,215.99188574623122,-5.26763384445974,162.8376202729724,10091.46978766004,0.5184764737641518,1.1009608211558437,1.7000755505059486,1.500693617890995,-0.7665449265967502,1635.1988682953731,0.2698282373239529,3.87572602107641e-05,2.5838173474174494e-05,0.4989392972900061,0.2992343875066377,3.4020889640223855,1.8965506886051695,10562.519818930616,0.1602973652530943,0.04787750200106204,8.146455203857956,2.6106977997624514,-0.20852158220198305,0.3111845427379831,0.0025838173473189154,3.87572602107641e-05,1.3963194826415044,0.8973801853514985,-0.16354861596140774,-0.030834759464108637
2021-03-31,-103.06180099655502,3.9868648192793765,20.561435232112256,-0.03863865760308259,-0.018812419212413497,166.46196971669846,65.75745610838884,144.42752626112588,1.2981280257398784,-369.2286592677399,9594.727722827622,0.5139430542555342,0.9980513811847168,1.5974417123722555,1.4978400296998595,-3.3576413890995145,1602.637053058283,0.4094519275412051,0.046825506821405787,5.086386151995602e-05,0.4990256905923584,0.2993136866323771,3.396121344550061,1.8990442727729857,10026.482682631606,0.1813539014491148,0.05689757558398709,87.78935637088549,2.210056647554724,-0.23069554108168083,0.3077062237830055,0.0020345544607593964,0.046825506821405787,-0.4860554059050236,0.9990686584150961,-0.02046712304580799,-0.04680098974969396
2021-06-30,-217.33202947474985,3.3885477617893396,18.678630830432247,-0.014813226317570446,-0.007897046297002351,180.42827627355877,58.78845257081289,136.47701858296026,7.57137596978367,-145.7219989815939,9645.046855475353,0.5298085931359139,1.097474066120746,1.696670737159066,1.5968409413233522,-0.5992405844113994,1759.9716424370577,0.37562619965988076,0.2101876454833616,0.09962497357312015,0.498713187130498,0.199441695647392,2.8974609355001024,1.898073497022782,11395.06062214808,0.1864028113020191,0.05995017254719705,101.74359126329459,2.005529653699757,-0.1672445780475056,0.3051546841320785,0.4995847712266421,0.2101876454833616,1.0020021907657524,0.8991218505935341,0.0979642717016935,0.005994145670623561
2021-09-30,-77.74724549071016,3.5873395249600155,19.677594794333896,-0.04373665869094362,-0.0228620343518113,202.35175630786762,62.75798406879101,137.45179355699435,5.377372377571711,-435.43637761200614,9663.363606788502,0.5427008426529766,1.196992144942776,1.7959428311477033,1.696345023646985,1.9273929754248682,1621.1810629431252,0.44229836884389406,0.1464087770260559,1.5911480674865176e-05,0.39930045746995146,0.19965022873497573,2.9092486492636302,1.798670513548938,12473.063043293148,0.19150283171017032,0.06119109175963572,127.65794681966429,1.8038985714846378,-0.22139014423938708,0.30311225297077654,0.0015911480673879157,0.1464087770260559,0.5866761153993709,0.8991079499076994,-0.07889593638033084,0.002007867630688235
2021-12-31,-108.62922598497822,3.482704697129763,25.8863782774712,-0.041636226678644445,-0.017446437612138557,229.00070483025704,55.76506878532292,125.46720138452359,-4.401376384699151,-364.89402643302486,9332.736527031288,0.5429450055336649,1.1943309631517767,1.8932257967513946,1.7936581842749086,-0.40390404092877163,1490.6224039507472,0.2450348059381964,9.980780575951297e-16,9.980780575951297e-16,0.3961087103587,0.19961561151902596,2.886499988685983,1.7838102596707988,13556.985676694367,0.2179329746819906,0.0519360879874008,159.29857223105634,1.5930817996237745,-0.2688300018204464,0.3049478627881615,9.980780575951297e-16,9.980780575951297e-16,0.8985104451186438,0.8836184615709655,-0.12984765967004183,-0.03126678278389522
2022-03-31,116.57047054290771,3.585517137866529,17.136019580464932,-0.009416573843444555,0.015696345312456214,245.06320558100182,59.7855112693984,113.59118791548403,10.066818935179388,254.3530094449524,9827.526165487494,0.5753160300932514,1.3945002000659348,2.093400509721217,1.9937671587701213,-2.0195588559474724,1915.811915939919,0.476377600749775,0.2789990525905259,0.21822270851035755,0.297799913105077,0.1994500585268928,1.9923003057725084,1.6878995541781725,16844.15620343062,0.20183031506141627,0.061342916050496334,190.26119542540522,1.4945002642664336,-0.27273910182290445,0.4034840326713264,0.6985335964058788,0.2789990525905259,1.099083923081979,0.6884489820472891,0.26002837745238333,0.05082034325004681
2022-06-30,54.65570928456731,2.3881115798842476,13.040825828494594,0.012392774007487437,0.023572631554445212,276.72695991633987,56.75112671045357,117.48449949127028,10.376912946505412,384.6631295671589,10014.795621869025,0.5808537583267711,1.3933741038492204,2.2910275527924444,2.1914714010333665,0.4399846280740029,1792.2284874410461,0.4541985432414531,0.13348558740885175,0.1573790638310306,0.29722638255465805,0.19931831390709678,1.990711014403692,1.684832195513568,20173.139786125008,0.22166412096932656,0.09516135357182387,216.9912087570033,1.2942299728680213,-0.2998875054407462,0.40378688753768505,0.5987789832770489,0.13348558740885175,1.894245018478708,0.6855624909218686,-0.058801992758427644,0.019777323599004935
2022-09-30,30.69604786271531,2.7896855953716693,11.261575115501884,0.07342736348566252,0.0527683186003831,285.01780848440376,63.78795407332443,111.62665622031133,5.98451547825329,915.7188395806884,10436.521719227758,0.5815501555976257,1.394993691552929,2.293176507745689,2.0938485821332438,1.1600794734324067,2002.1556241207982,0.5681841779477518,0.2162873976148837,0.24619413115010522,0.29899188841866814,0.09966396280622272,1.5944725110324691,1.689609657825859,21267.722301907652,0.23202690706595996,0.10689997765406072,237.1775973987459,1.2956315164808954,-0.30577072357740287,0.4031826672377235,0.698402208979031,0.2162873976148837,1.6980597143831466,0.6904048340230268,0.10363392299309124,0.03983238847172832
2022-12-31,70.57009834086377,2.0905841361631663,12.940379432949959,0.04180786635348072,0.018590008884784546,240.85169067607748,57.735388616946096,97.5545780512139,-68.7003183807129,349.4815323686388,9599.826630743837,0.579502300266478,1.3983542841371766,2.0956367107396017,1.8963873818400494,-0.7070457284198979,1694.6898549625118,0.4330235348362364,0.005828505672103583,0.005888053872468718,0.19906887980753665,0.09953443990376833,1.7918003673598455,1.6947922147442949,17757.629785381927,0.266936357015955,0.12170990828430132,201.03069675088952,1.493016598556525,-0.35751630631022446,0.5007398340831062,0.0018044909201565952,0.005828505672103583,1.2957522096691438,0.6974628756944404,-0.20641275857682548,-0.09009353529731641
2023-03-31,1518.4220325235542,2.1878141900899566,16.599130577267633,0.022527936647912212,0.0040852398324360975,261.34918709356225,54.66896091065252,89.47389603292018,10.726112033499893,138.5020930765831,9733.447239197207,0.583546665412912,1.3993237421217308,2.096016306003003,1.9966301924570873,-0.9451685382820537,1632.1599066147062,0.4979904134690267,0.17690728211172926,0.05669957317416496,0.1991021501117855,0.09971603656587018,1.5905077397546001,1.6945127755798832,18698.779745019878,0.28555817120613314,0.10588705488119664,225.55039083583546,1.3914055896428144,-0.38090945406662,0.5022093360488542,0.40051376136325495,0.17690728211172926,0.8885364075540506,0.6970224869012266,-0.07159099405505451,0.011952727467106227
2023-06-30,-30.685976894188734,2.4858631731955327,21.750846492708227,-0.04722254261919395,-0.04173828702563501,267.0911669988421,59.59213325359654,93.37591179987281,-3.811657532627019,-594.3459126904518,9350.953525025205,0.58674709014711,1.5001124702546982,2.097292602910785,1.997979615304906,-55.81896451975566,1308.4761314683142,0.45585095380105217,9.97470566128169e-16,9.97470566128169e-16,0.09974705661281691,0.0993129876058786,1.788067845912753,1.695265893410949,17577.00810917773,0.2797249393729957,0.10060217255648535,234.3005183286246,1.3903818264823002,-0.43223721196917986,0.5022078351195909,9.97470566128169e-16,9.97470566128169e-16,2.1853197963362674,0.6969271892689033,-0.2355193640882913,-0.041039535983544574
2023-09-30,-25.32980693231181,2.386534552770866,23.44557134827403,-0.06317958767181654,-0.04859019756728118,274.16723577493985,66.5610368481736,96.37470368637713,12.047680477361485,-759.6445075183689,9705.711194232199,0.5787675416025851,1.4003520216577237,2.097325353120842,1.9979864971522354,0.19764428988545535,1201.7511128891445,0.5086149425592658,0.16688927802725909,0.15000167251259597,0.09973919088932458,0.09973919088932458,1.6887605514663122,1.6947655752770818,19043.730526432028,0.29835284923922284,0.10990527074020168,244.35356893673634,1.2914051275918859,-0.5535976621896413,0.5018986338123668,0.496694279843033,0.16688927802725909,1.6903618911491842,0.696973331463118,-0.07856576989775717,0.038722137081720676
2023-12-31,176.44949360871504,2.5871745578543512,31.500580119688138,0.015064612612914698,0.009058514111626241,242.07206994147595,60.66048837092507,100.45431324771369,12.558832966107474,148.8536733758926,9833.82878259708,0.5693846917178194,1.4037267470863393,2.100818039192465,2.001374615633572,-1.156736071210015,2002.300177969827,0.5429610926315589,0.1263556786420733,0.05289589774369533,0.09944342355889357,0.09944342355889357,0.677344748228704,1.7942600419001922,19557.87327771309,0.29194846298129584,0.04503534062729936,202.28153615533355,1.500866407192867,-0.32665492850752154,0.502482862828447,0.30162136132291767,0.1263556786420733,1.4020812017632207,0.697091292106126,0.8837310831365087,0.013148148135954042
2024-03-31,95.81950419704144,4.187579919610454,33.49311208932132,0.04492835559004013,0.025968098172782318,254.44096056979382,55.8218534822022,81.74855168339182,16.188116679760157,449.3537272651764,10283.337742268734,0.5645989370157412,1.4010036060377289,2.1992113825397057,2.0995295013214874,2.070110400368806,2132.127149709803,0.5203394199590992,0.1963733059998899,0.16348016701476845,0.09987006290727594,0.09987006290727594,0.5892467479235964,1.7967202238856783,22470.054981239253,0.32204586719357736,0.04585366536038038,229.51296299767694,1.4006272426596134,-0.3252922507272424,0.6009140126451751,0.49991485960355286,0.1963733059998899,1.5949100994914915,0.6983377135947006,0.06805926337664076,0.04685236598945314
2024-06-30,86.72774678161234,9.779437640076587,25.038490049486704,0.11978262598574263,0.06888000233062307,243.61935593879028,61.86535301275397,83.82272184213666,18.738584388309985,1194.4247691916764,10628.910808826167,0.5655644387287478,1.4004594031262907,2.2989165934935434,2.199133766053618,1.656445374070238,2779.268137136222,0.5537988097256673,0.18958737213585894,0.096794489409327,0.09978282743992577,0.09978282743992577,0.3976902078319789,1.7974290599944076,24396.331693931686,0.3325228320611857,0.05148626993584787,222.65981538380686,1.499315807898394,-0.24388184236134003,0.6001380665672787,0.39995479657554545,0.18958737213585894,1.3968566483069802,0.6987885996354212,0.3015170710999027,0.0349167840943354
2024-09-30,92.70677021759707,7.683792874618667,24.59813166601171,0.08688530070176217,0.04894299749995565,244.62039307329258,67.85294094254466,89.81092739022003,29.937791905517535,891.7970012519594,10802.592894012923,0.5505840634051546,1.299748190735907,2.198580833781821,2.0987970971016083,-0.25282636795293506,3312.74549511748,0.5178953993799955,0.3093329223354766,0.01998790785300253,0.0998950242407841,0.00011128756057136001,0.25327815996409514,1.7976652860918285,25461.282320450664,0.36744008061159417,0.048409229260736084,222.6624066256172,1.4997608143386179,-0.15523235841324368,0.6003717334898467,0.10067403716478363,0.3093329223354766,0.5131634911541978,0.7987150436839874,0.18958646188966982,0.015962059242016897
2024-12-31,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15
