,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2016-09-30,10.597039003097704,1.3754251743810917,7.5216564135572845,0.13310589902359396,0.08630435461272577,41.13071587047109,10.549960499190153,32.28640817186703,13.650423739045992,1826.3626662891477,11691.16545915061,0.5163389679125991,2.3128796594686882,2.568002212840606,2.4710400438126343,0.022747691050132867,4756.016832358971,0.23463680253988375,0.16835762198335966,0.15633308682099567,0.3360592399648498,0.18631627405240975,1.2859970332205404,0.27589024477409524,1.580472171422459,507.834745748329,0.18623647499738397,0.16089429918357562,19.242728427519605,7.766703387322945,-0.22801926753104232,0.5843168571088025,1.1290825439879293,0.16835762198335966,0.9830036273245523,0.5726523833690826,-0.04598719833838628,0.10116218268305056
2016-12-31,2.982056020106367,0.3616377707630293,2.4784186594741104,0.036694547474861824,0.02364771350680987,11.378921721912198,2.42161309370217,10.213550693932863,2.734686627635617,513.7635341124875,3285.573116764697,0.14372371609980816,0.6916402621291481,0.6881229694527438,0.675743351786864,0.0014717099921296817,1323.5703329535131,0.059394159051284964,0.035443820202539056,0.037646200860893236,0.10301723894694209,0.05435657300601454,0.5222944094132747,0.1169189361728951,0.4505716182653614,120.38790936314716,0.047317415602633216,0.04070819166476827,3.530207551102932,2.2223854984199507,-0.06918078488238331,0.16129325385022006,0.370624279847758,0.035443820202539056,0.3994369540822684,0.1664265373468141,0.012992673815692654,0.001968364156293655
2017-03-31,3.6800673859527944,0.5351116984823613,2.705847909384276,0.05697426779151795,0.03334142790806519,13.577537482302137,2.9040858161672305,10.496884085166672,4.712959741782817,701.3822917611751,3771.666194426876,0.16171180451719358,0.832920675754442,0.8289435305595053,0.8131799729690188,0.13323584405862446,1654.820897693729,0.0743147222159914,0.05224476010422694,0.11416131049035749,0.09165491273184653,0.055353794833045,0.3877559223594156,0.16041712814740688,0.4912220795642902,91.7147221624249,0.05907592764910479,0.04209361932919375,6.041066294201126,2.2073149973066104,-0.08456929055559477,0.1941929497817668,0.3492426290022943,0.05224476010422694,1.5844465803331362,0.17438234743682754,0.0003201421855053798,0.01588630122503174
2017-06-30,5.783335322591067,0.630961194774793,4.24861349849522,0.05677426331537151,0.033090640516876886,15.227623789727048,3.8892702585855594,12.527241692913021,4.473403076508188,712.9715961428432,4136.153057764537,0.17163013264312313,0.7285013761855896,0.6900040910309183,0.6677242600703265,0.015240267932907921,1588.4419525191909,0.07580589252619319,0.053295289015806206,0.041441849617023664,0.11525615444198727,0.05495896704598079,0.4863357235221197,0.2781425382038672,0.5715112834086564,113.53203826894155,0.057603397539565934,0.04376490728095185,6.454312793216088,2.461119689040018,-0.09589639537118724,0.21030507225772602,0.40823250233670844,0.053295289015806206,0.33364002273831456,0.22377305788814525,-0.028090285476452204,0.007738236512932143
2017-09-30,5.091164858105272,0.5120757736034365,5.024266625021374,0.040518227086742145,0.02516649837077545,12.049694777823868,3.3197723668914563,9.396989426987998,3.732253535201181,564.7711348094047,3368.0575680128577,0.13838166042410585,0.6493055205306283,0.5955365248718578,0.5802176003567275,0.00371179228758757,1221.6737249844573,0.060694471916946255,0.041417889885720344,0.03375712314752663,0.07590213877119852,0.04145373500818935,0.3868344207391821,0.22132888600356634,0.42709591442398087,100.26439019804455,0.041798698871051844,0.03190732660323246,5.747272721731047,1.8765963476595093,-0.08299697542726901,0.16666377874082755,0.31618751460399075,0.041417889885720344,0.2414130265539857,0.15057630707836223,-0.0029256267986966797,0.006943002073449199
2017-12-31,12.4000637102188,0.44014967330033783,4.394370323803818,0.029777575846456763,0.018324942656860424,12.221158381538105,11.612829310624873,7.22076452518291,-60.16014404776539,420.7576242181438,2600.267010363086,0.10228734510305208,0.5106162122150499,0.537296378583805,0.49948619441550196,0.02713317752675615,853.084790548687,0.03973474466401613,0.022721755374909922,0.027317334502489472,0.111836460074604,0.028463444753270666,-0.3637296238991488,0.3645302149777844,0.41639453860287795,93.05198907085204,0.03348015142491756,0.024964513678793473,16.450610610549326,1.4028097600278744,-0.044378551410647206,0.12055905132690248,0.23893801907075474,0.022721755374909922,0.392742413446919,0.2087888272751204,-0.017541109554489027,0.11314153714956199
2018-03-31,47.077474796977974,6.681411036105682,26.445012255741347,0.16654560441130747,0.09395522507953062,57.209923858136435,22.92367614438125,39.53706455879573,62.544809609374674,2143.2067477024307,13136.404486183925,0.5557988908666212,1.5940648173259162,3.888418458851535,3.7800679652531413,0.10240141544914998,4212.846144392614,0.46047683575574105,0.3904671800064183,0.2765436423727648,0.4618891517451346,0.27242661843644794,4.097925477368663,0.2910177966017534,1.796953675941486,17499.219291233232,0.06805067352198338,0.032059219504129266,40.577029697442036,6.672528179933548,-0.2077338910223473,0.36252547722903566,1.2191703865694237,0.3904671800064183,1.1321446179049715,0.7716024618789659,0.019903492896241853,0.02793353275710361
2018-06-30,32.940103198077395,5.902215273280853,24.23450680326703,0.2045403129178397,0.11103818730815514,53.30606937697841,22.368766680907456,39.412398251769474,58.09556163045685,2597.818514226037,13040.378603778227,0.5491659139326354,1.4714849143524373,3.3587305859073,3.2591264745754933,0.2574050702131089,4421.040441905724,0.45122707006030993,0.38021972299390444,0.4635565642498289,0.46372947443710744,0.27290749631321265,1.127180876338673,0.08680945518502514,1.800072531103876,16954.432673640375,0.07026982285696497,0.03617566189250266,36.070531456353294,7.199309729181626,-0.2122065100997435,0.370193530215003,1.2056969794042873,0.38021972299390444,3.9274985891029903,0.7812469743096744,0.10854331092641255,-0.0059268436050757866
2018-09-30,29.22150153866999,5.193243043421195,28.61754682644181,0.21313239388258076,0.11758286403804971,49.97056541817419,22.764793487526017,44.04120983857856,68.15845581982776,2847.133445488237,13820.60177902697,0.5602136782916906,1.6331187987157214,3.418393453849132,3.3042728171236635,0.08994713616624972,4649.614636079855,0.45480950617138627,0.38001144766698947,0.3995629349091376,0.47260381535746465,0.2704421153221327,1.7699349798521304,0.074826066496617,1.8140884239259032,17900.490258095204,0.061922981244397386,0.0298717712408028,28.55575503642717,7.5471721760116335,-0.18796457936814068,0.37416857562555494,1.2775300072124194,0.38001144766698947,1.198328892911875,0.785699641826491,0.05157852824734728,0.055924139755109244
2018-12-31,32.814091861182554,5.057054956828577,23.337551394456025,0.1992070236958877,0.11127103534460034,50.92018989427182,30.146065151796225,48.49599674984165,47.24388871543654,2691.71178221537,13234.728415909296,0.5332067923908076,1.5785083952996,3.444390198938332,3.4056188373729,0.010047346636494486,4599.167422424185,0.3451951672356886,0.261173200533422,0.25253898248469814,0.44291010757247695,0.2531949586666834,1.8725812973542308,1.854875488992222,1.7459434413397639,17617.95464841535,0.05408228826429518,0.028810434083902783,32.492231015726034,6.871898828417954,-0.13970083660464694,0.3813052184794232,1.1545001380127806,0.261173200533422,1.0472424306460593,0.7787169387324,-0.006884454681360975,0.02297599326968782
2019-03-31,26.721764144569896,4.673960727589573,21.914394609052437,0.21105946335748751,0.11852498739506813,52.674548823556044,30.795667388676254,36.76756200136326,77.54879933262842,2919.157038259609,13966.78925622463,0.5460234148877355,1.7058026760287088,3.630194447964032,3.609154805299037,0.12900115898528822,4785.5118006001085,0.42480460467889924,0.3536328950860378,0.3494575335908438,0.450985018185457,0.25464062029823725,1.86801002914218,0.07715117903244759,1.6795853475966636,18508.32180358427,0.06229066591397903,0.03103107195128709,46.55277345559521,6.758826303927391,-0.135085065184715,0.41142623686753854,1.162765742590492,0.3536328950860378,1.4395810416292882,0.7129731025306796,0.016867205544823665,0.05951092040797346
2019-06-30,26.66442215235425,4.953246825088321,17.748092787737516,0.20495106467703358,0.10987142743704914,55.036581215635486,19.560524265990505,36.4723360983214,75.93486854873245,2797.4478583972755,13717.543072136701,0.5162294687480808,1.4472251043730626,2.9422796592385185,2.928727834764407,-0.03702338041187336,4790.568078154398,0.42308128497940717,0.35735031497816744,0.3120901526411606,0.45337354963954973,0.25623226503904795,-0.09173665557486607,0.04273704528548262,1.7378584587677348,18965.776921077144,0.05187812809593167,0.027128882042373667,37.272807636081666,6.8025859400058915,-0.10535272782147079,0.3982415534738129,1.142471589939694,0.35735031497816744,24.246973089138386,0.7829634211587415,0.014119105733565899,-0.012368336072871477
