,VGS_capital,VCA_capital,VDT_capital,TNB_capital,TLH_capital,TIS_capital,TDS_capital,SHI_capital,SSM_capital,SMC_capital,SHA_capital,HSG_capital,TKU_capital,NKG_capital,POM_capital,KKC_capital,DTL_capital,KMT_capital,ITQ_capital,HPG_capital,HMC_capital,BVG_capital,CBI_capital,BCA_capital,HSV_capital,DPS_capital,TTS_capital,HMG_capital,KTL_capital,KVC_capital,MHL_capital,HLA_capital,NHV_capital,MEL_capital,PAS_capital,TNS_capital,NSH_capital,VGL_capital,TTH_capital,TKG_capital,TNA_capital,TNI_capital,GDA_capital,TVN_capital,TMG_capital,DFC_capital
2016-09-30,0.0050287494681264,0.0009123658796115992,0.0002541477205828481,0.0010475193158758795,0.009553617478936169,0.017423781228420254,0.0010937821431382258,0.008555705843135596,0.0011195940210099217,0.008813060956826761,0.0019486898662094,0.11884353684247694,0.0024068277884812216,0.05091168392674356,0.025053787600593964,0.0009490828940515732,0.02452739329831705,0.0004939385386808477,0.001612493975255695,0.6340250524588233,0.0011466430362233966,0.00014967834505480234,1.5273300515796157e-20,1.5273300515796157e-20,1.5273300515796157e-20,0.002835747886866325,1.5273300515796157e-20,0.0013333591350290046,0.003615740070907519,0.009450354694148873,0.00041931319236066764,0.0002101606150973551,1.5273300515796157e-20,1.5273300515796157e-20,1.5273300515796157e-20,1.5273300515796157e-20,1.5273300515796157e-20,0.0,1.5273300515796157e-20,1.5273300515796157e-20,0.011174007750558532,1.5273300515796157e-20,1.5273300515796157e-20,0.055090184028456106,1.5273300515796157e-20,1.5273300515796157e-20
2016-12-31,0.004648083012024311,0.0008402587198127345,0.00026399730882000914,0.0008859376045116956,0.011986013777841914,0.021132035160766397,0.000842555680156296,0.009445698142414482,0.0010819908263691538,0.01056038237100699,0.0021481173132987755,0.1444480263414187,0.0028942772243702713,0.04302070437177093,0.02311461819863917,0.0008950182544032423,0.02839594255124549,0.0007413362943500166,0.0013878234395798977,0.5994355357773318,0.0011788919267295376,0.00015006807577935558,1.5313068957077102e-20,1.5313068957077102e-20,1.5313068957077102e-20,0.0010477201780432152,1.5313068957077102e-20,0.0007290552130464407,0.004030889767709319,0.0015917935180881646,0.0005161729284051548,0.00015803087163703564,1.5313068957077102e-20,1.5313068957077102e-20,1.5313068957077102e-20,1.5313068957077102e-20,1.5313068957077102e-20,0.0,0.001981572375321605,1.5313068957077102e-20,0.00849838575752282,1.5313068957077102e-20,1.5313068957077102e-20,0.07194906701758504,1.5313068957077102e-20,1.5313068957077102e-20
2017-03-31,0.00525153116762039,0.0009369683805756117,0.0004646473933542191,0.0007526892807948127,0.01297369154892014,0.027512090953189707,0.0009206902053500267,0.00904361248988556,0.0011169592955482845,0.011783480464856722,0.0020447306481801513,0.13209696877948965,0.003135819776168884,0.045868836811674224,0.03574921436998376,0.00100123472921319,0.024105805204945117,0.0006828934306941244,0.0013636427689841856,0.5864649907020446,0.001340114176023808,0.0001520612902355338,1.410587107936306e-20,1.410587107936306e-20,1.410587107936306e-20,0.0011406007354772968,1.410587107936306e-20,0.0007832990210370306,0.0032391593876962975,0.0017456015460711783,0.00042838119880917667,0.00019409678605203566,1.410587107936306e-20,1.410587107936306e-20,1.410587107936306e-20,0.0006206583274919746,1.410587107936306e-20,0.0007083968456056128,0.0025375615719509374,1.410587107936306e-20,0.008453027879534789,1.410587107936306e-20,1.410587107936306e-20,0.07268473249774196,0.0019830033563368586,0.0007188069784621827
2017-06-30,0.004167590527227778,0.0009542962209036771,0.00040859351139074036,0.00073965804950799,0.010589951437496657,0.02655098356546521,0.0006933685057918827,0.008443101385252255,0.001060596354381355,0.009595618621904972,0.0018982383683154825,0.1358292422401694,0.0036509501071247895,0.05045853925819749,0.037966349590254,0.0008023520910791899,0.01840949203738206,0.0006624075476487058,0.0012236540251910053,0.5894108738505129,0.0012370965998222622,0.00017366490013261953,1.265779155485565e-20,1.265779155485565e-20,1.265779155485565e-20,0.0010628747568612292,0.004694015420202669,0.0007028871650411342,0.0033683902262457463,0.0016290577731099224,0.0004360609190647771,0.00021771401474351718,0.0005242224372443467,1.265779155485565e-20,1.265779155485565e-20,0.0012151479892661423,1.265779155485565e-20,0.0006356742918848508,0.00205456209401795,1.265779155485565e-20,0.006738299387478077,0.007143741108771657,1.265779155485565e-20,0.06110371664024797,0.0017634835194224891,0.0017835334612453803
2017-09-30,0.0035453080812370527,0.0008141365005352798,0.000277220560218603,0.0005605480406198714,0.009966224809514512,0.023710537810127892,0.0006384140742883868,0.007147741078237826,0.0009059532050797922,0.008271885016889833,0.0017066208651388079,0.10611754286217565,0.0032320174731872583,0.04755997723967656,0.03298571697820176,0.0007056238123721048,0.021661526021867026,0.0005863988018334654,0.0011830168902845284,0.6335878368974962,0.0013001016774197016,0.00015373751358929805,0.002842799358426014,1.1205358133330763e-20,1.1205358133330763e-20,0.0009757625862504426,0.0034153931590392155,0.000640386217319853,0.0031066631317496866,0.0019413282965995544,0.0003503915488292529,0.00015418572791463128,0.00045297660253989597,0.0025094399539594236,1.1205358133330763e-20,0.0008740179343997993,0.001646851484855622,0.00028866123087273375,0.00240971226657278,1.1205358133330763e-20,0.005468931911985945,0.00396501597547909,1.1205358133330763e-20,0.0584227203427226,0.001254551896607712,0.002662124163884189
2017-12-31,0.0029763648474022443,0.0008922064688161673,0.00028198737523483955,0.0004715653855896261,0.007838852424812316,0.022440008003920143,0.0006628884654957957,0.0059555356873217695,0.0008016413251665534,0.008735183603477206,0.001453821409324317,0.08041458965795041,0.002315806446364261,0.04754018615073342,0.02946386337239708,0.0005908646858296258,0.0270386628785305,0.0004460040827290278,0.0008986116672831754,0.6754271372533591,0.0013290588515683403,0.00011660237456968047,0.0025154780976469338,9.915167905585076e-21,9.915167905585076e-21,0.0006475596159137612,0.00302214317762233,0.000566651845804187,0.0023149140812527584,0.0014233223528467374,0.0004519333531365677,0.00013643271038085063,0.0004482647410115012,0.0011511509938384272,9.915167905585076e-21,0.0009121954473138269,0.0020113909613269886,0.00025542464041577713,0.0013498112979947296,9.915167905585076e-21,0.004244088470306635,0.0032169762269670774,9.915167905585076e-21,0.05109087718389877,0.0037943364541092963,0.0023556059303372796
2018-03-31,0.0029151230779043687,0.0009197883866827568,0.00020793960817175433,0.00036262339003926793,0.006961286753253997,0.019009747144534513,0.0006742294203764596,0.004340927909346726,0.0005665042400862188,0.007628038219267182,0.0010845001709475124,0.06329227419818678,0.0019996968312668553,0.03212489836808159,0.027425602615093112,0.0005171923787476963,0.027378660412538565,0.0004057938173667241,0.0007431217148503982,0.7200909191338196,0.0013341260948899765,0.00014463938044754522,0.0020802160328538674,8.199511363239526e-21,8.199511363239526e-21,0.00043350816577447367,0.002499211063515407,0.00046860207440913883,0.0026322399358726044,0.001014689531200891,0.00029116464850863547,0.00011282527635817585,0.00036799406998218987,0.000844959645981833,8.199511363239526e-21,0.0005083697045208506,0.0017821637948001105,0.00021885315779622617,0.0009598511992035452,8.199511363239526e-21,0.004139047740072406,0.00258284607942045,8.199511363239526e-21,0.05436964792782316,0.002821943830772515,0.0017442328552337647
2018-06-30,0.0032627094522699003,0.0010350396115728006,0.00016892726454060132,0.0005384439636367507,0.006554602352234522,0.021341331493678627,0.0007337579288013296,0.00608772331113377,0.0004262467023873314,0.007896292652661093,0.0011965400628218606,0.04362280027190741,0.0023732971154275875,0.025243916097662706,0.027873466332655864,0.0005398937823523537,0.0273780024786849,0.00044732987261294127,0.0009875229723775485,0.7311088387515178,0.0013993463169619117,0.00012833234050371265,0.002373025859022733,9.353669132923663e-21,9.353669132923663e-21,0.0003199890210373185,0.002850998351715132,0.0005564497767176287,0.0034265857354787224,0.0008334119197434984,0.00027265945522472474,9.652986545177217e-05,0.0004167059598717491,0.0009863444100668003,9.353669132923663e-21,0.0005238054714437251,0.002013657890935806,0.0006358904886635494,0.001119447121828304,9.353669132923663e-21,0.0037736442749867222,0.00383032750993224,9.353669132923663e-21,0.06024698288516131,0.0032444136754459017,0.0021347691988689017
2018-09-30,0.002802060027784885,0.0010321507643618604,0.00015072578715978637,0.0003697031246617775,0.005337011065666351,0.02106345177524103,0.0007078214785044559,0.005068644582141632,0.00040794827548885795,0.007589225503261087,0.0010514554595412438,0.04227650192956758,0.002082478815828837,0.02235482834535624,0.029490263426354787,0.0005005691849748487,0.024700643670224603,0.00043599471942871694,0.0009431722501927346,0.7466407228676931,0.001512868894859796,0.00011048599127823237,0.0037291190148853936,8.672369802059056e-21,8.672369802059056e-21,0.00024273963075963296,0.0026433383156675995,0.0004886013146480072,0.0025692415880788073,0.0006868516883230772,0.00021143237577419977,8.949885635724944e-05,0.0002766485966856838,0.0010237732551330715,8.672369802059056e-21,0.0004162737504988346,0.00104120471843521,0.0013469057539577918,0.0010379092179104278,8.672369802059056e-21,0.004057732451425015,0.004780643853385054,8.672369802059056e-21,0.05303639786668027,0.0037136821966377285,0.0019792776151843342
2018-12-31,0.003488222177855931,0.00118428144890024,0.00030319184509829914,0.0005486832266526973,0.00530522270163747,0.021622984301584124,0.0008931937743620669,0.007229832827185101,0.00040308063127409544,0.008043750160189295,0.0014247901427677512,0.029482939095209958,0.002573875484068402,0.016089850644759197,0.023597080506965434,0.000586029881060542,0.028628361150421264,0.0005908010395531741,0.0012070560921483217,0.7403939569070609,0.0020789089211344777,0.0001727488419746123,0.0030319184509829916,1.1751621903034851e-20,1.1751621903034851e-20,0.0002192852647106303,0.003581894356045022,0.0007551592234890194,0.004246378064930225,0.0006398758126202476,0.0003799299361251167,8.085115869287978e-05,0.0005164250245288665,0.001387278965653264,1.1751621903034851e-20,0.00047006487612139404,0.000705449862839182,0.0008590200578680417,0.0015646579466576723,1.1751621903034851e-20,0.004001004199594857,0.005639015770171273,1.1751621903034851e-20,0.06812297700970273,0.004078282865229215,0.0038716893521738615
2019-03-31,0.004088946537985335,0.0012410472716538727,0.0001780594138854511,0.000578972711041481,0.004798052495292973,0.020991325878154186,0.000940158179169802,0.00840207793099077,0.00033430878649724457,0.00854470441628394,0.0013709903790986699,0.04049319370686581,0.0025546045420652445,0.014135591058102293,0.023984893850920584,0.0005089009630520117,0.027789347973605015,0.0003836330336853627,0.0010456740403881027,0.733287980377763,0.002745011794702551,0.00015345321347414505,0.002164227172539874,1.1184636550593663e-20,1.1184636550593663e-20,0.00024348953770642404,0.003409077220620948,0.0007187247447411486,0.003734415928604617,0.0007197313620307023,0.00033196001282161986,7.69502994680844e-05,0.0004915088532158386,0.0013203463447975818,1.1184636550593663e-20,0.0004250161889225592,0.0006714137321321375,0.0008050925081848332,0.0015728283302906831,1.1184636550593663e-20,0.004721437734921407,0.005460898795827357,1.1184636550593663e-20,0.06483621962013641,0.004205647035754229,0.005540086022605559
2019-06-30,0.003736109167416382,0.0014580735691012263,0.00022142292526418505,0.000705920808150883,0.004846265053242836,0.022339433458792694,0.0010060438361134728,0.010431447979232115,0.0003593013700405261,0.008608423269467442,0.0014293198428671364,0.037772443058666554,0.003038747160719793,0.013230007763746497,0.017441983887863922,0.0005288185303052133,0.021380294739638008,0.0004464761286733095,0.000978588355043799,0.74735689906353,0.002809114036869537,0.0002002663373996375,0.0017574392873845736,1.202078855940201e-20,1.202078855940201e-20,0.0002243079145184415,0.003663936352905732,0.000754064066331288,0.0037781819273742896,0.0007140348404284793,0.00029943784301470405,8.270302528868583e-05,0.0005282535532429213,0.0014190540894374072,1.202078855940201e-20,0.0004567899652572764,0.0006718418725849783,0.001606470203867044,0.001474614174158963,1.202078855940201e-20,0.005127635651052759,0.006500241413496637,1.202078855940201e-20,0.06422274578900355,0.003427367234056701,0.0029654804544502387
2019-09-30,0.0034703729333589004,0.0014349619332069033,0.0003532506046241965,0.0008797274044353858,0.004652659352386717,0.024073374537352654,0.0010453344689344052,0.011234741696718833,0.000358253064166805,0.008052779796220317,0.001572285861061175,0.03640212848240128,0.0028996051263666164,0.01239469662327567,0.019861816675249937,0.0005269257384880899,0.019937879713936266,0.0007994699958248702,0.0009299957094289304,0.7449611956647914,0.0026648101983475204,0.00018855424429831843,0.002316523572807912,1.2826819340021661e-20,1.2826819340021661e-20,0.00019945704073733684,0.003909614534838602,0.0030130198629710883,0.0039133086588085285,0.0007619130687972866,0.00034670892676078545,0.00013237277558902352,0.0005636745758972519,0.001514206023089557,1.2826819340021661e-20,0.0005900336896409964,0.0005044788046430519,0.002357158936477101,0.001343224521287068,1.2826819340021661e-20,0.006222443983676588,0.006936102558116713,1.2826819340021661e-20,0.059484631225737244,0.0039296243730090365,0.003266683042239357
2019-12-31,0.003033095217190137,0.0014080951660588618,0.00045813622627752443,0.0013083591020924576,0.004363952080394438,0.029884726525035998,0.0009716626622657034,0.011082986637220186,0.00035370811587602996,0.007101496495727072,0.0014144474750786764,0.039821398094610466,0.004897678377830094,0.014349829983095879,0.01749014447677197,0.0004410523648984782,0.018080981400944485,0.0007498612056571836,0.0007269062707901268,0.747984820195126,0.002052770315351959,0.00021222486952561796,0.003103969180136589,1.203088829510306e-20,1.203088829510306e-20,7.483212519554103e-05,0.0036670147523474115,0.0016902194965790287,0.005222752979563779,0.0007146347647291216,0.00032519491061663565,0.00012415876720546355,0.0005286973861283039,0.0014364880624353053,1.203088829510306e-20,0.000842162180657214,0.0004233669591046766,0.002210892280214499,0.0011698835778158213,1.203088829510306e-20,0.00880184600025058,0.0066951893362248525,1.203088829510306e-20,0.04877851473919765,0.003718266336484552,0.0022835829072935117
2020-03-31,0.0037430215510103706,0.0016798318230909562,0.0004378354229302473,0.0019111825003519831,0.0037962638986540048,0.032595498300998664,0.0011916469517480174,0.013629813465370023,0.0005733791284699007,0.009987978378471148,0.0015633357461954842,0.031388119178152034,0.003673949518810907,0.01236693293312077,0.019689185931492995,0.000357484334178683,0.01782643511489499,0.000922184764955757,0.001080156565656648,0.7245609208741842,0.002662117382181682,0.00022298077218273915,0.003074924351091418,1.625224287046204e-20,1.625224287046204e-20,0.00010108895065427388,0.004953683626916828,0.0030307182504837604,0.00476801800436467,0.0005631402154615096,0.0004392981247885888,0.0001677231464231682,0.0007142048129424542,0.0019405177987331674,1.625224287046204e-20,0.0011701614866732666,0.00037006357016042057,0.002986642167819068,0.0009725342133684484,1.625224287046204e-20,0.008116045044651334,0.00793515758150309,1.625224287046204e-20,0.06490203172376051,0.005175039174812522,0.002758753218289449
2020-06-30,0.003005305728363289,0.0012869838209256304,0.00042443824428443027,0.0015922419828213736,0.0033365090383199064,0.02282824772335951,0.001074133482932941,0.010007949075333533,0.00030929576673239764,0.006335839982167499,0.0011958928438830488,0.05548615869338929,0.004221125403663896,0.013439205789416013,0.01682163033934197,0.00027673373527344855,0.00666106850760842,0.0006303234418580932,0.0007890633452204699,0.7719875090218975,0.002219387579363286,0.00013864982646624724,0.0017782874132327155,1.0883031904728982e-20,1.0883031904728982e-20,0.0001015386876711214,0.003317148124561393,0.0020294677895938604,0.004377590753358185,0.0005925810872124931,0.00026532831783729257,7.487525950453539e-05,0.00047825483705331507,0.0012994340094246405,1.0883031904728982e-20,0.0004135552123797013,0.0003379181406418348,0.0020991409598479353,0.0007733482471500413,1.0883031904728982e-20,0.006602038942557171,0.0024511308607425846,1.0883031904728982e-20,0.043460517268982805,0.004270501719415652,0.0012096489962106264
2020-09-30,0.0028363298297733376,0.001111366792839445,0.00028546641404301,0.0014540830357890806,0.003267835336084351,0.014571679147795452,0.0009571780948802139,0.008781232362377031,0.00026170824151943047,0.005672788579862694,0.0010518792755904822,0.06416198373594702,0.0040078747844118495,0.013335425403109193,0.013464115504278581,0.00028395620462678245,0.00474334677011466,0.0005261238096752689,0.0006676598994765934,0.7863274129778426,0.0021117147763981634,0.0001263419096990354,0.0010295208093551134,9.20859400138742e-21,9.20859400138742e-21,8.591618203294463e-05,0.002806779451622885,0.001717218609378726,0.0034724502947951798,0.0005469904836824127,0.00015617775426353064,9.503269009431816e-05,0.0007303335902500362,0.0010000533085506738,0.0029471184242040294,0.0005156812640776955,0.00038123579165743915,0.0017761720281756085,0.0006199225481734011,9.20859400138742e-21,0.005663285310853263,0.001489029650024346,9.20859400138742e-21,0.03970819402150266,0.0033880259049904595,0.0018633589961807443
2020-12-31,0.0030722664639577057,0.0007897926334136925,0.00021936017592686123,0.00094743075983947,0.004170825345001929,0.012144009739495818,0.0006858845500794094,0.006420959149609242,0.00017346013911503168,0.006880133517867084,0.000759516609132321,0.059131667423597295,0.0019585455707535485,0.015877002733356203,0.02138881715383137,0.00023181618591658126,0.003963243178521032,0.00037102829756469486,0.0005609524498838652,0.8047831114360557,0.001348075081156216,0.00015288012260985845,0.002580002069161661,6.000004812003863e-21,6.000004812003863e-21,5.5980044895996035e-05,0.001828801466698777,0.0011188808973424803,0.0023650578967764346,0.00041580033347186766,0.00011766009436339574,6.192004965987985e-05,0.00047586038164002637,0.000708300568057056,0.001690081355445248,0.0002760002213521777,0.0004968003984339198,0.001363753093729982,0.0004488003599378889,6.000004812003863e-21,0.0032353945947864674,0.0010615508513637834,6.000004812003863e-21,0.03246266603505818,0.0022777218267329064,0.0009281887444073736
