,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2016-09-30,8.814898906169198,1.747664309563005,0.11938472571391827,0.007810930911541079,1322.4535527874095,11475.142208251178,0.027333866343714472,0.22536166038160088,0.016758577969457417,1.0732935965571122,0.03898054250218498,0.06641380059619802,0.10424234562999402,0.4629564107484767,0.09999999999999995,0.6299890101948739,15.691352575855232,0.43213227726981895,0.23946625309849817,0.6843504336947827,0.6468624595629748,0.8457603838137099,0.8162789087791869,0.010969000679319416,0.3435196377176888,14.69135257585523,0.008284902753703072,0.009717879907132186,0.2415804678694281
2016-12-31,13.031714888101597,1.586635519834657,0.12010238578382586,0.007588740638784298,1351.032095586288,11615.213342894633,0.026471488080757683,0.23158412744270063,0.017457565200361753,0.968198744119395,0.03865882647139274,0.0646586046127301,0.10285081460763659,0.49113149771230546,0.08195715678159098,-0.12859357259588874,16.34604593376471,0.4135226035779588,0.21355088484203025,0.6741916730835726,0.6381407288369809,0.8562289314590763,0.7941957984606492,0.011118547107526038,0.35175016157709776,15.346045933764712,0.011187712311737345,0.02052479390191359,0.1936226168263344
2017-03-31,13.623910660402224,1.7007757762335876,0.12061746197941985,0.007901894508024743,1354.1095245473534,11374.028892751883,0.027148549811553034,0.2260985597933286,0.01789377623513287,0.9690205653994344,0.04036893331645504,0.06370037699818458,0.09796985655450792,0.4713954266891131,0.08138990154481333,0.08813214092514415,16.540714878493674,0.42424439467679476,0.2531848759351464,0.7005831397394181,0.6641113271726297,0.8885911493681194,0.7973770001531649,0.011723956685565546,0.3255679183269835,15.540714878493675,0.010655544386372888,0.004175759205861492,0.21268288396187307
2017-06-30,16.58676313574532,1.7697069039134876,0.12294518711807122,0.007945052068207004,1389.8347495237178,11537.716466041791,0.0276120706878738,0.21712930233651057,0.01954066614145894,1.0093793157853812,0.04082792671440101,0.06264549394562713,0.09645097277642029,0.4745431431414306,0.08168142186188015,0.258819591009667,16.84119620724629,0.4124106288880926,0.22125413008755765,0.6964200537000014,0.6608613006391372,0.8907773438270578,0.7920928315574405,0.01261768026625591,0.3289853658488843,15.841196207246295,0.008325649194956566,0.030684735171398664,0.21659818338517298
2017-09-30,14.434814305986725,1.7847353200996208,0.14703291717931546,0.010486297992939101,1428.6593139694983,10963.692013301812,0.036142900469375135,0.21539328863330323,0.019161466274362247,1.0306673579841275,0.044449205625251224,0.06784576187184939,0.10487767451766349,0.43600706769577513,0.08410233897406416,0.06434887460179056,16.195699711846263,0.44865475498052965,0.24100847855386778,0.6945965858192472,0.6573114766709366,0.9392998425804593,0.7590888948680161,0.012489659726787946,0.3302857136678596,15.195699711846261,0.014761209884322963,0.07147909106470501,0.2196066141760445
2017-12-31,15.51693230086499,2.2398845888641903,0.15326497853484156,0.00990118303200594,1600.4284871448504,11168.59463675058,0.03340260663550029,0.23459503116140426,0.015804815870305525,0.938904893847778,0.04121723213355832,0.061290335376390906,0.0990783791595388,0.42662045494107087,0.08158691221419706,0.13979764611123865,17.00888899509897,0.4352267335529401,0.25087324951650586,0.6478274023158523,0.6150271311291313,0.9126670375110821,0.7087820299290423,0.010144225576255276,0.3522198631421005,16.031564309349285,0.014968894525805581,0.028180873434800233,0.19729337745018152
2018-03-31,19.678778425520274,3.057290130832426,0.17094238782400453,0.011442250275957912,1765.261943482181,11535.776111242494,0.0364692024674103,0.25075351016331593,0.018125393493560717,0.9041744716031678,0.044658696208767494,0.06566658645277065,0.1019864555062939,0.393041604503266,0.08152710165634694,0.13538388972060716,16.74661833997271,0.48801322799634156,0.29366394422259035,0.6894525797835986,0.6530428283867453,0.9423552287450931,0.7471632118178668,0.012055226487525656,0.33487444149496487,15.74661833997271,0.016498983224714964,0.043019557884812126,0.1919141706941649
2018-06-30,13.28957443352607,2.2411605995564634,0.18737161095185254,0.014503873183120611,1970.2660819353418,11980.868179592437,0.036452701846749605,0.2290816111373074,0.017350220697839796,0.9623182649796459,0.04250709058212357,0.07872530317772436,0.1250297406883921,0.40526404498510066,0.09871378291572254,0.09608098269708493,14.505432004259918,0.4607214831585159,0.2933931947582627,0.6788102480080697,0.643956511178893,0.9136588375715406,0.7445107774562458,0.011270127657781025,0.3377010988692596,13.520869055443672,0.014962268812428,0.06991083204991447,0.1926954528224222
2018-09-30,14.134397397363522,2.342618552847719,0.1856538438982063,0.014036721630772396,2062.523980118846,12519.356759226936,0.036321197009313994,0.22035989254626878,0.01822734174685164,1.030580836544079,0.04352508826214887,0.07661722264004368,0.12173435883605302,0.4177002985961615,0.09424861051027542,0.03695783457592879,14.832131599280762,0.45205825343537676,0.26992239708925714,0.6882222152842341,0.6522561112423123,0.9263408419814396,0.7436724177304816,0.011673140329622661,0.3291584404855043,13.845400803363267,0.01303816919261377,0.03159231759806627,0.17755736768277355
2018-12-31,12.527192255594215,2.023241222467488,0.18732443953818073,0.013680465510717933,2210.9197200080935,13050.757312256947,0.03432719033143913,0.3189302237376862,0.015665312548443232,1.0445954649397444,0.04341262183280976,0.07628376095019813,0.1266112338927515,0.5198470494938384,0.09372132932775035,0.038035095479956066,15.482047468273802,0.3796198401523633,0.2511021477921128,0.6753754479145471,0.6411497508799628,0.9196164982404536,0.742460062299428,0.010294627652833914,0.3539036984431164,14.482047468273803,0.012387111206674052,0.032301747559554395,0.13494155051825435
2019-03-31,18.41772550412028,2.844090485840223,0.18156365609912922,0.013644087986918171,2045.4219151477225,12544.579958492699,0.03499428520929759,0.21914815177957686,0.015895310698765312,1.096611652238657,0.04419223983804139,0.07906352049662392,0.1270594521857951,0.3885821087488352,0.09361709517052313,-0.07650657389017645,14.66545159812251,0.4899646776674513,0.3287792786300092,0.6958021965441349,0.6602072321508615,0.9201399231545148,0.7634410531754735,0.010528317300066046,0.3364242889037065,13.66545159812251,0.011361307868238484,-0.040686709107927405,0.1333296256192392
2019-06-30,17.062128574567854,2.707401087219844,0.187027968333557,0.013836663116532515,2222.3402944006843,13037.02976222635,0.03546743492389777,0.23260025468431508,0.015574741246526247,1.1278500649978391,0.04344257866289748,0.07617653832866073,0.12151363829660873,0.395262593497295,0.09345976515200183,0.05480058983873544,14.874721729399054,0.4858130170619231,0.30923623281515794,0.6919182640271133,0.6578989982925899,0.9213990817934639,0.7600435138673137,0.010218128686028524,0.33994307564885556,13.874721729399058,0.011570579415448866,0.03496804625935111,0.13925058632202075
2019-09-30,18.530923263853612,3.0617593831097643,0.19703851675735057,0.014903385623099171,2464.710647451253,13717.148825106977,0.0364115224377822,0.23953585329720256,0.016326782644246675,1.1867670842697422,0.04465192396326654,0.07802807321414197,0.12252194427202166,0.3709708979772809,0.09213890803034502,0.0939871717521648,14.620882463550908,0.5047155696661737,0.32853801528956594,0.6945609280184688,0.6601748797340006,0.9243789274750613,0.7612662940807277,0.01110152833314305,0.33902123689924296,13.62088246355091,0.012239821950633363,0.05044034274985518,0.14684031538249473
2019-12-31,20.254602911540225,3.162527805753841,0.19244168086617475,0.014465890721526316,2573.1999512038997,15084.908955139164,0.03537990389526739,0.25731582108724266,0.013132359805456663,1.2127039760991978,0.043370049265183945,0.07831738910386918,0.12235524099391329,0.40660194602791383,0.10849476036850828,0.09099580248042767,14.085893942114495,0.48469922840874546,0.3195339278932474,0.691251164338943,0.6576459567271862,0.9272024566397313,0.7530060982126884,0.008984787784179415,0.338968504554009,13.0858939421145,0.013147903987177427,0.09958347491540039,0.17615728957295237
