,VHG_capital,VBC_capital,TTP_capital,TPP_capital,SVI_capital,STP_capital,QHD_capital,SDG_capital,MCP_capital,INN_capital,HPB_capital,HBD_capital,DPC_capital,BTG_capital,BPC_capital,BXH_capital,BBS_capital,APH_capital,HDO_capital,SBG_capital,BAL_capital,BBH_capital,ILS_capital,NHP_capital,PBP_capital,PMP_capital,PBT_capital,TKA_capital,SVG_capital,TB8_capital,TDP_capital
2016-12-31,0.1031280258049238,0.036739359193004105,3.1829637594112287e-19,0.20711545182488864,0.12662593746240125,0.006926129140478834,0.04506121794198476,0.025975530647803155,0.08233149549005864,0.1652913080262251,0.008785616568726872,0.003906769718301341,0.019740104643116558,0.0015049052654496288,0.014030504251484695,0.017264395431046502,0.014437923612689332,3.1829637594112287e-19,0.011764234054783903,3.1829637594112287e-19,3.1829637594112287e-19,3.1829637594112287e-19,3.1829637594112287e-19,0.026354939927924974,0.008754423523884643,0.010347178589094022,3.1829637594112287e-19,3.1829637594112287e-19,0.06391454888172934,0.0,3.1829637594112287e-19
2017-03-31,0.10130034627209725,0.02887059868754772,0.1659299671936953,0.16185544215475095,0.1004659315679893,0.004662317171634303,0.029783552425555505,0.028041436593987216,0.08909653097589504,0.12691807828490762,0.007829391207430095,0.004386430055737702,0.012276601470931054,0.001734862226526584,0.011557744198866838,0.01157825439243304,0.010595265847126023,2.501243117829562e-19,0.007563759188316596,2.501243117829562e-19,2.501243117829562e-19,2.501243117829562e-19,2.501243117829562e-19,0.026233037819796443,0.007755854659765905,0.008750849172038506,2.501243117829562e-19,2.501243117829562e-19,0.050225462054641165,0.002588286378330031,2.501243117829562e-19
2017-06-30,0.10080957621450194,0.04623335736734055,0.12924917433191205,0.1394822153657548,0.10315484727494047,0.007856194560164634,0.024775112085474938,0.028204665455599905,0.0943079379140471,0.14229793111519437,0.007041896517811287,0.0042490657009032025,0.009036941205711501,0.001988381986023969,0.011932609377665987,0.007343456198383977,0.01527786508492193,2.896826902715573e-19,0.005840003035874595,2.896826902715573e-19,2.896826902715573e-19,2.896826902715573e-19,2.896826902715573e-19,0.025584775204783944,0.010345148234977855,0.010791838943376595,2.896826902715573e-19,2.896826902715573e-19,0.07119937034570442,0.002997636478930075,2.896826902715573e-19
2017-09-30,0.08165454560552458,0.04534825894363314,0.08395194468527323,0.13604477683089944,0.13542045017335058,0.007085953788140438,0.022700271228413445,0.03214974736298874,0.11814351701351651,0.1691217876778831,0.008363824360611076,0.004160537449911625,0.007726888149880225,0.0017751790479664325,0.013206200332584652,0.012437325138558997,0.015186822832394743,3.075500776102621e-19,0.005166841303852403,3.075500776102621e-19,3.075500776102621e-19,3.075500776102621e-19,3.075500776102621e-19,0.025465146426129702,0.013005677681982764,0.011044123286984512,3.075500776102621e-19,3.075500776102621e-19,0.048917070044222626,0.0019231106352969687,3.075500776102621e-19
2017-12-31,0.07197452677548363,0.03634713602161923,0.10273643951932532,0.13963058194443823,0.14203996921409576,0.0070119183418604495,0.02401550043408637,0.023811412664829664,0.10979250223760807,0.17723007473195088,0.007776127872823251,0.004053925234780906,0.008093135677421048,0.0020920595782740574,0.01498797545572671,0.008147516430984747,0.014490871390797369,3.1988678566881614e-19,0.004299278399388889,3.1988678566881614e-19,3.1988678566881614e-19,3.1988678566881614e-19,3.1988678566881614e-19,0.019423525625810515,0.014110845889422815,0.013448680243088368,3.1988678566881614e-19,3.1988678566881614e-19,0.05276020710750052,0.001725789208683263,3.1988678566881614e-19
2018-03-31,0.05121010017356369,0.03210955877818208,0.073705375628838,0.08375329286450578,0.12577641119617983,0.005109997092587861,0.016823619199492525,0.024693179915949357,0.10900648000493378,0.14049738773424492,0.005083290750024228,0.0040122838162867935,0.006438706465908391,0.0018006131996511105,0.013611424367637858,0.007978863994784278,0.009498647612838427,2.753231192127081e-19,0.0032377998819414465,2.753231192127081e-19,0.010385188056703347,2.753231192127081e-19,0.1704800754165088,0.012158268944433188,0.00897333110138058,0.010453468190268097,2.753231192127081e-19,2.753231192127081e-19,0.07171726738500303,0.00148536822815256,2.753231192127081e-19
2018-06-30,0.05215942791318683,0.02516899378668063,0.07492329252387052,0.07389252287701467,0.12727562752759342,0.006755887805898485,0.015618850914004279,0.04102987548523446,0.1266005906986217,0.12036408936538256,0.005166819097305205,0.0031933160866851047,0.009386489217901115,0.001804881791281703,0.015080422110519477,0.0062342935267666166,0.014190676102095592,2.759758090644806e-19,0.0037091148738266195,2.759758090644806e-19,0.016718614513126232,2.759758090644806e-19,0.15796855310850869,0.009902012029233563,0.009418502411752594,0.010385521646714534,2.759758090644806e-19,2.759758090644806e-19,0.07156273509689233,0.0014888894899028728,2.759758090644806e-19
2018-09-30,0.04547497966618765,0.02769642809193048,0.04755383587949909,0.08939081717239174,0.15703217867307184,0.00856950727931714,0.01578487071968558,0.04470493667717354,0.1038073962816769,0.12327617344936813,0.007446058734040086,0.004257035556814418,0.009166023520525672,0.0018882943937578874,0.013111230645343372,0.005907416406159997,0.01370312720607788,2.887300296265883e-19,0.003395465148408678,2.887300296265883e-19,0.017491265194778716,2.887300296265883e-19,0.1527959316783905,0.01035963346300199,0.00917468542141447,0.011374808247169074,2.887300296265883e-19,2.887300296265883e-19,0.07487000652241135,0.0017678939714036001,2.887300296265883e-19
2018-12-31,0.03235086550547028,0.020938199063262712,0.05205254259830169,0.06750547268808132,0.1303313327717862,0.0071123976903878375,0.01726577673828988,0.026187905808657805,0.0763504389533177,0.0910569027760637,0.00591397785044075,0.004375514468625051,0.012273199464653085,0.0016793693737950797,0.011564835328103673,0.006901517974500327,0.010467302261325497,2.3963604078126137e-19,0.002415531291075115,2.3963604078126137e-19,0.014986837990460087,2.3963604078126137e-19,0.11214966708563032,0.00462976830789397,0.008040268440292882,0.008836818639849794,2.3963604078126137e-19,2.3963604078126137e-19,0.12075643512633011,0.0014672914777036634,0.1523898303257013
2019-03-31,0.024718847824840268,0.020549602158383876,0.04354472232823862,0.07672730364830418,0.11351070699640073,0.006802626921396042,0.015190555949958506,0.025809333529326333,0.08506887110450184,0.0837672315088187,0.0072517409209869165,0.004395999897169592,0.019229286099899743,0.0015398194271687164,0.009919179255151902,0.007316778956152718,0.007474979582231696,2.1972309177635795e-19,0.0025839435592899694,2.1972309177635795e-19,0.0031376457505663913,2.1972309177635795e-19,0.11153144138567928,0.004851485866421984,0.007762377386275173,0.008268619389727902,0.052601708171260086,2.1972309177635795e-19,0.11072198151557518,0.0013453644909466396,0.14437784637532705
