,UNI_capital,TST_capital,VLA_capital,SRB_capital,SRA_capital,SGT_capital,HIG_capital,HPT_capital,ITD_capital,CMT_capital,CMG_capital,FPT_capital,ICT_capital,SBD_capital
2019-12-31,0.0013954431913795456,0.0006974314827601721,0.0003868172394676495,0.00018494699262046994,0.005712903809697716,0.012058060397305306,0.003267348517473369,0.0011364690495559542,0.004081042756771036,0.0014330611679177745,0.08368481522091024,0.883800874898397,2.4176077466728098e-20,0.002160785275743757
2020-03-31,0.0020790932310308283,0.001131814066596664,0.000534467753670647,0.00020333012367905045,0.0055950982335669875,0.01183483839202164,0.003637592999183228,0.0014144941982055894,0.004479243018694376,0.0013495994242784437,0.07410976347854031,0.8807670446089546,0.009771328108284535,0.003092292363293042
2020-06-30,0.0019010943971932254,0.0011039415583046746,0.0004864229526915563,0.0001763153559862784,0.008848956572205455,0.015119560350399802,0.0037679110148844124,0.001585593624893073,0.004281610990296198,0.0010959295810988277,0.0776069670909203,0.8696775677006239,0.011738765256820558,0.0026093635536816344
2020-09-30,0.0019515877883332536,0.001326634889733089,0.000375305343910241,0.0001969194705701882,0.009277548101461157,0.013097693162536658,0.004502737447061386,0.0016215044216645426,0.003990167648665455,0.0011043475579541532,0.07750120219336783,0.8694055091534771,0.012338464352004162,0.003310378469260627
2020-12-31,0.0026116792760945023,0.0009548583054680353,0.000332467165765273,0.00020089840585342324,0.008593724749212318,0.013175784076441766,0.004353350279310827,0.0014359115078762714,0.003657729701082278,0.0011401772369067469,0.07432705287494386,0.8735863325741935,0.013305698378893649,0.00232433546795768
2021-03-31,0.0030919779273026592,0.0007464656771239556,0.00027748519860408484,0.00025918947122359574,0.006125409526987755,0.02470837982735054,0.0034801522765587037,0.0012526474679841546,0.003970706466948068,0.001412384414455308,0.05451687661928624,0.8890870316164197,0.009121578828574586,0.0019497146811807895
2021-06-30,0.0024924272698242825,0.0005567130995846831,0.00021870871769398263,0.0002716106640193129,0.0041412637714003464,0.02455691779579579,0.002701431379914961,0.0010326649280901596,0.003389570903200492,0.0016121246811060023,0.04385043514395354,0.9079472877905881,0.005758169746984075,0.00147067410784418
2021-09-30,0.0020938115402753077,0.0005669397401360833,0.00025340488384870396,0.000337694220213633,0.004081966128979801,0.03283182395112309,0.0023296069321955427,0.000977112052128477,0.004506365621950987,0.0015723773042812077,0.06270233265960205,0.8798332458424339,0.006313346456198736,0.0015999726666325288
2021-12-31,0.002953381309967558,0.0006381549935107082,0.0004194805490677055,0.0007684449713524778,0.005375817665334206,0.0379361871808999,0.0025960145136015612,0.0011293641638490176,0.003596003388432841,0.0016809534324899978,0.06338495744878227,0.8715098745019281,0.005582367164900505,0.00242899871588325
2022-03-31,0.004502033148332292,0.0004691945216624225,0.0011331420074751997,0.0005855622105667933,0.004464050734673906,0.031978585664130046,0.002419516987699675,0.0009885109342897356,0.0037222765385218856,0.0015915934640979709,0.06349140267135903,0.8777177138452248,0.005164919360822262,0.0017714979111441277
2022-06-30,0.002390474158327462,0.00038173102430935114,0.0015490365651089832,0.000337991011107238,0.0028909142206842335,0.025707489621857496,0.0018192354049783568,0.0011074854961365204,0.0024949264736682064,0.0011894180086712103,0.061435884157474877,0.8919972854812028,0.004534452490591752,0.002163675885881472
2022-09-30,0.001999093004099992,0.0003954249898219764,0.001938884260793765,0.000242055420724358,0.0024604221588922976,0.026642368913005386,0.0018388075658388207,0.0014734055845033276,0.0021528693890307607,0.0012398729554834657,0.06940213023008794,0.8837858057684248,0.004827154631410109,0.0016017051278830658
2022-12-31,0.0017135024542595152,0.0006047655720915937,0.0012732813611842954,0.0001556065262949346,0.0013956128586729087,0.024225082460421102,0.001752269478111541,0.0014827955878690185,0.0028546528758148252,0.0009095282226571954,0.06417579277406152,0.8937894786275727,0.00425461625605335,0.0014130149449353732
2023-03-31,0.0014647249418730808,0.000526642675729647,0.00146767886713759,0.0001703781893636578,0.001458395102020561,0.01936087016224055,0.001692810171225544,0.0010423136290482597,0.0028302296440579134,0.0008910410063061241,0.06273073848722398,0.9007641045078504,0.004001682555830665,0.0015983900600921239
2023-06-30,0.0013294663887209032,0.00014875148405268847,0.0007983771058140389,0.00019756056475747687,0.001715290550482564,0.01863267287222478,0.001838475373213697,0.001208605807928094,0.0027997431015385574,0.0008243117721091625,0.06667537353521673,0.8989626462749558,0.0034956792439209987,0.0013730459250644643
2023-09-30,0.0011151718949828826,0.00014918687558299434,0.0006278281014117679,0.000151906428002476,0.0013091148332407755,0.016329746756521924,0.0014048430784065302,0.0010683023515705588,0.002046463195659955,0.0006086280613302274,0.0553457200709682,0.9160536795513156,0.0028497645893264503,0.000939644211679766
2023-12-31,0.0009456469791312488,8.980503125652886e-05,0.0005837327031674376,0.00012722379428008255,0.0011315433938322637,0.012515827856118239,0.0015560218415714567,0.0009923455953846439,0.001807850116719973,0.0011931496452742424,0.06198343257325622,0.9136658284289992,0.0026170084158465075,0.0007905836251616424
2024-03-31,0.0009117328422175996,0.00011764294738291606,0.000490178947428817,0.00011751726047331896,0.0009773414090273028,0.011579534981183822,0.0012356280082494102,0.0010568258106565295,0.0015550612889905224,0.0009844929941833797,0.047801748205619846,0.9301294529293128,0.002361493638347645,0.0006813487369260556
2024-06-30,0.0007505338243992754,0.00012008541190388407,0.0002636490613915403,0.00011859396648360344,0.0007897925167524683,0.010502662427330885,0.0012612817141315004,0.000909146639288989,0.002050978008598789,0.0007143638674003411,0.05587820544937785,0.9236307393213301,0.0023144731143340427,0.0006954946772766619
2024-09-30,0.0005239458088280498,8.855422121037462e-05,0.00027625889522894646,8.041782909061798e-05,0.0007765524013832851,0.010326595347342298,0.001143919966511367,0.0009455622953685557,0.0013907553972142168,0.00045237394093739983,0.04575452803939801,0.9359828762626758,0.0017973857847806596,0.0004602738100304194
2024-12-31,0.000508093817645857,8.966361487868063e-05,0.00018392536385370388,8.142529128940015e-05,0.0004552152755379172,0.010278745594532514,0.001093302175865793,0.0009564118920392602,0.0015020571381385817,0.0004685307055252425,0.04906362351934096,0.9329117866174564,0.0019278635143519746,0.0004793554795437157
