,VNG_capital,VNS_capital,STT_capital,TCT_capital,SGH_capital,RIC_capital,HOT_capital,PGT_capital,PDC_capital,MAS_capital,HHG_capital,DNT_capital,DXL_capital,DLD_capital,DSN_capital,VTG_capital,DTI_capital,ATS_capital,DAH_capital,BCV_capital,CTC_capital,BTV_capital,HGT_capital,DSD_capital,BLN_capital,GTT_capital,TSJ_capital,KLF_capital,MTC_capital,NWT_capital,ONW_capital,EIN_capital,DSP_capital,HES_capital,SCS_capital,BSG_capital,TSD_capital,TPS_capital,SKG_capital,VJC_capital,TTT_capital,VTR_capital,VTD_capital,VIR_capital,HVN_capital,VTM_capital,DLT_capital
2016-09-30,0.13371367402193807,0.14663154181028562,0.01019487246134186,0.06058876995763963,0.03341208719233558,0.08365306160171321,0.02163884641344272,0.00559799528395303,0.007749480756087563,0.044134153959336016,0.02460155901183673,1.1480712231240836e-19,0.0010148949612416897,0.007367173038787243,0.04919037443309678,0.048046780687742895,1.1480712231240836e-19,0.0037771543240782343,1.1480712231240836e-19,1.1480712231240836e-19,0.014511620260288415,1.1480712231240836e-19,1.1480712231240836e-19,1.1480712231240836e-19,0.0,0.0024970549102948814,1.1480712231240836e-19,0.03797819606094468,0.002002465827373026,0.003815614710052891,1.1480712231240836e-19,1.1480712231240836e-19,1.1480712231240836e-19,1.1480712231240836e-19,1.1480712231240836e-19,1.1480712231240836e-19,1.1480712231240836e-19,0.0037484525435001323,0.24331704870841417,1.1480712231240836e-19,1.1480712231240836e-19,1.1480712231240836e-19,1.1480712231240836e-19,0.008802262067692346,1.1480712231240836e-19,0.0,0.002014864996582766
2016-12-31,0.13423265389086367,0.12311531567701231,0.00789528500299013,0.05625474557024117,0.024774816392627488,0.08278290318028801,0.02128367255061382,0.004539788876719324,0.007244343952211689,0.04038753250505634,0.022497992581791793,1.0499049206103898e-19,0.0009281159498195845,0.006737239875556871,0.04521300051067376,0.022262183936622704,1.0499049206103898e-19,0.0038951472554645456,0.0478254789246286,1.0499049206103898e-19,0.01061663855721226,1.0499049206103898e-19,1.0499049206103898e-19,1.0499049206103898e-19,0.004635330224494871,0.0013701259213965585,1.0499049206103898e-19,0.041677025728550025,0.0018312441625286417,0.00348935900364863,1.0499049206103898e-19,1.0499049206103898e-19,1.0499049206103898e-19,0.0123223140912359,1.0499049206103898e-19,0.06841180462697298,1.0499049206103898e-19,0.0036641681729302606,0.1897671646855661,1.0499049206103898e-19,1.0499049206103898e-19,1.0499049206103898e-19,1.0499049206103898e-19,0.009229084214133569,1.0499049206103898e-19,0.0,0.001115523978148539
2017-03-31,0.011405487800131097,0.011100627315063501,0.0008007425552629138,0.006153973451380579,0.003449020614004943,0.007163976727752202,0.002077482073932115,0.0003376464441358619,0.0007006497358550495,0.0039625412632648006,0.003019711390140234,1.112142437865158e-20,9.831339150727996e-05,0.0007136618023780718,0.0048095044582453905,0.0024823019213150326,1.112142437865158e-20,0.0005332722989563432,0.005066053475812125,1.112142437865158e-20,0.0010015954795413614,0.005549590764947138,1.112142437865158e-20,1.112142437865158e-20,0.00046265125415190575,0.0001935127841885375,1.112142437865158e-20,0.004782657339795326,0.00019017635687494202,0.00036962053922448524,0.00031139988260224424,0.0033475709808228828,1.112142437865158e-20,0.0008532912854520426,1.112142437865158e-20,0.006586107517037465,1.112142437865158e-20,0.0007373504363045997,0.020020287702351536,0.4336821679303941,1.112142437865158e-20,1.112142437865158e-20,1.112142437865158e-20,0.0009776176885809885,0.45609726530847383,0.0008000752698001946,0.00016209476031884678
2017-06-30,0.015732093540524968,0.009263846300818671,0.0008592807456792604,0.0059484166683873236,0.004444812482716545,0.0065561292638421885,0.002565958567150728,0.0004835739515577965,0.0011140940519112751,0.003959250301773799,0.0026678953162491944,1.1426605660628464e-20,9.644055177570422e-05,0.0007332452852425285,0.004485216960332526,0.0027842067352687318,1.1426605660628464e-20,0.0006518878529388539,0.004791358579192085,1.1426605660628464e-20,0.0008304856994144767,0.005159112455773751,1.1426605660628464e-20,1.1426605660628464e-20,0.0004730614743500184,0.00024852867311866907,1.1426605660628464e-20,0.00510289355592346,0.00019539495679674675,0.00037976323913098696,0.00034736881208310527,0.002754657533030346,1.1426605660628464e-20,0.0012454543105858602,1.1426605660628464e-20,0.0064308936658017,1.1426605660628464e-20,0.0003976458769898705,0.020478476999836816,0.4427359942294728,0.002253875113347643,1.1426605660628464e-20,1.1426605660628464e-20,0.0008610861493736396,0.44204473029342733,0.0008220300112256117,0.00010083979495504618
2017-09-30,0.014198600743457933,0.00707741147027451,0.0008045760200123844,0.005564509582289898,0.003869896762788587,0.0058274407953010235,0.0022982075394691465,0.00035551033442407677,0.0006406507742767975,0.0034150753892916966,0.0021719891678767082,1.0169059909155517e-20,8.419981604780767e-05,0.0006525485743705095,0.004237691321582923,0.002156247463137336,1.0169059909155517e-20,0.0008897927420511077,0.003673247482265337,1.0169059909155517e-20,0.0006587517009150943,0.004868437431508202,1.0169059909155517e-20,1.0169059909155517e-20,0.0004209990802390383,0.0002654124636289589,0.008435560604561592,0.006391457534102424,0.00017389092444655932,0.00033796870608078354,0.0003213422931293143,0.0014681275172046002,1.0169059909155517e-20,0.0010667750607100501,0.033515970666207755,0.005363162196088619,1.0169059909155517e-20,0.0006884453558498283,0.0111512385604813,0.4801493289839044,0.0020287477899963435,1.0169059909155517e-20,1.0169059909155517e-20,0.0006387389910138762,0.38326259379343425,0.0007315621698646478,0.00014389219771455055
2017-12-31,0.010654789578187553,0.004181205707573299,0.0005572748995492838,0.004774731339338264,0.002878101946212231,0.003354349075367049,0.0008804943412878684,0.00024993779244785375,0.0004179561746619628,0.002387296010306688,0.0015680670782880189,6.965936244366048e-21,7.439619908982938e-05,0.0004858740530445318,0.003210523389729623,0.0011013145202342723,6.965936244366048e-21,0.001504293931970848,0.0026042013330837585,6.965936244366048e-21,0.00037421009504734406,0.0056650476507306875,6.965936244366048e-21,6.965936244366048e-21,0.0002194269916975305,0.00012120729065196923,0.00655483455096854,0.00391736390638169,0.00011911750977865941,0.00023151289108150558,0.00022708952156633315,0.000923460236043118,6.965936244366048e-21,0.0007307545757789757,0.030779295796926138,0.004208818678845966,6.965936244366048e-21,0.0005001542223454821,0.007629476501323134,0.44624099655352645,0.0012080326634979599,6.965936244366048e-21,6.965936244366048e-21,0.0004518245566820705,0.44841548321156777,0.0005011294534196934,9.595577176614228e-05
2018-03-31,0.007509988832653793,0.003197094243479658,0.00040768362171181126,0.003695652030817569,0.0015067094850546052,0.002092775924787298,0.0014056591540271828,0.0001758135618632186,0.00036627825388170547,0.0015599313078577643,0.0008577652784055527,5.30838049103921e-21,5.669350364429875e-05,0.00037025953924998484,0.002362431036971108,0.0008392549556332992,0.0007990439734136771,0.0009661252493691361,0.001819150143996191,5.30838049103921e-21,0.0003271024058578361,0.002541387160085021,5.30838049103921e-21,5.30838049103921e-21,0.0001672139854677351,9.236582054408225e-05,0.004995101107980039,0.0021072147197229245,9.077330639677048e-05,0.00017642402561968812,0.00017411488010608605,0.0006386512568769272,5.30838049103921e-21,0.0005958710184996423,0.03383791577863655,0.00248432206980635,6.900894638350973e-05,0.00033071210459174275,0.0048750308496532235,0.5216146743001745,0.000997009407066002,5.30838049103921e-21,5.30838049103921e-21,0.0003586766530185373,0.3930831122729056,0.0003818848925253607,7.31229412640651e-05
2018-06-30,0.009157633020848719,0.003795258176794427,0.00029828420512370194,0.0045883286705563344,0.0052774883538125135,0.003807755856573735,0.0017768527694801489,0.00019707107268495923,0.0007530739020739782,0.0011775599052047973,0.0008877569857160086,6.693990240657584e-21,7.149181577022299e-05,0.0006225410923811552,0.002906182475001009,0.0016186068401910037,0.0008585042483643351,0.000820013804480554,0.002671625056968367,6.693990240657584e-21,0.0004442131923700372,0.003966189217589618,6.693990240657584e-21,6.693990240657584e-21,0.00021086069258071389,0.00011647543018744197,0.008512077990020182,0.0022143719716095286,0.00011446723311524469,0.00022247476564825477,0.00019546451502720143,0.0010028936178553191,6.693990240657584e-21,0.0007514070985040545,0.044703223248008545,0.0034500825700349183,8.702187312854858e-05,0.00040063531590335636,0.0058270180946388165,0.5025982288009746,0.0011741125002308588,6.693990240657584e-21,6.693990240657584e-21,0.0004522995325807516,0.381696678714488,0.00048156565791290654,9.22097155650582e-05
2018-09-30,0.010498350389342265,0.0037155386521593435,0.0004040185371072221,0.0039325738454238975,0.0029086482776163936,0.002513850869473737,0.0012367720394741081,0.00024050985856029927,0.00042778433340764693,0.0013428150225666038,0.0005598627463472579,5.941449075106208e-21,6.345467612213429e-05,0.0006243868833029114,0.0027649483902858754,0.0007514744790194331,0.0016146184934054874,0.0007839742054602641,0.002891560670076389,5.941449075106208e-21,0.0003473371129307089,0.0040862316014042945,5.941449075106208e-21,5.941449075106208e-21,0.00018774979077335616,7.7535910430136e-05,0.0045330879863430314,0.002260246057151903,0.00010159877918431616,0.0001974640600111548,0.000177055182438165,0.0010250187944373227,5.941449075106208e-21,0.00043762337307602287,0.033283682821943994,0.0035292207506130873,7.723883797638069e-05,0.0006101868200134074,0.006463940106771047,0.48326254284906234,0.0009314290886062497,5.941449075106208e-21,5.941449075106208e-21,0.0004014518311067762,0.42022642993137105,0.00042742784646314055,8.035809874081146e-05
2018-12-31,0.01432961982039445,0.005212613141962067,0.0005473209951577574,0.004535274604086176,0.005189207967827031,0.0029405540624054672,0.0011413083067447552,0.0002782695164854704,0.0006049337314901529,0.0012903884635968703,0.00042727045582512823,7.201592041549441e-21,8.23862129553256e-05,0.0007568153076464308,0.0035369827136945502,0.0010448069733879927,0.001957068645251268,0.0009779761992424138,0.003729200406875547,7.201592041549441e-21,0.0005006546787285171,0.005962918210402936,7.201592041549441e-21,7.201592041549441e-21,0.0002340517413503568,9.398077614222019e-05,0.007816233519111601,0.0022631723149773267,0.00012833237018041103,0.00024730267070680777,0.00022036871647141288,0.001078942519664937,0.010505848106829278,0.00048221860310215055,0.03910592666899685,0.003240716418697248,9.362069654014272e-05,0.0006762294927014924,0.005540940924728346,0.46398947242468985,0.0011760199803850233,7.201592041549441e-21,7.201592041549441e-21,0.00050313202639081,0.4069726822369167,0.0005180825314690667,6.715484578744852e-05
2019-03-31,0.015475831342589235,0.003867271612643624,0.00034318432951714557,0.004298146138051045,0.004146643455966513,0.0027830665196165814,0.0014867801106465876,0.00023679718736683043,0.0004949773983420368,0.001292933762058557,0.0004145930688512901,6.599698644560492e-21,8.078031140942042e-05,0.0004787421396764181,0.003382715138461347,0.0009820351583106012,0.0017935011051525365,0.0007922938222794869,0.004695619588618344,6.599698644560492e-21,0.0003753908589026008,0.003445042692460577,6.599698644560492e-21,6.599698644560492e-21,0.000214490205948216,0.00011483475641535257,0.00858470320528224,0.0018557032648775192,0.00011760662984606796,0.00022663365145420732,0.00020195077852355105,0.0009588042190817482,0.00948678301451399,0.000707679085957577,0.039814615785014024,0.003207453541256399,8.579608237928639e-05,0.001153627323069174,0.0043098012058573375,0.4128070848028937,0.0010130669413373245,6.599698644560492e-21,6.599698644560492e-21,0.00046108134610357414,0.46327561390891764,0.00047478232048968176,6.154218986052658e-05
2019-06-30,0.013045996124960822,0.0036625932362755946,0.00042015891584170576,0.0035313121114978188,0.00393659245867266,0.0028317722318517225,0.0017251230779853565,0.0003979152085324389,0.000472678780321919,0.001182580520289582,0.0003234605771222543,6.178807585907438e-21,7.562860485150704e-05,0.0005171661949404526,0.0030914736934949975,0.0006665697623676945,0.0010476786142664652,0.0005730844035929148,0.004396159809297283,6.178807585907438e-21,0.00037097560745788256,0.004691259659600222,6.178807585907438e-21,6.178807585907438e-21,0.00020081124654199172,8.063343899609205e-05,0.01117538684355769,0.0014307646845927262,0.00011121853654633388,0.00021218025250006143,0.0001890715121287676,0.0008135018067605732,0.007612945899442071,0.00037235966035712586,0.03839543163682329,0.002780463413658347,8.03244986167967e-05,0.000681213536346295,0.0039897487403342214,0.42834460013151593,0.0010291792643542582,6.178807585907438e-21,6.178807585907438e-21,0.0004316762131818372,0.4545277174357146,0.0004445034177301811,0.00013608823707961132
2019-09-30,0.013587912536616889,0.0038412860221778192,0.00037844735569825006,0.0033369725193952,0.004336773406836104,0.0029608062162518444,0.0016231762612208508,0.00024443551809825325,0.00039853617081236946,0.001200708479370919,0.00031662564725028246,6.4802629400385295e-21,8.191052356208702e-05,0.0005423980080812249,0.0033324752169148135,0.0006990907659713565,0.0010279317088636116,0.0004899078782669129,0.00536362291178873,6.4802629400385295e-21,0.00035835854058413066,0.0036888896786169325,6.4802629400385295e-21,6.4802629400385295e-21,8.06792736034797e-05,8.45674313675028e-05,0.01177878513033163,0.0012862025883388472,0.00011664473292069353,0.0002313453869593755,0.000198296045965179,0.0013827585061454214,0.00885357499840942,0.0006315923471879153,0.04057002959004703,0.003538223565261037,8.424341822050087e-05,0.0008929802331373092,0.003714681125118285,0.48328712322633416,0.0011661362765858132,0.011977340386814413,6.4802629400385295e-21,0.00045273709004285174,0.3812766903399744,0.00046619011590637175,0.00011891282494970702
2019-12-31,0.012304834014112292,0.0029495749419655723,0.0004603247257077979,0.003092572794601312,0.0031958676396447536,0.002190133991675255,0.002495870545760742,0.0003490374293828358,0.00045526621223848147,0.001446481926551042,0.0003089487101385028,6.323141836645577e-21,7.992451281520008e-05,0.0011055381187191128,0.0034437158302157503,0.0006821405413373248,0.0007657008607085961,0.000725896682846912,0.005073853411412163,6.323141836645577e-21,0.00033967917946460036,0.005605465238186304,6.323141836645577e-21,6.323141836645577e-21,3.5093437193382954e-05,5.501133397881652e-05,0.01226413827325164,0.0016733562556498856,0.00011381655305962037,0.0002257361635682471,0.00016946020122210145,0.0012056966854115784,0.00992986826341005,0.0006215711656840969,0.029853291474808846,0.00394564050606684,8.220084387639249e-05,0.0006787892761639026,0.004200684432047939,0.500678511057923,0.001159676859124472,0.009527393962365722,0.0017626390183833208,0.0004728698391117027,0.37371245340508397,0.00045488682372828274,0.00010638686140156184
2020-03-31,0.012248934582578521,0.0034801829037552235,0.0007273547999247267,0.0033301659762707487,0.004119345934189077,0.0032284961624790727,0.002014213292099243,0.0005974700142238826,0.0011689630713075964,0.0010396777538484484,0.00031382162452796243,0.001049539006424351,9.871243713264149e-05,0.0017468504563027368,0.004013639700903313,0.0015238482703917489,0.0012098767788033624,0.0011469825691120688,0.007739534645792448,9.991137361603388e-21,0.00041043592281466725,0.004620901029741567,9.991137361603388e-21,9.991137361603388e-21,5.545081235689881e-05,8.692289504594948e-05,0.020604083148043524,0.0023135477674528808,0.000179840472508861,0.000356683603809241,0.0002857465285418569,0.0019051100721105341,0.015796827424233332,0.000929175774629115,0.036361895180879795,0.005994682416962033,0.00012988478570084405,0.0011639675026267947,0.0036808349153883047,0.5259686395183152,0.0011549554967266284,0.010896334406564654,0.003087261444735447,0.000847128554615628,0.31151119399536636,0.0007187624217937477,0.0001421239289688082
2020-06-30,0.013447632568745763,0.0036076244801881434,0.0006024873076076162,0.0025211776564503328,0.0030488837097785194,0.0030296504611125844,0.0030455402362582797,0.0002969401730351822,0.0008813859651127902,0.0012455266455349758,0.00037547869706260366,0.000869361046734303,0.00011420775885968548,0.0020242083869195997,0.0036400412766702727,0.0012622440131361762,0.0010021730839937402,0.0007733851496693919,0.011776475123344584,8.275924555049674e-21,0.00045765862789424696,0.007735920477832682,8.275924555049674e-21,8.275924555049674e-21,4.593138128052569e-05,7.200054362893217e-05,0.011359368525770082,0.0024639082585293888,0.00014896664199089412,0.00029545050661527333,0.00023669144227442065,0.0014653352017170952,0.012623226344194492,0.0008081440328006006,0.03760424530432937,0.0050648658276904,4.626241826272767e-05,0.0011143532413374385,0.004248694148071401,0.48408199981360955,0.0008934853668122727,0.00890696380237221,0.001572094628477236,0.0007016990911735516,0.36377521559383463,0.0005953700124902735,0.00011772502679558161
2020-09-30,0.01235908227441372,0.00430391362760288,0.00014563899423166975,0.002646922520617765,0.003330697598535455,0.0028428731674021933,0.0031775780559637036,0.0002740661073268694,0.00042202208555767936,0.0013165434080828781,0.0003465546067285414,0.001205725373381144,0.0001141942113861956,0.0028858863203576604,0.003579533405100258,0.0013082684652288062,0.0010322163716169593,0.0007646047197162661,0.0034767834396812443,8.274942854072146e-21,0.0004706787495396236,0.00390784176283557,8.274942854072146e-21,8.274942854072146e-21,6.123457712013387e-05,0.00010798800424564147,0.01691014362023917,0.0023267484317080057,0.0001489489713732986,0.0002954154598903756,0.00023666336562646334,0.0013524566600695512,0.008545450735971762,0.000815743866554432,0.041000099332414025,0.005064265026692152,4.302970284117515e-05,0.0008734202182473148,0.004550846197311245,0.46878676660546853,0.0009162182226885759,0.008644667300792087,0.0009691613070689296,0.000701615854711069,0.3870035865919314,0.0005952993889219501,0.00013860529280570842
