,SRF_capital,SDK_capital,LM7_capital,L10_capital,PMS_capital,L61_capital,L44_capital,PEC_capital,MAC_capital,LO5_capital,L62_capital,L35_capital,CTB_capital,CKD_capital,CMK_capital,NO1_capital,APL_capital,CTT_capital,FBC_capital,CKA_capital,FT1_capital,FSO_capital,DZM_capital,CE1_capital,IME_capital,LMI_capital,LLM_capital,ITS_capital,MIE_capital,SAL_capital,SCO_capital,SCY_capital,L63_capital,UEM_capital,VEA_capital,VES_capital
2016-09-30,0.2945300077684667,0.02327498719029438,0.00925604535462224,0.060192062941108425,0.03898646303366887,0.0430617675740897,0.006347002528883821,0.01487975405365201,0.07347713260937837,0.011464273317796403,0.01980992049718187,0.009294391828234244,0.07708103998281021,0.11969388935720073,0.0,6.6114609675873145e-19,6.6114609675873145e-19,0.011373035156443698,6.6114609675873145e-19,6.6114609675873145e-19,6.6114609675873145e-19,6.6114609675873145e-19,0.03866514603064414,6.6114609675873145e-19,0.06516784846531463,6.6114609675873145e-19,6.6114609675873145e-19,0.06570139336539893,6.6114609675873145e-19,6.6114609675873145e-19,0.005692467893092677,6.6114609675873145e-19,6.6114609675873145e-19,0.006696087667972431,6.6114609675873145e-19,0.005355283383745724
2016-12-31,0.29255991403531256,0.021940711969005395,0.011830002858917358,0.06189588940261772,0.048692291767303844,0.04765125151571911,0.005257779048407715,0.010757415933042186,0.06013979120044954,0.022792472174847443,0.026838333152597184,0.00939105060283723,0.09229045285908166,0.1163349336698312,0.0,6.572223810509644e-19,0.0,0.011459986658385667,6.572223810509644e-19,6.572223810509644e-19,6.572223810509644e-19,6.572223810509644e-19,0.03343158807930046,6.572223810509644e-19,0.018738724528525097,6.572223810509644e-19,6.572223810509644e-19,0.06531147411693959,6.572223810509644e-19,6.572223810509644e-19,0.0053892235246179076,6.572223810509644e-19,0.02416540972886291,0.007807801886885457,6.572223810509644e-19,0.005323501286512811
2017-03-31,0.2829647795019237,0.021546657646611133,0.008174425323805898,0.05309317435485461,0.056379857088495196,0.03526165207954561,0.004510027764858426,0.013526700773751637,0.05388524798105787,0.010925542260369538,0.025173847476498524,0.008557777683818863,0.09577043958676869,0.11656730511747211,0.00544585852606655,5.637534706073034e-19,0.007103293729652022,0.010757543726128561,5.637534706073034e-19,5.637534706073034e-19,5.637534706073034e-19,0.03709497836596056,0.029681620227474524,5.637534706073034e-19,0.021918734937211956,5.637534706073034e-19,5.637534706073034e-19,0.05602300114160077,5.637534706073034e-19,5.637534706073034e-19,0.0053161952278268695,5.637534706073034e-19,0.02905754513551224,0.0066973912308147645,5.637534706073034e-19,0.004566403111919157
2017-06-30,0.25127719962157047,0.02145404264609563,0.00839710467830692,0.05700066617030449,0.05082599519685613,0.03420644561755107,0.004478455828430357,0.014403833558189139,0.05536770921386306,0.008279545212810623,0.02499762082034115,0.008165344589185648,0.11396662430793862,0.11575128895556813,0.004937497550844468,5.598069785537947e-19,0.007053567929777813,0.010156018204922942,5.598069785537947e-19,5.598069785537947e-19,5.598069785537947e-19,0.03683529918883969,0.021160703789333442,0.03395789131907318,0.022652029580200746,5.598069785537947e-19,5.598069785537947e-19,0.04702658523341152,5.598069785537947e-19,5.598069785537947e-19,0.00826275100345401,5.598069785537947e-19,0.026763252030699815,0.007080438664748394,5.598069785537947e-19,0.005542089087682568
2017-09-30,0.1695155032831393,0.014159021995730244,0.0054759900495595995,0.0351226225233891,0.02477111305729057,0.021468902230163043,0.0033233594783534126,0.011039973594398329,0.033645238173466534,0.006163321214400874,0.02125212855509772,0.0055084683353707805,0.08749008184905681,0.07855590966957877,0.003330912568076942,3.7765448617652413e-19,0.004758446525824204,0.006904656970765391,3.7765448617652413e-19,3.7765448617652413e-19,0.029521628838905065,0.024955408446544713,0.012236005352119383,0.023089795284832685,0.009815995404700215,0.011569445184017816,0.2814262348263149,0.030023531651033667,3.7765448617652413e-19,3.7765448617652413e-19,0.0030967667866474975,3.7765448617652413e-19,0.013885977802224614,0.02415478093585048,3.7765448617652413e-19,0.003738779413147589
2017-12-31,0.08300477827285577,0.008496670031899954,0.0032641098829951014,0.02139451222485954,0.010078035266979228,0.01196584281813263,0.0015360517096447536,0.005892678371124687,0.018236581916293633,0.0032314687841651503,0.011251194760220408,0.0031681066511423045,0.04719096463663353,0.045117678841540526,0.0016934970098833406,1.9200646370559422e-19,0.002419281442690487,0.0073187103770661335,0.001008801960309192,1.9200646370559422e-19,0.027660259154964194,0.012687787121665664,0.003836289144837773,0.01173927519096003,0.004990632004635805,0.00582931623810184,0.17935016564397627,0.013534535626607338,0.27537567024656323,0.010183446815553599,0.002046788903101634,0.14154332491448995,0.010677479446668095,0.012548006416087993,1.9200646370559422e-19,0.001728058173350348
2018-03-31,0.06962114631660045,0.008728281191246473,0.0034183868895221172,0.020495245374440453,0.009920684659068497,0.022515774978985673,0.00175301891770365,0.005597389404227755,0.016438233693198898,0.004201986345735649,0.010272340253959848,0.0028924812142110223,0.04445428082837155,0.044942145993168474,0.001546162685414619,1.7530189177036502e-19,0.0022088038363065987,0.0029743471976677828,0.0012907478291051975,1.7530189177036502e-19,0.03946764321507174,0.011583949008185719,0.002745227625123916,0.005742889974397157,0.0038496295432772156,0.005370373454385131,0.23164847763454632,0.011567295328467534,0.2514179731770575,0.008759134324198057,0.003449941230040782,0.12922904857527767,0.00887553478033358,0.011443707494769428,1.7530189177036502e-19,0.001577717025933285
2018-06-30,0.06562571192354663,0.007965039091444866,0.003257092635876405,0.024063762293036646,0.00987550487197726,0.013064560461682025,0.0011580773816449441,0.004936304839261575,0.01633938615746487,0.0043373616934420794,0.010468114782115885,0.0017914009497320225,0.04551461249373688,0.04072451492390798,0.0015959753915794383,1.809495908820225e-19,0.0022799648451134833,0.004626519139671551,0.0013323318376643317,1.809495908820225e-19,0.018114863543199272,0.01519976563408989,0.00273595781413618,0.005927908597295057,0.006253617860882698,0.008160826548779214,0.24286113150312477,0.01150839398009663,0.2595179032429967,0.008395518168153199,0.0041546026066512365,0.13339241940640936,0.010663359390677586,0.012203240409083597,1.809495908820225e-19,0.001954255581525843
2018-09-30,0.011902238050189069,0.0019097174447507866,0.0006012098885216011,0.0059490920888989485,0.001956577461204699,0.0029503945843562915,0.0001786452240178472,0.0010650003739525505,0.0030502984904031954,0.0007358809035504397,0.002013125545576502,0.0005668550377489382,0.007949471984838792,0.008179202871955588,0.00030300978381488694,3.4354850772662925e-20,0.00043287111973555284,0.0008331738409386212,0.00025295476623911714,3.4354850772662925e-20,0.004849118476859826,0.0028858074649036856,0.0003524807689275216,0.0011254649113124373,0.0014841295533790384,0.00146815454776975,0.045643820381709194,0.0021121362255033162,0.049271726978153164,0.001593962011299242,0.0007887873737403406,0.025325708892591656,0.0020815604083156466,0.0023168911361083873,0.8075613377517794,0.0003091936569539663
2018-12-31,0.009623334683907827,0.0016841434609876035,0.0005374860591473002,0.006405113869646549,0.0016518942974387653,0.0023342251711539895,9.828316510122061e-05,0.0007616945295344597,0.002764091164515453,0.0005952274186442673,0.001583065368378817,0.00046623076444891523,0.007982097967184725,0.00954974516403829,0.00027089297381023927,3.071348909413144e-20,0.00038698996258605613,0.0007362023335863306,0.00013523149248146073,0.0008138767475053889,0.003170676333143565,0.002579933083907041,0.0004146321027707745,0.0011609698877581684,0.0013710501531620275,0.0010253698334075783,0.041319962563942415,0.0015138678774497386,0.044049286058803316,0.0014250137535004167,0.0007051817096012578,0.02264136989041182,0.0022942976353316187,0.0020713177045082244,0.825628465556542,0.00024877926166246467
2019-03-31,0.009050846694246703,0.0014650120158803785,0.0004139654827537722,0.0036349481109643235,0.0013097394770920493,0.002858490796340905,0.00010408274994951988,0.0005866482269882029,0.0018395443295055485,0.00037398824470497933,0.001034700810350443,0.0007025585621592592,0.0062222560333458415,0.007560429025310465,0.00020863860330790117,2.3655170443072702e-20,0.000298055147582716,0.0005670144355204525,0.00010415371546084908,0.000727538422147144,0.003950224222629596,0.0019870343172181068,0.000395987553217037,0.0010729985312977776,0.0012858950652854318,0.0008300599308474209,0.03619808801880757,0.0011659633511390533,0.03392624544945486,0.0010975289430472442,0.0005431227133729491,0.017438118547224334,0.0014529005686135254,0.0015953046946808227,0.8578063103289639,0.00019160688058888884
2019-06-30,0.007642107900393129,0.0014656717982968297,0.0004465323960451345,0.00404087858145937,0.0012091661643540248,0.004386908515292199,0.00015683089031829115,0.0005401952888741139,0.0019175408010264061,0.0002777213682719739,0.001225764100246044,0.0004384730308482223,0.00666657619847716,0.006394561732047323,0.00019211784063990662,2.178206809976266e-20,0.0002666125135410949,0.0005405438019637102,9.590644584325497e-05,0.000681430218432975,0.0036374311161155655,0.0018296937203800632,0.0005410665715981044,0.000988034609005234,0.001827079872208092,0.0006912539311459679,0.03086662811385827,0.0010216879042193674,0.031239842068679604,0.0010540124932794154,0.0005001162835705506,0.016057304961783037,0.0014463293218242405,0.0015066220863243834,0.8680309226080289,0.00017643475160807753
2019-09-30,0.008984947788068407,0.0014623899833336828,0.001232158825090012,0.0033989329367668185,0.0012765165427932523,0.0016301004900820455,0.00021905045779377992,0.0005729538536668556,0.0017399679853192381,0.00023274111140589114,0.0013200300035237462,0.0006023887589328948,0.007092967912142695,0.0070947248793562494,0.00020125260809803527,2.281775602018541e-20,0.00027928933368706935,0.0005941287312535877,0.00014099091444872563,0.0007620217800501117,0.002699021088603651,0.0014694634876999402,0.0003819692357779038,0.0010350134130756102,0.0011335861190828113,0.0008558940283171548,0.03378912637634708,0.0020316929960373085,0.032725225684149914,0.0011041283960607517,0.0003180795189213845,0.016820793382960282,0.0015150989997403112,0.0015782585484041842,0.8635202700052451,0.0001848238237635018
2019-12-31,0.010592006379081295,0.0015298913475042713,0.0015530874602165377,0.002690548676240934,0.0014230289103222753,0.0014849520103489733,0.00024047805835610903,0.0011803464697645685,0.001940432482754091,0.00028105873070370245,0.0014491558493707568,0.0009093076581590373,0.008280987188481342,0.008433264908975798,0.00022093921611467514,2.5049797745428027e-20,0.000306609524404039,0.0006522466336954549,0.00015478270026899978,0.0008415229054599089,0.0033934460009776434,0.0016132069748055647,0.00036522605112834067,0.0011362588257326153,0.0009198285732121171,0.0009396179134310054,0.03966983665177189,0.0018454185999056828,0.03592641992649288,0.0012121346631035169,0.00034919418057126664,0.018466209901974635,0.001663306570296421,0.0017326444104557655,0.8464673347380927,0.00013526890782531134
2020-03-31,0.0151689038368912,0.0019865429832544054,0.0015146464630031893,0.003243587351512756,0.0016452426469243534,0.00324022147048386,0.00035902730974890414,0.0010782038895896778,0.0026315953831032696,0.00022887990996492636,0.002163550926696235,0.0009873251018094865,0.012101987840717384,0.012660200510020732,0.0003298563408318056,3.739867809884418e-20,0.0004577598199298527,0.0010687046253525713,0.0002310864319727582,0.0025065716022188334,0.0034970381929886225,0.002408474869565565,0.00046449158198764474,0.001754745976397769,0.0013732794597895582,0.0014028244154876454,0.04834654273343123,0.0029335523100733375,0.05363718412936233,0.0018096846345249712,0.0004600037406157834,0.027569557520905955,0.0017693314608563182,0.002586791766740854,0.7861806499015124,0.00020195286173375858
2020-06-30,0.011141068896381228,0.0011852795384088113,0.0004298189704578437,0.0027958649480856585,0.0017639770547589904,0.002633715741480437,0.00015043663966024528,0.0007744800573937272,0.001930854270039248,0.0004932172686003756,0.0015540910787472948,0.0005939560898014328,0.009436353132174113,0.008777440650462239,0.0002369377074648863,2.6863685653615232e-20,0.00035975847827321515,0.0007764948338177482,0.00016599071365368853,0.00113117607550243,0.0032748713269752723,0.0017300213560928206,0.0005657492198651368,0.0013055751227657,0.0009864345372007511,0.0010076568488671075,0.029653345090314906,0.0022353272832373234,0.03852789796441496,0.0012999068850927875,0.0003304233335394673,0.019803371790132078,0.0016722644319375484,0.0019122645995669465,0.849218914162304,0.00014506390252952222
2020-09-30,0.010372885878999483,0.0012829210287752,0.0005232568026654703,0.003615181249615734,0.0017443288773656114,0.002863261224185453,0.00015697704079964108,0.0005677336308920352,0.0021451697510474948,0.00025351792089142034,0.001913105359065359,0.0005698266581026971,0.008269001089682293,0.009984001423258506,0.00023075624997547233,2.6162840133273512e-20,0.0003780007142455357,0.0010833247213984565,0.0002845993749697493,0.0011318829526858118,0.0036129574082044056,0.0016848869045828138,0.00042383801015903095,0.0012715140304770925,0.0009606994896938033,0.00100295247650904,0.02946357020732743,0.002364205048643261,0.03752274531914087,0.001331139143140823,0.00032180293363926415,0.01928672248944657,0.002714394663827127,0.0018623756120469417,0.8486180918655807,0.0001883724489595693
2020-12-31,0.008488534454077361,0.00124068678354176,0.00037955678479471903,0.003136910307400088,0.0015728833161893158,0.0013461613967386036,0.00010121514261192508,0.00045757679055807794,0.0017289444142040776,0.00017206574244027265,0.001678421188850292,0.0004523051685470402,0.006138803831853477,0.009713701582418625,0.00018598282454941232,2.108648804415106e-20,0.00022191420017664572,0.0007621289373797518,0.00022937881694427522,0.0009616703737415532,0.0032532866349157573,0.001357969830043328,0.0005237883630167123,0.001075410890251704,0.0008350249265483819,0.0008605395770818048,0.028284381824510065,0.0018719529761195104,0.03024224115292145,0.0010728594251983618,0.000259363802943058,0.015544537256387278,0.0017151749375112475,0.001501020564934849,0.8722540489958045,0.00037955678479471903
2021-03-31,0.009631708821156234,0.0014347025364596084,0.0004760975459308141,0.0037303287815853283,0.002309235667658181,0.001412035648419195,7.431766570627343e-05,0.0003239785739382857,0.002468832854762403,0.00018951004755099723,0.0016789521896573827,0.0004904965936614046,0.00731478591995156,0.01395267725094217,0.00020483806610291608,2.3224270533210446e-20,0.0002444122230915067,0.0008721410313336519,0.00025263361486026323,0.0016837828379282903,0.005616232445964149,0.0014956430223387524,0.0007900896835398194,0.0011844377971937327,0.0011705032348738064,0.0009375638014257056,0.032021856453895894,0.002511008130050713,0.03330824879873042,0.0011816276604592144,0.0002856585275584884,0.017120467751672076,0.0015806438524903028,0.0016531964736360523,0.8498957102519571,0.0005016442435173456
2021-06-30,0.008271406071821433,0.001313410565981938,0.0004523802179042267,0.0029639951877084934,0.002247424922548198,0.0013097484404084277,6.893412844254883e-05,0.0003405776783364678,0.0017662862479343455,0.00014282289736690585,0.0011264267425815245,0.0004052034237513573,0.006920663366904827,0.013182359549729164,0.00018999969151977517,2.154191513829651e-20,0.0003900809993242732,0.0007340407583374535,0.0002343329528743894,0.0017139393941482848,0.005513760889222682,0.001387299334906295,0.0006281622454327263,0.0010986376720531219,0.003102035779914697,0.0004834005757033737,0.022474098432076015,0.0025859992027768043,0.030895414691344852,0.001096031100321388,0.0006359173348825129,0.015880269001649423,0.001215825690405455,0.0015799702239032189,0.8670481251554248,0.0006010194323584726
2021-09-30,0.009753510975385725,0.0014197418342869166,0.0006326241756906991,0.003702427438894943,0.0026706063096736633,0.0012483783733629797,8.878935799167707e-05,0.00043351404039436333,0.002202131459570077,0.00016980964715908239,0.0011238512987796526,0.00039555658985292137,0.007383634221229874,0.01524868434149062,0.0001957805343716479,2.2197339497919268e-20,0.0004339135925053258,0.001015106532579346,0.0002176449137770984,0.0017550992394214807,0.00454521602495194,0.0014295086636660008,0.001126736952914382,0.0011320643143938826,0.0031244975077271164,0.0010597009876306656,0.02167181748530603,0.003947019922822515,0.03152022208704536,0.001033574719041615,0.0005096509148722263,0.016363434731076126,0.0012159702576960175,0.0014969885757396754,0.859213374234447,0.000519417744251311
2021-12-31,0.011557054633012431,0.0013710773147497806,0.0007123431110091489,0.004900635666498541,0.00257322754888882,0.0012838458126416318,0.0001628212825163769,0.0004353434041281627,0.0030425191904216477,0.00030101584605215175,0.0013345239368248542,0.0004634300753622377,0.005861037001421389,0.01466287059701232,0.00017951046397430548,2.035266031454711e-20,0.00043961746279421756,0.0010857126644795156,0.0001995578343841344,0.0016401394841080933,0.004145816553412932,0.0013107113242568336,0.001175976712974532,0.0010379856760419025,0.0037807101800302716,0.0008820842980324716,0.02708918735205906,0.004546682550968252,0.030923832081922877,0.0018244124705960032,0.0004923308530088946,0.01500357413067784,0.0013176312287637802,0.0013725834116130571,0.852175819468321,0.0007143783770406036
2022-03-31,0.012793118673772873,0.001248467379185642,0.0007343925759915541,0.004613491823536687,0.0027129591591860307,0.001273700354873557,0.00014311239942399516,0.0005020232327162778,0.002462399476720809,0.0002016754997146037,0.0012503504370728,0.0004784850091268049,0.005136360507063801,0.017459901035516128,0.00016608570564732067,1.8830578871578313e-20,0.0005597201263787937,0.001004517229904345,0.00018463382583582534,0.0016722118955327687,0.004120544929836509,0.001212689279329643,0.0012812325864221884,0.0009603595224504939,0.004894444060300635,0.0004971272822096674,0.0244930092605774,0.0039371915833639505,0.03476124859693356,0.001439465940680061,0.000432350090891438,0.013881526132550101,0.0010471684910484701,0.0012658668340629804,0.8505002682227654,0.0006779008393768192
2022-06-30,0.00879390890455508,0.0011070691664938244,0.0003644472182027294,0.004960531581092706,0.0028630973462006426,0.001400287200605598,8.098827071171764e-05,0.00053351023331344,0.00273628996133377,0.000134238058704672,0.0006722026469072565,0.00033407661668583526,0.005456159550780739,0.012998819919907461,0.00017857913691933736,2.0247067677929413e-20,0.0005415685662492558,0.0012266281011319975,0.00027718235651085367,0.0019196042394768094,0.004771201251236387,0.0013039111584586538,0.00075440574167965,0.0010326004515743999,0.007361833807695134,0.0007895344041008573,0.01746013980033314,0.0023500771453772665,0.040251170543723666,0.0015729541937629802,0.0003984622919016507,0.014925733350816005,0.0010419141027062477,0.0013610888775811268,0.8571711104795826,0.0008746733236865504
2022-09-30,0.00841714385432182,0.00127174410670747,0.0003527895599691098,0.0037074862380424324,0.0028478833466871103,0.0010567084937427688,7.470837740522326e-05,0.0005146577110137602,0.0026854963874660353,0.00011642055478980624,0.0006373039639206684,0.0002807789850812973,0.004705278875270359,0.014056588732063325,0.00018303552464279694,2.075232705700646e-20,0.0005550832441208087,0.001201642745908902,0.00028409935741041843,0.0017065883678599833,0.0046928274790361555,0.0013364498624712157,0.000549106573928391,0.0010583686799073295,0.01053388121413648,0.0008092369935879669,0.018838609712790496,0.0019357770678775626,0.024753375713597304,0.0009749028204840497,0.00039138888829514176,0.015298200459884023,0.0011712613390974446,0.0013950544340802023,0.8708403594659987,0.0007657608684035383
2022-12-31,0.007129486458336333,0.0008890764917718238,0.0002636644400272313,0.004517869897986606,0.0026854831673173572,0.0007707114400795992,6.49020160067031e-05,0.0005029906240519489,0.002710369034079927,0.00010343758801068304,0.000656524455667806,0.00030118591803110647,0.00332600521966351,0.011625370798400668,0.00024987276162580685,0.0039768710308107314,0.0005424997262960294,0.0012840255410526142,0.00027765893722867663,0.0016625462675317077,0.004465481801941195,0.0012493638081290343,0.0003176142408328032,0.0010952215201131146,0.010295082289063277,0.00077304385627984,0.014111746749737463,0.0013812974375426602,0.038016355875926326,0.0007625784061987592,0.0003825162568395062,0.010927471307528589,0.0011447093073182258,0.001363429101260815,0.8694251348552342,0.0007484013720772949
2023-03-31,0.006891714297803227,0.0013575863736820359,0.0002589166637664404,0.005267184843777992,0.00298738046653719,0.000819902768593728,4.315277729440673e-05,0.0005350944384506436,0.0026683304076109927,0.0001210435403108109,0.0006626108953556155,0.0001851254145930049,0.004767971939647646,0.015176616010556376,0.0002658211081335455,0.004070169954408444,0.0005771252435353956,0.001242260576362734,0.00029538076058021413,0.0019452408948772667,0.005778415796384827,0.0013291055406677273,0.0003378862462152047,0.0011651249869489818,0.01095217487732043,0.0009256270729650245,0.014015051127734185,0.0015266373787328742,0.04595770781854317,0.0006482841732938725,0.0003538527738141352,0.01162492667534023,0.0011998629726709795,0.0008704778235827725,0.852380066618826,0.0007961687410818042
