,VQC_capital,VCM_capital,VCT_capital,TV4_capital,TV2_capital,TV1_capital,VNC_capital,SDA_capital,SFN_capital,MTH_capital,SDV_capital,SDC_capital,ILC_capital,PPS_capital,PPE_capital,ARM_capital,BMD_capital,MTV_capital,LPT_capital,ABR_capital,DTB_capital,DUS_capital,UDL_capital,MBN_capital,BRS_capital,HEC_capital,BTU_capital,DNE_capital,HEP_capital,CAR_capital,CDH_capital,CFM_capital,HSA_capital,IPA_capital,MDA_capital,AMS_capital,MLC_capital,MPY_capital,MQB_capital,MTL_capital,NAU_capital,MND_capital,NUE_capital,PVM_capital,MQN_capital,MTX_capital,THU_capital,QNU_capital,UCT_capital,SZE_capital,MTB_capital,USD_capital,TVM_capital,VLP_capital,VTK_capital,MTS_capital
2016-09-30,0.0065540070031022725,0.01334098675681784,0.00040294029194123075,0.04206696647866449,0.21239532252256738,0.14934762135187932,0.11350278559950006,0.06526167492022697,0.01809092018009233,0.023824760534416043,0.020147014597061537,0.009247846009407557,3.6630935631020976e-19,0.02664900567156776,0.008205329581348697,0.021178175435074775,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,0.007991404917263535,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,0.0,3.6630935631020976e-19,3.6630935631020976e-19,0.22790229650324748,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,0.029890843474913113,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,0.0,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19,0.00400009817090749,3.6630935631020976e-19,3.6630935631020976e-19,3.6630935631020976e-19
2016-12-31,0.005472019846280937,0.009256152973808548,0.00031194142987712634,0.03683404403989108,0.26396625587761463,0.11705800664321815,0.07747774368793607,0.029719510773748035,0.01579813192456803,0.01868926181329285,0.015838117144215916,0.00715933939879812,2.8358311807011486e-19,0.02080082171044292,0.006749278210068733,0.01688765826419341,2.8358311807011486e-19,2.8358311807011486e-19,2.8358311807011486e-19,2.8358311807011486e-19,2.8358311807011486e-19,2.8358311807011486e-19,2.8358311807011486e-19,2.8358311807011486e-19,2.8358311807011486e-19,0.026832634631794267,0.006186649303817625,2.8358311807011486e-19,2.8358311807011486e-19,2.8358311807011486e-19,0.0,2.8358311807011486e-19,2.8358311807011486e-19,0.20250443594892445,2.8358311807011486e-19,2.8358311807011486e-19,2.8358311807011486e-19,2.8358311807011486e-19,2.8358311807011486e-19,0.0229702325636793,2.8358311807011486e-19,2.8358311807011486e-19,2.8358311807011486e-19,0.04619342126867715,2.8358311807011486e-19,0.0,2.8358311807011486e-19,2.8358311807011486e-19,0.0,0.05010913696298929,2.8358311807011486e-19,2.8358311807011486e-19,0.0031852055821635296,2.8358311807011486e-19,2.8358311807011486e-19,2.8358311807011486e-19
2017-03-31,0.005351557102119268,0.01070590583548638,0.0002558995310524776,0.0319669694190755,0.24261020313304782,0.09422662741633134,0.07081321614065356,0.018894690829165665,0.012595607554340268,0.01621379428748498,0.015353971863148656,0.00549206920826081,2.326359373204342e-19,0.017377904517836433,0.0059089528079390285,0.015440279795894539,2.326359373204342e-19,2.326359373204342e-19,2.326359373204342e-19,2.326359373204342e-19,2.326359373204342e-19,2.326359373204342e-19,2.326359373204342e-19,2.326359373204342e-19,0.006856944252519797,0.021020983296274432,0.005075185608582592,2.326359373204342e-19,2.326359373204342e-19,2.326359373204342e-19,0.001749422248649665,2.326359373204342e-19,0.06432383666910005,0.17258934499490766,2.326359373204342e-19,0.06295128463890948,2.326359373204342e-19,2.326359373204342e-19,2.326359373204342e-19,0.004745773121336857,2.326359373204342e-19,2.326359373204342e-19,0.0050528525585998305,0.03421283675796698,2.326359373204342e-19,0.0,2.326359373204342e-19,0.0056791085018664395,0.012329704677983012,0.036989114033949035,2.326359373204342e-19,2.326359373204342e-19,0.0032159591975176823,2.326359373204342e-19,2.326359373204342e-19,2.326359373204342e-19
2017-06-30,0.003924468056113564,0.0063614361232163415,0.000193410164055776,0.026841462567660596,0.16532612909776798,0.0932815462966789,0.046727016498766136,0.012438031823005086,0.010259178411205834,0.007924893558474488,0.01620249692521796,0.0037486406342446764,1.7582742186888728e-19,0.01289694139408288,0.004641843937338624,0.010699626102987397,0.0021514243339877046,1.7582742186888728e-19,1.7582742186888728e-19,1.7582742186888728e-19,1.7582742186888728e-19,1.7582742186888728e-19,1.7582742186888728e-19,1.7582742186888728e-19,0.0036238031647177664,0.010328102760578437,0.002373670195229978,0.0029676152263030794,1.7582742186888728e-19,1.7582742186888728e-19,0.001322222212454032,1.7582742186888728e-19,0.0444491722484547,0.315771983482772,1.7582742186888728e-19,0.051482269123210196,0.002732358135842508,0.007110988422643408,1.7582742186888728e-19,0.004958333296702621,1.7582742186888728e-19,1.7582742186888728e-19,0.004114361671731962,0.0457439653830972,1.7582742186888728e-19,0.0,0.00539614357715615,0.004280342757976192,0.009318853359051025,0.028958776381805735,1.7582742186888728e-19,1.7582742186888728e-19,0.002278723387420779,1.7582742186888728e-19,1.7582742186888728e-19,0.0291697692880484
2017-09-30,0.0037496737258604046,0.006571040577336844,0.0010415760349612234,0.02483274486371702,0.1322917692089043,0.08872512701242587,0.05790930499007824,0.020595692163006833,0.011382836006086522,0.00616584427419927,0.007333910160404499,0.004217757638656014,1.786579819830572e-19,0.011979017691963984,0.004930960302732379,0.008545747252195575,0.00158076582458609,0.007476836545990944,1.786579819830572e-19,1.786579819830572e-19,1.786579819830572e-19,1.786579819830572e-19,1.786579819830572e-19,1.786579819830572e-19,0.003633903353535383,0.010376455593575962,0.0020517082650934287,0.0037096543378961995,1.786579819830572e-19,1.786579819830572e-19,0.001336361705233268,1.786579819830572e-19,0.06351291259497684,0.28074851262763556,1.786579819830572e-19,0.0768586638491112,0.002776345040016709,0.007225464765340782,1.786579819830572e-19,0.014900075697386972,1.786579819830572e-19,0.002794568154178981,0.004480742188135075,0.04882508258018574,1.786579819830572e-19,0.0,0.005483013467060025,0.0043492499133955444,0.00946887304510203,0.025941138983939904,1.786579819830572e-19,1.786579819830572e-19,0.0024697679429337826,8.754241117169803e-05,1.786579819830572e-19,0.029639359210989192
2017-12-31,0.004662904528585528,0.006577560857362267,0.0005969733451401398,0.028583083765309894,0.13761592363082814,0.08462259978273792,0.060250891615871195,0.014692780330994592,0.012270696658848734,0.007389444606752857,0.008240041173070716,0.004270711130929824,1.8090101367883024e-19,0.011695250534336373,0.004920507572064182,0.009325989958184734,0.0015803512554982606,0.007277647780299341,1.8090101367883024e-19,1.8090101367883024e-19,1.8090101367883024e-19,1.8090101367883024e-19,1.8090101367883024e-19,1.8090101367883024e-19,0.003728369891920691,0.013361348870318401,0.0021751537884742546,0.00429133384648921,0.006360479640947671,1.8090101367883024e-19,0.0013531395823176502,1.8090101367883024e-19,0.055735602314447595,0.27305705527520935,1.8090101367883024e-19,0.05958879390580669,0.002803603909994511,0.007349284581716156,0.005622403505138044,0.015087144540814442,1.8090101367883024e-19,0.0028296536559642626,0.004830057065224768,0.05795706676242364,1.8090101367883024e-19,0.0,0.0055518521098033,0.0044899631595085665,0.009587753724978002,0.028003476917482922,1.8090101367883024e-19,1.8090101367883024e-19,0.0015629847581850934,8.864149670262682e-05,1.8090101367883024e-19,0.030011478169317936
2018-03-31,0.003625154445660835,0.004715648059396207,0.0009726024122504681,0.031090857111606623,0.19197845341807532,0.07764314529795856,0.05719933732045745,0.012440796512254299,0.011695298400642115,0.006539031975696075,0.007851226543335007,0.004120952443016797,1.637377798401461e-19,0.010831254136425666,0.004322677387779857,0.018567536758312887,0.00141207461334142,0.007559773295219547,1.637377798401461e-19,1.637377798401461e-19,1.637377798401461e-19,1.637377798401461e-19,1.637377798401461e-19,1.637377798401461e-19,0.0033746356425054112,0.01504095245611582,0.0028529670759347057,0.003589787085215363,0.005757020339179538,1.637377798401461e-19,0.0006385773413765698,1.637377798401461e-19,0.06467642303685771,0.2345478201098157,0.0017683680222735777,0.06258057945490383,0.0025376081119625844,0.0066520110437857756,0.005088970197431741,0.013655730838668187,1.637377798401461e-19,0.0025359707341641832,0.004921957661994792,0.046074828820338073,1.637377798401461e-19,0.0,0.0050251124632940845,0.004063971695632426,0.008678102331527743,0.024708030977878048,1.637377798401461e-19,1.637377798401461e-19,0.0014146944178188624,8.596233441607671e-05,1.637377798401461e-19,0.02716409767548024
2018-06-30,0.003744072735319557,0.006269280670511719,0.0015859498130312592,0.03528292842474037,0.16883318642912956,0.06648013261715577,0.06123483445616098,0.010186366112707412,0.01079110060219114,0.005380889580147733,0.00786495029853602,0.003938145041347284,1.6199691655069042e-19,0.009646916380593614,0.003272337714323946,0.014794530400908354,0.0015966416095236048,0.007540632471601538,1.6199691655069042e-19,0.023716348583021078,1.6199691655069042e-19,1.6199691655069042e-19,1.6199691655069042e-19,1.6199691655069042e-19,0.006123483445616099,0.017796981252258846,0.0026593413820961338,0.003598599504257037,0.006055444740664808,1.6199691655069042e-19,0.0007840650761053416,1.6199691655069042e-19,0.03736944870991327,0.2597620556890321,0.0017495666987474563,0.054139369511240744,0.0025106282127026003,0.006581286731788348,0.005088809139606839,0.013510542840327582,0.0,0.0025090082435370933,0.003946244887174819,0.05440180451605285,0.010013029411998175,0.0,0.004971685368940689,0.004031779259113583,0.008585836577186591,0.023521952283160247,1.6199691655069042e-19,1.6199691655069042e-19,0.001209144985134353,4.535913663419332e-05,1.6199691655069042e-19,0.026875288455759542
2018-09-30,0.0037365572903198256,0.006307664568658944,0.0008155184562205969,0.03247068285287929,0.23570336835812117,0.060453493503135156,0.061077142708019484,0.011654500119807076,0.009993214886444243,0.005494518529765534,0.00799208087096185,0.0035005017662647006,0.0013567261589851746,0.010119842661282862,0.0031137977419331882,0.02024784050712793,0.0019803753638695074,0.00795886702838123,1.4827608294919946e-19,0.014649676995380907,1.4827608294919946e-19,1.4827608294919946e-19,1.4827608294919946e-19,1.4827608294919946e-19,0.0052645423251113255,0.016583197117038467,0.0025408589574174817,0.00429140639271573,0.005542559980641075,1.4827608294919946e-19,0.0007176562414741253,1.4827608294919946e-19,0.030455907437765564,0.21778880029228184,0.0016013816958513538,0.05809456929949634,0.0023042103290305594,0.006023864145894176,0.004657796593683203,0.012366225317963234,0.004926621132070101,0.002296499972717201,0.003798833245158489,0.04687511120706222,0.011967362654829885,0.0,0.004550592985710931,0.0038012056624856768,0.007858632396307571,0.021485204419339,1.4827608294919946e-19,1.4827608294919946e-19,0.0009608290175108124,2.0758651612887922e-05,1.4827608294919946e-19,0.02459900216127219
2018-12-31,0.00265466826205715,0.005799120997703718,0.0008345150572310427,0.03163479678951436,0.22787950937797677,0.05947148795855464,0.05764071365300014,0.020274163990402164,0.009979586244400025,0.004544617271669852,0.007480289512998255,0.0038700256454063595,0.0016659955142539725,0.00887620560873018,0.0031863302185185264,0.012789170847081338,0.0010323709908000027,0.005981197010190491,1.5173001040564414e-19,0.010954906751287507,1.5173001040564414e-19,1.5173001040564414e-19,1.5173001040564414e-19,0.0068642656707513395,0.005387174019452394,0.017879864426201104,0.003321066467758739,0.003951352930983785,0.0056716677889629774,1.5173001040564414e-19,0.0007343732503633175,1.5173001040564414e-19,0.03488121209215353,0.2014516313555529,0.0016386841123809564,0.06026716013312185,0.0023578843617037097,0.006164183402739698,0.004766294816872499,0.012654282867830722,0.0050413813257379324,0.0023499944011626164,0.003668831651608475,0.050543997606307366,0.014795193314654358,0.0,0.004656594019349218,0.004085785720203185,0.008041690551499139,0.02617342679497361,1.5173001040564414e-19,1.5173001040564414e-19,0.0005972093209566151,2.1242201456790178e-05,0.010311874967188387,0.025172008726296363
2019-03-31,0.00415261638335193,0.008646645373735475,0.0008504390120805634,0.032575215918733906,0.2237736978696348,0.052142889835058125,0.05393484214614933,0.012963783049606261,0.009721600285005306,0.004386409799036622,0.008380689900866644,0.0048202883204726335,0.00282964253110442,0.010228461936205323,0.003247130773398515,0.023060968127401327,0.001052070370581119,0.008174419784118375,1.5462527492373882e-19,0.012277246828944861,1.5462527492373882e-19,1.5462527492373882e-19,1.5462527492373882e-19,0.006995247437549943,0.006199700398067307,0.018536477957857806,0.0027721219288327895,0.004475164706842848,0.005779892776649357,1.5462527492373882e-19,0.0007483863306308958,1.5462527492373882e-19,0.0366461901569261,0.17752620589159407,0.0016699529691763788,0.06596314228246698,0.0024028767723149012,0.006281806419051812,0.0048572437611794075,0.012895747928639817,0.005137579384616146,0.0022961853326175213,0.00441609785182198,0.04679331919852153,0.01468785486500595,0.0,0.004745449687409544,0.003963973547944968,0.008195139570958156,0.02801809981618147,1.5462527492373882e-19,0.008026907271841128,0.001640264916391021,2.1647538489323435e-05,0.015435931945086998,0.02565233310984827
2019-06-30,0.0038762644010415064,0.00839943082917139,0.0007864635607838381,0.031965024964498316,0.25674460425225115,0.047074991874401485,0.04544829924395113,0.010489993967109522,0.0068339393630874904,0.003946617141387988,0.009394664716999667,0.004160249243171816,0.0023551008811108754,0.008472357450262256,0.003002860868447382,0.018125697182072464,0.0009729269213769519,0.006509344402545796,1.429933746879706e-19,0.01564347519086398,1.429933746879706e-19,1.429933746879706e-19,1.429933746879706e-19,0.006469020270883788,0.00637035484234909,0.018986660291068734,0.003222498691968105,0.00481029712450333,0.005327933140873783,1.429933746879706e-19,0.0004690182689765435,1.429933746879706e-19,0.03501907746108399,0.19107489692680069,0.001544328446630082,0.05679696842606191,0.002222117042651063,0.005809248840073492,0.004581793711751953,0.011925647448976747,0.0047510978673825114,0.002296473597488808,0.0037750250917624236,0.048516794071380286,0.012371786778003213,0.0,0.004388466669173818,0.0039963788357794015,0.00757864885846244,0.027111543840839226,1.429933746879706e-19,0.007447094953749508,0.0022478558500948972,2.0019072456315883e-05,0.012944046263504474,0.02372260086073432
