,THS_capital,PSD_capital,PET_capital,COM_capital,PIT_capital,CMV_capital,BTT_capital,CEN_capital,HTM_capital,CPH_capital,HTT_capital,BSC_capital,KGM_capital,DKC_capital,DGW_capital,MWG_capital,FRT_capital,TOP_capital,PNG_capital,TV6_capital,SAS_capital,SBV_capital,AST_capital
2016-09-30,0.0003059809983875592,0.006294883716885824,0.022929010056318894,0.015069510714787434,0.004048385909250725,0.004611524942155478,0.01029077603067593,3.5637199905376104e-20,3.5637199905376104e-20,3.5637199905376104e-20,3.5637199905376104e-20,0.0034405578276646307,3.5637199905376104e-20,3.5637199905376104e-20,0.02182792749084248,0.8366942420192094,3.5637199905376104e-20,0.0029146953058609005,0.004823851379191709,3.5637199905376104e-20,0.06674865360876897,3.5637199905376104e-20,3.5637199905376104e-20
2016-12-31,0.0002738234100518323,0.006029791770149071,0.018273359383658143,0.015410364372340522,0.003577627549454291,0.004834995563046597,0.008800236637514862,3.189184836382859e-20,3.189184836382859e-20,3.189184836382859e-20,3.189184836382859e-20,0.002774845942439998,3.189184836382859e-20,3.189184836382859e-20,0.020365113825993295,0.8387422492842274,3.189184836382859e-20,0.001215079422661869,0.003917913571496343,3.189184836382859e-20,0.07578459926696589,3.189184836382859e-20,3.189184836382859e-20
2017-03-31,0.0002723437516506699,0.005101297491471127,0.017958930705495653,0.01950740458075863,0.0030087329653101617,0.005154357670129345,0.009797929053467887,2.984262016772627e-20,2.984262016772627e-20,3.2826882184498894e-05,2.984262016772627e-20,0.0010867488560279198,2.984262016772627e-20,2.984262016772627e-20,0.019575087643299037,0.8467986418742932,2.984262016772627e-20,0.0014402048492944694,0.0041711030208431,2.984262016772627e-20,0.06609439065577426,2.984262016772627e-20,2.984262016772627e-20
2017-06-30,0.0002839904597795759,0.004003947491851785,0.016677725008931266,0.016224000716213667,0.0021049049995652083,0.004202569587752746,0.007816342073235538,2.446084924888682e-20,2.446084924888682e-20,2.6906934173775502e-05,2.446084924888682e-20,0.00108880132176645,2.446084924888682e-20,2.446084924888682e-20,0.01498236800834017,0.855720420320557,2.446084924888682e-20,0.0010562194705669328,0.003275796931410923,2.446084924888682e-20,0.05995500915997652,0.012580997515878455,2.446084924888682e-20
2017-09-30,0.0002351026396083556,0.0036760474579059055,0.013471816624817308,0.01144577609046645,0.002225638321625766,0.004001534001185919,0.008816348985313334,2.176876292669959e-20,2.176876292669959e-20,2.394563921936955e-05,0.0030519805623232823,0.0009062771381643574,0.003472378911963705,2.176876292669959e-20,0.015602978515341195,0.8608325598347647,2.176876292669959e-20,0.001050560498842522,0.0027428641287641485,2.176876292669959e-20,0.05605924482028068,0.012384945829413052,2.176876292669959e-20
2017-12-31,0.00023166550807912016,0.0035253328183130887,0.013961493448468231,0.011440941519825576,0.0017583568066914359,0.004060152534186652,0.00660773210543854,1.950046364302358e-20,1.950046364302358e-20,2.145051000732594e-05,0.0017355412642290984,0.0008118433023863577,0.003110557956625977,1.950046364302358e-20,0.017111422841189473,0.8686304660579611,1.950046364302358e-20,0.0007429676647991982,0.002457058419020971,1.950046364302358e-20,0.05211830416479983,0.011674713077978143,1.950046364302358e-20
2018-03-31,0.0002487830519435768,0.0034820831911678497,0.013473675454844212,0.012298112710407795,0.0016652549066122242,0.004455436411229924,0.0076726954883507646,2.0941334338684913e-20,2.0941334338684913e-20,2.3035467772553404e-05,0.0012145973916437248,0.0008718296311881304,0.003340394123032308,2.0941334338684913e-20,0.021423236324486727,0.8033149462135439,2.0941334338684913e-20,0.000638291870643116,0.002638608126674299,2.0941334338684913e-20,0.0584294640050817,0.011462553470294267,0.053347002161082874
2018-06-30,0.00024934509926597857,0.0026844631463729253,0.011480095832440093,0.010197111739151131,0.001960689906777569,0.003648740986569166,0.0062675190485399854,0.009163903114231526,0.03830643660927605,1.9725250571202908e-05,0.0009217071630543903,0.0007465469379821087,0.001785457953521392,1.7932045973820827e-20,0.019902634369975945,0.7049175318654698,0.09280909714210706,0.0005465687612820586,0.0020980493789370365,1.7932045973820827e-20,0.046083116646972795,0.009188756929951242,0.037022502117550475
2018-09-30,0.0002654590794828977,0.0028917209078887156,0.010490549548453774,0.009795640002093675,0.001526264726292442,0.001840949550960053,0.006164049811721522,0.015086407763576577,0.03163845626530004,1.8330507685573603e-05,0.0008265392556404097,0.0007572166083931495,0.0017269337931557847,1.6664097895976003e-20,0.019436403878342154,0.7310809538709608,0.08102650976351995,0.0006772289384924647,0.002144669399212112,1.6664097895976003e-20,0.039665635542281155,0.0073880611303767515,0.03555201965617
2018-12-31,0.00029732291623736374,0.003426282270039568,0.010082303315312244,0.011150645137303876,0.001318564078230998,0.0031914694889847326,0.006429730721601737,0.004550483439575122,0.03530005482720345,1.9988706017669e-05,0.0006868846249708073,0.0008257152740389812,0.003941700140480626,1.8171550925153635e-20,0.017800342482854593,0.7268181345391103,0.08348057741047983,0.00036924591479912185,0.0022078434374061665,1.8171550925153635e-20,0.04199236445967365,0.0048318517341002015,0.04127849508157899
2019-03-31,0.0003528369036423729,0.003516870679913327,0.011905526930909741,0.012052849623699262,0.0013695904251369803,0.0024954081275452163,0.007853301849521991,0.0058233691311716995,0.034283257700750046,2.080294763395027e-05,0.0006278707831337717,0.0008593508549879093,0.002882153835830928,1.8911770576318428e-20,0.018361135464218338,0.7373486212052162,0.060067263116173365,0.0006244666644300344,0.0022467183444666292,1.8911770576318428e-20,0.048373661486341854,0.0040941903002966,0.0448407536249798
2019-06-30,0.00034856550829541336,0.005236611038204894,0.010057784995976177,0.010286063641620557,0.0011348358524044674,0.0029649584594511084,0.006708502838225218,0.00499885493532438,0.028025951019715483,1.87841494770211e-05,0.00056010918440572,0.0007912566819702271,0.0027369188848000723,1.707649952456464e-20,0.015244054513582656,0.7411851579057934,0.07114681040616606,0.0003036201615467592,0.0021823766392393604,1.707649952456464e-20,0.04630096466341169,0.003953277945934812,0.045814540574454464
2019-09-30,0.00022657552299118076,0.003932580092972275,0.00765281119318748,0.008208642385034652,0.0008471669294247794,0.0014079675728468164,0.005267880909544953,0.0029961072673036914,0.042461931345754614,1.4423210375595998e-05,0.00039860508674374387,0.0006075580690578329,0.002577768606364246,1.3112009432359998e-20,0.01392637011418501,0.7732551354070001,0.04446780654871704,0.00026643603166555516,0.0016285115714991117,1.3112009432359998e-20,0.05156835301662296,0.001793368866092174,0.03649400025261596
2019-12-31,0.0002253106473776817,0.004300344914268108,0.008368482501675992,0.008153466689783683,0.0007696178126921497,0.0027243747923468586,0.006141844365372715,0.0031549512681488053,0.05230005837945982,1.577203208065737e-05,0.0003154406416131473,0.000664375344081218,0.003947825659054433,1.4338210982415788e-20,0.014356735951005069,0.764448787265512,0.022594640365264197,0.0002913524471626888,0.001613048735521776,1.4338210982415788e-20,0.050284751134826375,0.0028144044191054478,0.05251441463364694
2020-03-31,0.00041244516676154956,0.006417283536498142,0.012994568710808325,0.014488730987010102,0.0013864708851350446,0.005111338410025719,0.010151678717971128,0.0018681556057922898,0.059475674422914036,2.887168661306507e-05,0.0005406879492992185,0.001216180428093621,0.00272002784280469,2.6246987830059154e-20,0.02023800243624541,0.7228996832251039,0.021913767621243366,0.00033333674544175124,0.0024094734827994303,2.6246987830059154e-20,0.06415774334697913,0.004865325393094575,0.0463705533993655
2020-06-30,0.0002765523376471823,0.004829814171606705,0.012514051919827969,0.010696582326804406,0.0010825182682287922,0.0028140392728557857,0.007671160739888921,0.001985125049625194,0.04850807754490016,2.1501807422384828e-05,0.0003127535625074156,0.0009057343170214759,0.0021845836341142983,1.954709765671348e-20,0.032606435412773124,0.738687068363433,0.0321873847332085,0.0001489488841441567,0.0019351626680146343,1.954709765671348e-20,0.05532219578803048,0.0037834775811404903,0.04152683161680495
2020-09-30,0.00022200968698501478,0.004202397952552224,0.013143497580591848,0.008792732255234753,0.0011475521917736875,0.002193357789653479,0.005984516848594148,0.0018864546614337366,0.03762929243639139,1.7261143319445595e-05,0.00025107117555557226,0.000548841589764481,0.0017537321612556723,6.460375186014319e-05,0.03813877861938753,0.7655097845653964,0.029408468935175288,0.00019928774559723546,0.0015252573915001016,1.569194847222327e-20,0.048978180329957426,0.0033714308212056407,0.03503149036681483
2020-12-31,0.00018821739673389605,0.005230416181417305,0.018524207719901226,0.007570681599076804,0.0010390004724991008,0.001992672532314345,0.007722660362173215,0.0015531261096335472,0.03658452367954581,1.4633809471818324e-05,0.00018624848418677867,0.0004653019273511979,0.0022842578377719027,0.00013004135235184007,0.05085541467646304,0.7501221956349556,0.03323082704557342,0.00016895398208372064,0.001712155708202744,1.3303463156198476e-20,0.04315709965186567,0.0035809996054591933,0.03368636423096797
2021-03-31,0.00019731328443178714,0.005497679850109213,0.02372603300463732,0.006914619046534996,0.001124767454346843,0.0027125768780802703,0.007251587731296518,0.0019118450496469598,0.037549141116283075,1.3221528562071506e-05,0.0002403914284013001,0.0005388614259043543,0.0022653045863968114,5.031392596439211e-05,0.06322996509925125,0.7394049941944267,0.028566795198354294,0.00018317826844179065,0.0012981137133670204,1.2019571420065007e-20,0.040211596381541675,0.004502002592813869,0.032609698241207366
2021-06-30,0.0004665378858843896,0.004955300590688746,0.021020107567561383,0.005579622144484118,0.0008974890147044651,0.0023356996277166717,0.0061462678704546055,0.0018666550286615866,0.035351083176470934,1.2255042167843258e-05,0.00032137348342246304,0.0004545506549527317,0.0018720219658347418,4.484231338688101e-05,0.06193792581183118,0.7722207267642793,0.02265882309688086,0.0003809347023500928,0.0011569445403208669,0.0003342284227593616,0.0325350480279816,0.003348551010520353,0.024103011256684726
