,VTB_capital,VBH_capital,TYA_capital,TIE_capital,TSB_capital,TGP_capital,DHP_capital,PAC_capital,NAG_capital,AME_capital,BTH_capital,HLO_capital,EME_capital,HLS_capital,GEX_capital,PHN_capital,EMG_capital,CJC_capital,NEM_capital,GEE_capital,TBD_capital,KIP_capital,VTH_capital
2016-09-30,0.006606734204899353,0.00500005406253662,0.025209799170826806,0.010529628754022179,0.004007251588245305,0.004535992937387108,0.004303085685029325,0.11509621816483698,0.007662268703665119,0.01765614259028127,9.740997589200508e-20,9.740997589200508e-20,9.740997589200508e-20,9.740997589200508e-20,0.7191044048888509,9.740997589200508e-20,9.740997589200508e-20,0.01975474311089863,9.740997589200508e-20,9.740997589200508e-20,0.05554706465265698,0.0,0.004986611485863524
2016-12-31,0.007056615726419397,0.006027699971507408,0.014746632230244019,0.009766843075429788,0.005537110234509454,0.006562545218937977,0.004619976937409283,0.09665105126727394,0.007958831435733293,0.01802601527859341,9.945058524183152e-20,9.945058524183152e-20,9.945058524183152e-20,9.945058524183152e-20,0.7367327200878745,9.945058524183152e-20,9.945058524183152e-20,0.020168578687043432,9.945058524183152e-20,9.945058524183152e-20,0.05239295511944265,0.009054180181586824,0.004698244547994604
2017-03-31,0.008945021585019966,0.005691586443563239,0.01464505948510722,0.009916375654847024,0.005561809633383329,0.007965497773886353,0.00413933559531872,0.10217810937536977,0.00828580797614661,0.01659227506824082,9.390507248908168e-20,9.390507248908168e-20,9.390507248908168e-20,9.390507248908168e-20,0.7190549919373106,9.390507248908168e-20,0.0024593738484890494,0.019043948700785764,9.390507248908168e-20,9.390507248908168e-20,0.06118516465127601,0.009773264324373664,0.004562377946882034
2017-06-30,0.008898821666034746,0.004853305809113179,0.012635570863990125,0.009455178187429207,0.004946512342058367,0.004909197699143884,0.003948065383902415,0.1300975825956818,0.007996543991441653,0.015244873340409235,8.007434101820129e-20,8.007434101820129e-20,8.007434101820129e-20,8.007434101820129e-20,0.7039865411047616,8.007434101820129e-20,0.0022701075678660063,0.014310886226772934,8.007434101820129e-20,8.007434101820129e-20,0.06273280113257146,0.009361811505801985,0.004352200583021277
2017-09-30,0.007078775099711398,0.0018765684166786231,0.012004888958221339,0.0063323225237333376,0.003911291820791822,0.004868223427561606,0.00391978056186838,0.11518247523061893,0.010898708584162878,0.013246889189504745,0.06785774372880338,6.957984488982659e-20,0.0042701150808886566,6.957984488982659e-20,0.655374228933554,6.957984488982659e-20,0.0019725886026265836,0.012435309878709807,6.957984488982659e-20,6.957984488982659e-20,0.06697783701032663,0.008230321532638028,0.0035619314196000027
2017-12-31,0.008026909303853573,0.0034626041103834188,0.011408616464273364,0.006181975877817433,0.0025842081238380706,0.003390427395490498,0.003982799671716689,0.10240205582895728,0.007914619507635405,0.013383011841743833,0.01576350185858395,6.707873131312319e-20,0.004244071330181303,0.005221408445413509,0.7275109665340855,6.707873131312319e-20,0.0019016820327270422,0.011988310860281376,6.707873131312319e-20,6.707873131312319e-20,0.06107116013671988,0.005120924505906451,0.004440746170391382
2018-03-31,0.005837904530350215,0.0035711691075919908,0.00944369236630828,0.005649776469343706,0.002203482060500778,0.0027137621166167473,0.0029645995312920907,0.07151982003800246,0.005310908573966055,0.028472222600005963,0.006045913632504097,4.9455326237252336e-20,0.0021912665949201764,0.0038496025943077217,0.7748097713240115,4.9455326237252336e-20,0.0015222349415826269,0.008838655905121737,4.9455326237252336e-20,4.9455326237252336e-20,0.05834165707686677,0.003775518515604318,0.0029380420211026865
2018-06-30,0.005952899692299441,0.0010944436871728367,0.01056460929626625,0.002974662188584465,0.002648315368616231,0.002742266705101304,0.0031842650381106244,0.06998753853705553,0.005774133935773932,0.03548460541307676,0.006070587148678733,4.96571545904191e-20,0.007855463913276758,0.0038653129133182224,0.7207868076830541,4.96571545904191e-20,0.0015284472182930998,0.0088747266683997,4.96571545904191e-20,4.96571545904191e-20,0.09920426892626581,0.00899797572609312,0.0024086699405628685
2018-09-30,0.0050188879654962885,0.0016707724148951194,0.009062833327191138,0.004191548510346171,0.0029189712993771817,0.0024288812319358745,0.0027727965682934536,0.07162442788305375,0.004934039961981239,0.03026816825730486,0.005035171925766854,4.7613918919781125e-20,0.007838012876898687,0.005940693435783251,0.7312297123043223,4.7613918919781125e-20,0.0014655564243508628,0.007694409297436628,4.7613918919781125e-20,4.7613918919781125e-20,0.09026284883028314,0.01326123824186176,0.0023810292434214946
2018-12-31,0.006907572646632528,0.003083322470454538,0.011016232740343822,0.004093376383189646,0.00244871622922952,0.002727643946249626,0.003314239401162071,0.07503471229688584,0.005624737726543629,0.05668484579123713,0.0033779215283356112,5.537576275960018e-20,0.0139913509703661,0.006785081459408291,0.6553133431998175,5.537576275960018e-20,0.002739438983717421,0.010189140347766433,5.537576275960018e-20,5.537576275960018e-20,0.11654958938318152,0.017349558727159296,0.0027691757683193266
2019-03-31,0.006324611633238408,0.004063730292123752,0.012103244474526789,0.00476855639014007,0.0023121224075876522,0.002306318572507547,0.0029803477438375436,0.07041149975019982,0.005418272198296654,0.03238644548303464,0.009829918874411547,5.228680252346568e-20,0.011229950298779864,0.007144468696806349,0.6452705933532494,0.0040268680963447085,0.0025866281208358466,0.008784182823942234,5.228680252346568e-20,5.228680252346568e-20,0.16109124648338577,0.004478469209739882,0.0024825250970116268
2019-06-30,0.006253089401176514,0.00693179406354701,0.013365290906028575,0.005057841576089986,0.0022740321928288796,0.002167218564807505,0.0033139399493339597,0.06939641482220439,0.005310733654894486,0.02639616531311173,0.010426252371764444,5.545878921151301e-20,0.009588824654670598,0.007472295423202415,0.6515297447392763,0.004902723342665383,0.002743546302293548,0.009317076587534185,5.545878921151301e-20,5.545878921151301e-20,0.15609364260925396,0.004826245672342708,0.0026331278529734257
2019-09-30,0.005643857491082163,0.003810685353782461,0.015158795150240817,0.004124030833801709,0.0019334932304994113,0.0019335943096865146,0.002871154309660234,0.05015094407708056,0.004977947806447711,0.021089161597166388,0.01139667834586134,5.0539593551491535e-20,0.010138343545616303,0.00299436983873877,0.703192035243078,0.006105940994923449,0.0026518124736467606,0.008490651716650578,5.0539593551491535e-20,5.0539593551491535e-20,0.13654969328278765,0.004259476944519706,0.0025273334547294374
