,VID_capital,TMW_capital,SVT_capital,TTF_capital,MDF_capital,SAV_capital,DHC_capital,HAP_capital,PTB_capital,CAP_capital,GTA_capital,DLG_capital,PRT_capital,FRC_capital,HHP_capital,FRM_capital,ACG_capital,MZG_capital,PIS_capital,TQN_capital,VIF_capital,GVT_capital
2021-12-31,0.00775921695674959,0.0011595093515211381,0.00401781536755879,0.11639022623140027,0.027681757560445962,0.008873110147319386,0.11471347080507639,0.029886472943755696,0.09279753464149763,0.008789458609129074,0.0032550921230639893,0.06137910800423621,0.13099857172338317,0.002262403832774134,0.02225634840791163,0.0038477297491796925,0.18512282589531742,2.1909779515534903e-20,0.010568182149318258,0.001541221530240787,0.13488755758739063,0.03181238638273024
2022-03-31,0.006999869400632331,0.0011321178928300093,0.004759293385757053,0.1405777583394007,0.026485615939668868,0.00892876109332528,0.10029346886574181,0.026499649221436314,0.10981122134154112,0.00927242675124286,0.003186581786704172,0.046355437998297826,0.13688867382599348,0.0023835186806832626,0.021471220594953388,0.0029509039433628726,0.18013668116950718,2.1392197816220273e-20,0.006377014169015263,0.0015048127631841987,0.13424673739569032,0.029738235441031713
2022-06-30,0.007625751661468321,0.0015335538433965139,0.004762472585356128,0.08130121704573987,0.01801040499562655,0.009083673904939193,0.11306590946202025,0.02034220546092027,0.10532430525783058,0.015083027414136765,0.003958691237180842,0.03252376128986361,0.11961963390538544,0.002704481693892835,0.02135552401180142,0.003573462697176434,0.2436177868716003,2.8977624492583687e-20,0.00776165672033854,0.0020404884062697726,0.15284248038613263,0.03386951114892369
2022-09-30,0.007171045225944887,0.001600967126689343,0.004840987952996147,0.07511389140740594,0.01696858166298199,0.009017835618411746,0.10659052296555308,0.020498350857442504,0.09465414865785368,0.018259320191277486,0.004349129661305697,0.027072232501496166,0.11888819031573103,0.0031764020313363255,0.021246378410098243,0.00392167670223158,0.26349640366249444,3.0251447917488815e-20,0.008735105586174895,0.002130185956557892,0.15437313872294542,0.037895504783071556
2022-12-31,0.008964804907541112,0.0022980867110211326,0.00619018285078955,0.06971641761101637,0.02392664256401202,0.010833775317622923,0.10525356118329102,0.018781328811907146,0.11196131509164946,0.022761923132338824,0.004719410829658719,0.028333052958822467,0.10968910910470846,0.004442278646639619,0.028241515095800796,0.00567504353910738,0.19789096416205815,4.342403369149187e-20,0.013804500310525266,0.003057746756420091,0.17782141796665918,0.045636922448410285
2023-03-31,0.006979513303203958,0.002150399393555027,0.006256320521251417,0.064116822249145,0.0223889888108692,0.010318926472772879,0.12040501558858745,0.017033591447357516,0.1078922120125905,0.024264584699291908,0.00487405442076476,0.025417678573111956,0.1151956139361419,0.0039008038581550696,0.02758778515282537,0.00594738498236024,0.21029623679699797,4.0633373522448645e-20,0.02380099854077429,0.0028612396299567433,0.1587139569786844,0.03959787263160256
2023-06-30,0.006793697582201634,0.0018206938879703196,0.006148187597318465,0.06971924117227338,0.017060619384083774,0.010025135084738882,0.1066245707322477,0.017626829655959658,0.10515936662063498,0.02335509000947468,0.004807798825744987,0.029140287900962396,0.12653550734958685,0.0024770409269087145,0.02922722515682765,0.0020488224766693707,0.1939802400940725,3.4403346207065484e-20,0.010407012227637309,0.0024225460265167227,0.2007263234451236,0.03389376384304643
2023-09-30,0.006674809649356738,0.001714445138144328,0.005660500339895665,0.05825702202674227,0.018028529984291976,0.011472742129983463,0.11284182968829896,0.01778378048467593,0.12141058903931726,0.024693491341407383,0.004555807032561823,0.02540360504512462,0.12294167452586305,0.002351927686581728,0.028840205497575894,0.0023689354281169264,0.18930426221129926,3.239569816228276e-20,0.010156051373875643,0.0022811754817953023,0.20420628336594937,0.029052332529142525
2023-12-31,0.006678308650438278,0.0018313925009249188,0.006100500544396492,0.05787338032830035,0.018495603907058338,0.0106590490262063,0.10343464129335721,0.018613089594308255,0.13124348616266035,0.026309076916512523,0.0048190933240203,0.025375697253329978,0.12624087984910062,0.0024812146615078162,0.029279094326887814,0.0023888179649077346,0.18932754480141062,3.460550434459996e-20,0.009516513694764988,0.0024392727902421613,0.19960454905965253,0.027288793350012493
2024-03-31,0.007281635855560093,0.002879052701266644,0.005865784291371921,0.0582414646765895,0.01587270262686821,0.01099543172645218,0.1136828477927119,0.017956448061525042,0.1439414433461036,0.03277749349638716,0.0038063096517700493,0.022892790037490927,0.11016225804616589,0.0025827039758343673,0.03010836827213064,0.0015573704974281232,0.19368730196372252,3.311158943377394e-20,0.010744710771259642,0.002333969716007857,0.18333887069480628,0.029291041798547364
2024-06-30,0.006940606423079484,0.0027953514922674735,0.006400370053119991,0.04793970252241621,0.014095069066477946,0.015186093922531093,0.10064640344871294,0.016383215509896798,0.14997943296637123,0.025489116163705913,0.003321678254595574,0.01818385418791745,0.10552116134159986,0.0022639085524197794,0.024700649255717674,0.0013356101175991772,0.22089569687262137,3.1976109497454504e-20,0.009672773122979988,0.00225623428614039,0.19943499493562375,0.026558077504205812
2024-09-30,0.007459098868269985,0.0031028794992599136,0.006501319697140002,0.04489594096640562,0.014550524290146489,0.017632074666825568,0.10124815993998053,0.015544055133411968,0.13748244579355848,0.025122659382714883,0.0034339887355148177,0.01905008890519984,0.11070830291958447,0.0025391812596234973,0.027413339436396556,0.0016240603336551884,0.2100891489612379,3.3855750128313297e-20,0.008844814721021848,0.002388861729053786,0.20973637204490087,0.030632682716097866
2024-12-31,0.007153581831736399,0.0031694791298228766,0.006649836957273062,0.039803937369743685,0.012076052663255994,0.016974920990617332,0.0935072208489686,0.015705106266903187,0.13714808244826754,0.02311157207176375,0.0035026116170851114,0.01866974937849549,0.10317666103465961,0.002892992652540456,0.025841707445612244,3.3717863083222097e-20,0.20542001161917564,0.03820672219549145,0.008994239977449494,0.0033259300145290272,0.20416166096890978,0.03050792251769935
