,VDN_capital,TTG_capital,TNG_capital,TET_capital,NET_capital,TCM_capital,KMR_capital,PNJ_capital,GIL_capital,LIX_capital,HDM_capital,BVN_capital,GMC_capital,EVE_capital,FTM_capital,A32_capital,BBT_capital,DCG_capital,G20_capital,BMG_capital,HLT_capital,THM_capital,HSM_capital,ASA_capital,DM7_capital,BDG_capital,AG1_capital,AAT_capital,MGG_capital,ADS_capital,SGI_capital,HCB_capital,STK_capital,VDG_capital,HNI_capital,HTG_capital,LGM_capital,MPT_capital,NJC_capital,M10_capital,MNB_capital,NTT_capital,PTG_capital,HUG_capital,PPH_capital,TNV_capital,MSH_capital,SPB_capital,SSF_capital,SVD_capital,GTD_capital,TDT_capital,CET_capital,TLI_capital,NDT_capital,TVT_capital,VGT_capital,XPH_capital,VTI_capital,VGG_capital,X26_capital,X20_capital
2017-03-31,0.0015025281378036263,0.0013613000196328973,0.022096986511234203,0.0059292636376217815,0.017696814428355485,0.04123625026686794,0.011232162762080401,0.34888082831514344,0.05541566490614296,0.04262952079638756,0.006167304467610549,0.001426871749977739,0.013410877912347166,0.024115634544886924,0.025318927292838075,4.291343608955606e-20,4.291343608955606e-20,4.291343608955606e-20,0.002286427874851547,4.291343608955606e-20,4.291343608955606e-20,4.291343608955606e-20,4.291343608955606e-20,0.0009440955939702333,4.291343608955606e-20,0.008354387737914774,4.291343608955606e-20,4.291343608955606e-20,4.291343608955606e-20,0.0243926836882811,4.291343608955606e-20,4.291343608955606e-20,0.03536058551092201,4.291343608955606e-20,4.291343608955606e-20,4.291343608955606e-20,4.291343608955606e-20,0.0034049236730897357,4.291343608955606e-20,4.291343608955606e-20,4.291343608955606e-20,4.291343608955606e-20,4.291343608955606e-06,4.291343608955606e-20,4.291343608955606e-20,0.0,4.291343608955606e-20,0.015296065159761365,0.0011972848668986142,4.291343608955606e-20,0.01197284866898614,4.291343608955606e-20,4.291343608955606e-20,4.291343608955606e-20,4.291343608955606e-20,4.291343608955606e-20,0.19461243266613673,0.004184060018731716,0.0003875083278886912,0.07918146912002784,4.291343608955606e-20,4.291343608955606e-20
2017-06-30,0.0012617968570470847,0.0012044994101666402,0.020203482257080466,0.005298248209350366,0.016389879622962292,0.05354960910914735,0.009614314140068223,0.41826528695123355,0.04428754706630237,0.04010593458780695,0.005311917580375522,0.0014314869101343655,0.012367363435009658,0.020572403392859397,0.02304807836741538,3.797047506987707e-20,3.797047506987707e-20,3.797047506987707e-20,0.0010935496820124594,3.797047506987707e-20,3.797047506987707e-20,3.797047506987707e-20,3.797047506987707e-20,0.0008733209266071725,3.797047506987707e-20,0.006695257928121283,3.797047506987707e-20,3.797047506987707e-20,3.797047506987707e-20,0.02071274226871766,3.797047506987707e-20,3.797047506987707e-20,0.03161771082688607,3.797047506987707e-20,3.797047506987707e-20,0.010798803109873039,3.797047506987707e-20,0.00248030737251451,3.797047506987707e-20,3.797047506987707e-20,3.797047506987707e-20,3.797047506987707e-20,5.69557126048156e-06,3.797047506987707e-20,3.797047506987707e-20,0.0,3.797047506987707e-20,0.013534196133906983,0.001177084727166189,3.797047506987707e-20,0.007062508362997134,3.797047506987707e-20,3.797047506987707e-20,3.797047506987707e-20,3.797047506987707e-20,3.797047506987707e-20,0.15966584766883304,0.003109781908222931,0.00031021878132089564,0.06795112683460046,3.797047506987707e-20,3.797047506987707e-20
2017-09-30,0.0007071068441052808,0.0007042093050567389,0.024515827485103885,0.00499149393428818,0.013245402204712426,0.04571050286718645,0.008548813355809178,0.44469501201530753,0.03212848532362489,0.033310108902037686,0.004903709232743467,0.001432672085112384,0.012312394631081934,0.016030903076710706,0.024110386650830134,3.577208701903581e-20,3.577208701903581e-20,3.577208701903581e-20,0.0007726770796111735,3.577208701903581e-20,3.577208701903581e-20,3.577208701903581e-20,3.577208701903581e-20,0.0010373905235520383,3.577208701903581e-20,0.0064850501115069625,3.577208701903581e-20,3.577208701903581e-20,3.577208701903581e-20,0.020415416238459886,3.577208701903581e-20,3.577208701903581e-20,0.030305468224960788,3.577208701903581e-20,3.577208701903581e-20,0.00797145187132194,3.577208701903581e-20,0.002226597784412865,3.577208701903581e-20,3.577208701903581e-20,3.577208701903581e-20,3.577208701903581e-20,8.943021754758951e-06,3.577208701903581e-20,0.021404120951579016,0.0,3.577208701903581e-20,0.011375630988314445,0.00110893469759011,3.577208701903581e-20,0.004025432952252099,3.577208701903581e-20,0.0012699806333498092,3.577208701903581e-20,3.577208701903581e-20,0.007414480476435551,0.15739718288375754,0.0026507116481105535,0.0003230219457818933,0.05646048005353795,3.577208701903581e-20,3.577208701903581e-20
2017-12-31,0.0005130819644816845,0.000991591494691876,0.019732683620507726,0.004491712466021478,0.011875920885394246,0.04349540572908371,0.007876012563506729,0.48468441161772857,0.029860024776267424,0.029453396294221328,0.004076263828490854,0.001213576137835467,0.009666761649654926,0.017575930272099867,0.01995801605989362,3.219034848369939e-20,3.219034848369939e-20,3.219034848369939e-20,0.0006953115272479068,3.219034848369939e-20,3.219034848369939e-20,3.219034848369939e-20,3.219034848369939e-20,0.0009657104545109816,3.219034848369939e-20,0.005747908625249363,3.219034848369939e-20,3.219034848369939e-20,0.00656200253840212,0.016108694188212848,3.219034848369939e-20,3.219034848369939e-20,0.02985204156984346,3.219034848369939e-20,0.008297191083067453,0.007775900579722424,3.219034848369939e-20,0.0016018239308973655,3.219034848369939e-20,3.219034848369939e-20,3.219034848369939e-20,0.009304620229213308,1.1266621969294786e-05,0.0046074045784718935,0.016567825128635853,0.0,3.219034848369939e-20,0.010236627388861858,0.0006087194898267554,3.219034848369939e-20,0.002694332168085639,3.219034848369939e-20,0.0008050806155773217,3.219034848369939e-20,3.219034848369939e-20,0.00617861548796126,0.12795663522270506,0.0028456268059590256,0.00042909734528771284,0.05468277506041164,3.219034848369939e-20,3.219034848369939e-20
2018-03-31,0.0003065898745975153,0.0004326011698572724,0.015481360267085372,0.0030186535127743144,0.00820069698242199,0.02810781688707881,0.005600528685682745,0.5435765496172417,0.029659251437690694,0.023956790201108174,0.0034887291790881465,0.0018113073399406885,0.007684552412392502,0.011151603519539413,0.017764975898689323,2.4006724187418007e-20,2.4006724187418007e-20,2.4006724187418007e-20,0.000518545242448229,2.4006724187418007e-20,2.4006724187418007e-20,2.4006724187418007e-20,2.4006724187418007e-20,0.0007202017256225401,2.4006724187418007e-20,0.004489065369253668,0.0009939984149800426,2.4006724187418007e-20,0.006557436711793228,0.012013444917867717,2.4006724187418007e-20,2.4006724187418007e-20,0.01961915924802874,2.4006724187418007e-20,0.0060507027776452085,0.006447245847772979,2.4006724187418007e-20,0.0010427080583563138,2.4006724187418007e-20,0.010901549480403264,2.4006724187418007e-20,0.006939143626373174,8.402353465596302e-06,0.0018303926856696859,0.013306303042256927,0.0,2.4006724187418007e-20,0.007634210311771489,0.0004241988163916762,2.4006724187418007e-20,0.002232625349429874,2.4006724187418007e-20,0.0005418317649100243,2.4006724187418007e-20,2.4006724187418007e-20,0.005238027150452734,0.14271997529420002,0.0021846119010550382,0.00025807228501474356,0.0407068818347744,2.4006724187418007e-20,0.006379258804874211
2018-06-30,0.0007647979071661028,0.0007784159700397621,0.017576483929233427,0.003927436839127669,0.010683557728920653,0.031350123800997505,0.006753434758125245,0.44843940591388126,0.03544669323292532,0.028416524444844524,0.004721095044677399,0.0021254797673222778,0.011059678630582593,0.014797462080332145,0.025768123556809394,3.123408915976897e-20,0.004805676958122053,3.123408915976897e-20,0.0004947479722907405,3.123408915976897e-20,3.123408915976897e-20,3.123408915976897e-20,0.007882078569913497,0.0005309795157160724,3.123408915976897e-20,0.005863762962498387,0.0011677488914162823,3.123408915976897e-20,0.007910345420603088,0.015964242714984474,3.123408915976897e-20,3.123408915976897e-20,0.024077359842412785,3.123408915976897e-20,0.00778309774136619,0.00829827280796742,3.123408915976897e-20,0.001116275112480983,3.123408915976897e-20,0.01488872808885699,0.016260466816575725,0.008954813362105761,1.0931931205919138e-05,0.002381443127986585,0.015469026231356337,0.0,3.123408915976897e-20,0.006368287204696134,0.00037762013794160677,3.123408915976897e-20,0.0029047702918585136,3.123408915976897e-20,0.0005525310372363129,3.123408915976897e-20,3.123408915976897e-20,0.006185286676309048,0.13383807204961,0.002964115061262074,0.0003760584334836183,0.055468837577457825,3.123408915976897e-20,0.004495709857300505
2018-09-30,0.000415098350234721,0.0007517553784977386,0.024648909325764277,0.0032865663845235787,0.010243832453398962,0.03749784266832376,0.005067903178303295,0.45847520331003616,0.03744036590949521,0.02811511987992956,0.0035857215855491283,0.0018985300038968042,0.011911517876300688,0.012480295589402285,0.020313489753628355,2.6042935581574818e-20,0.003955921914841214,2.6042935581574818e-20,0.00030001461789974193,2.6042935581574818e-20,2.6042935581574818e-20,2.6042935581574818e-20,0.006315802522565616,0.00018230054907102371,2.6042935581574818e-20,0.0074145279318166765,0.0010336441132327045,2.6042935581574818e-20,0.004188485329584678,0.013191580246006255,2.6042935581574818e-20,2.6042935581574818e-20,0.02513231829602947,2.6042935581574818e-20,0.006743661911235309,0.007265979027259373,2.6042935581574818e-20,0.0011756822838946137,2.6042935581574818e-20,0.013151265781725978,0.01252144342762117,0.006120089861670082,9.115027453551187e-06,0.001985643623417172,0.016360875291606004,0.0,2.6042935581574818e-20,0.005309868092791708,0.00027449254102979853,2.6042935581574818e-20,0.002421993009086458,0.0038652664560817522,0.0005083581025523404,2.6042935581574818e-20,0.00451365742325622,0.005758874345153639,0.13841820261607016,0.0017943582615705046,0.00040314464280277816,0.047961086853997484,0.0021615636532707097,0.00342863059812107
2018-12-31,0.0004382377097679141,0.0007843132510721826,0.024708314435323054,0.004671813597505155,0.01106121987517855,0.03205153866829846,0.00514703165231591,0.4311698997477968,0.03374499101913762,0.030519755037795287,0.0035203363853161694,0.002405784528809366,0.012403125243327921,0.012194440619628915,0.022408164468338668,0.003038162176382114,0.0055236812781463045,0.001929466686785441,0.000277146377718839,0.0023767226517013487,2.74946803292499e-20,2.74946803292499e-20,0.005799865342053619,0.0001924627623047493,0.0020324067699381524,0.007227801564953213,0.0009875264333856686,2.74946803292499e-20,0.006193726637770125,0.01277160894910053,2.74946803292499e-20,2.74946803292499e-20,0.02316019896470431,2.74946803292499e-20,0.007499119070442252,0.00830449324664664,2.74946803292499e-20,0.002092207699654271,2.74946803292499e-20,0.009635125795861017,0.013631862507242099,0.006461249877373726,1.649680819754994e-05,0.005956585019930343,0.016245974228906192,0.0,0.04076773725819528,0.005605862877650433,0.0002471771761599566,2.74946803292499e-20,0.002199024532733407,0.003982164530806579,0.000536696160026958,2.74946803292499e-20,0.002346176061855552,0.0072924140637269505,0.11726481160425081,0.0018228973058292681,0.0008157671653688445,0.04342017656423836,0.00203873054641388,0.0030775070639332703
2019-03-31,0.0007705969261655178,0.0002884817558274085,0.029768001543981352,0.003739430700156078,0.01019853183374658,0.03859540145214547,0.004062609490355337,0.40939431864059417,0.03420878181206399,0.025399109423223053,0.0033666393076027075,0.0021395281941768303,0.013394669083086489,0.011584261454551029,0.025063044560357156,0.0023943154374148025,0.004696692291856979,0.0017491804445558142,0.00021126312683071788,0.0017754416249049102,2.445175079059235e-20,2.445175079059235e-20,0.00542865545177336,0.00017116225553414643,0.0018074734184405862,0.006391492042654515,0.0010627464446115152,2.445175079059235e-20,0.004405716457448929,0.01053616160866308,2.445175079059235e-20,2.445175079059235e-20,0.031745805858429205,2.445175079059235e-20,0.007320951993706511,0.00721815683338286,2.445175079059235e-20,0.0013672685489575522,2.445175079059235e-20,0.01027941822536186,0.012020480688655197,0.005746161435789201,1.4671050474355407e-05,0.007934104096531405,0.014904613597907146,0.0,0.04509514139554993,0.004985443016943083,0.0002198212396074252,2.445175079059235e-20,0.0015235885917618092,0.0035706647161994095,0.0006413694232372372,0.0024647364796917086,0.0024221904333160777,0.0076766271607064665,0.1229923064766795,0.001907236561666203,0.00048365563063791655,0.05021746531341876,0.0014548791720402445,0.003189535276626447
2019-06-30,0.0007365968421267185,0.0005768106091078834,0.03399169155212635,0.003859735461567365,0.010504739092929451,0.03697023974745198,0.004012929573339253,0.3977521884448986,0.028809508708349703,0.024106805742328964,0.0037363513098460106,0.0015753230921013621,0.017195257443783328,0.010250263824205385,0.028840530455394166,0.002150679556816537,0.004631449890778005,0.0019611560709668035,0.00010469839627504437,0.0022838307117089194,2.4235739878482495e-20,2.4235739878482495e-20,0.005296236235644779,0.00024235739878482494,0.001791505891817426,0.00690001208636348,0.0007778460713998956,2.4235739878482495e-20,0.0075731839972282096,0.011942887897318604,2.4235739878482495e-20,2.4235739878482495e-20,0.03614770297171615,2.4235739878482495e-20,0.0064372063976439785,0.007494660200021926,2.4235739878482495e-20,0.001077520994997332,2.4235739878482495e-20,0.009047977240313625,0.012137258531144031,0.005695398871443386,1.4541443927089496e-05,0.0073252523782713335,0.017796328028509573,0.0,0.05258549660133739,0.005537721147793979,0.00021787930150755761,2.4235739878482495e-20,0.0009691872377405149,0.0033363888946314137,0.0006357034570125957,0.0007852379720628329,0.0019886878714687594,0.008341699308774889,0.11524094312218426,0.001795868324995553,0.00041685472590989885,0.05177248447137382,0.0015329105473140176,0.003094273853245374
