,TMT_capital,VKC_capital,SVC_capital,SRC_capital,HUT_capital,HTL_capital,HHS_capital,CMC_capital,DRC_capital,HAX_capital,CSM_capital,GGG_capital,DAS_capital,CTF_capital,FTI_capital,GMA_capital,VVS_capital,VMA_capital
2018-03-31,0.018755716982989806,0.008437270223691732,0.0634449313642324,0.021268367505332588,0.45539140001332373,0.011971775892374595,0.06483080731776432,0.0016807987082383341,0.15751067447463785,0.05823380288472299,0.08253635135009048,0.0011509817241197287,0.000753618986030775,0.05063223413056218,0.002671921859563656,6.524839705894155e-20,6.524839705894155e-20,0.0007293465823248486
2018-06-30,0.019856652801147266,0.010484016627759015,0.087901247896746,0.021012254212958627,0.38633923806186926,0.010012100076185665,0.08527090726126793,0.0021473900638139818,0.16688021739396136,0.049954573788057184,0.10736576859928378,0.0012476930410302582,0.0010872753643263679,0.04818386819472567,0.0013240824108892537,8.487707762110601e-20,8.487707762110601e-20,0.000932714205978334
2018-09-30,0.026310326441887542,0.008524654297189264,0.07832191770017323,0.023604095746191205,0.35267720522584667,0.009161952656934723,0.0870764095493796,0.0018866555402365578,0.1807507500875497,0.05429923997438189,0.10622690976549316,0.0013913295873650869,0.0013283884869842854,0.06705782693879099,0.0007690172039007709,7.887355937443805e-20,7.887355937443805e-20,0.0006133207976956302
2018-12-31,0.027850388979531786,0.008802173760436538,0.08504815351534745,0.027817390888323815,0.30328733423265797,0.008177087967635041,0.08918248346853755,0.0023858782477745285,0.16233129278741312,0.052247514300290676,0.11960475619641998,0.002103292968053108,0.003106113008178429,0.10648886448560312,0.0008719007839505867,8.942572143082942e-20,8.942572143082942e-20,0.0006953744098461295
2019-03-31,0.024520331214762225,0.008327920185212948,0.08581106218781627,0.03518705932680891,0.30038764958217584,0.009776029000838578,0.08828803592000263,0.0017864036044964561,0.16280816433049095,0.05329437420081094,0.11900002476801136,0.0022834898248780787,0.0026169518310507505,0.10423224903812527,0.0008414219876251423,8.629969103847615e-20,8.629969103847615e-20,0.0008388329968939881
2019-06-30,0.02519826121754403,0.007648862441301052,0.09441116817244012,0.05359762268436965,0.21766790685886614,0.011743092117932107,0.08601032510053422,0.0017295554503911773,0.16237294194841637,0.061990844330965376,0.13275466052698193,0.006871477059662244,0.003913754325285888,0.13200125723031916,0.0009907852903239705,1.0161900413579185e-19,1.0161900413579185e-19,0.001097485244666552
2019-09-30,0.01963806673808533,0.007024802737912196,0.09015042187181825,0.049729327198804574,0.20193479653058755,0.010919382494164033,0.07710854751554536,0.004072634551877396,0.1999592736544812,0.06994189117802431,0.13248850759585692,0.0031813768455969805,0.0034292763400590835,0.1284001333935375,0.0009591349488117056,9.837281526273904e-20,9.837281526273904e-20,0.0010624264048375816
2019-12-31,0.018189362348714756,0.005295883998580579,0.0965307157841941,0.04108641669453932,0.20991457300073277,0.011230723653540607,0.07753707290297841,0.00428257088708311,0.2026928060943042,0.06599255538260852,0.1217312444710001,0.005762360827471095,0.00474571573862441,0.1329941119060273,0.0009554935045551562,9.799933380052885e-20,9.799933380052885e-20,0.0010583928050457115
2020-03-31,0.023183562382127366,0.005762765888755478,0.1311648811672139,0.043280213122808255,0.14434907431840552,0.01198834458204831,0.0947721188130046,0.005951872195985796,0.16066023978928579,0.050240569349326254,0.15737576182160137,0.006949656790714183,0.003380772889918855,0.15838349937986818,0.0012130174312471051,1.2441204423047233e-19,1.2441204423047233e-19,0.001343650077689101
2020-06-30,0.019078499283500312,0.00872457028854369,0.15310434224424876,0.03352960477244543,0.21853805434548393,0.008701967774842799,0.10050584425662593,0.0023393601680421552,0.14880364894981185,0.0527983418795949,0.12771588037544282,0.00304568872119498,0.0058738282480188895,0.11517788931699723,0.000918227119098672,9.417714042037662e-20,9.417714042037662e-20,0.0011442522561075758
2020-09-30,0.014157508364915403,0.007262777821907821,0.18213701879086283,0.03337801875053226,0.19713312521223667,0.008648579312143443,0.1104845372286081,0.0018815486585253421,0.16064858782001568,0.05139818289847336,0.12178789989146736,0.002405110024375872,0.006005903318012894,0.10056059515183813,0.0011166582256030835,8.180646341414532e-20,8.180646341414532e-20,0.0009939485304818656
2020-12-31,0.011642443601823907,0.007658079241600561,0.13673492166052448,0.03238850410052192,0.23989896404094682,0.00801007185257167,0.10621729028664229,0.0017074841564925865,0.14103639936390455,0.05615613317045249,0.10615047568921432,0.0016934044520537424,0.0032739152739705685,0.09085710072774153,0.000873581661773756,0.05492364704280127,6.39986565402019e-20,0.0007775836769634532
2021-03-31,0.015820195095321232,0.008163654936149544,0.11320550169662291,0.02717625531012254,0.3076057660166883,0.007964694242061846,0.1035807128443123,0.001585419074147637,0.14442478452844043,0.051710354379284146,0.09305302887368767,0.0018423446948593095,0.0030793475614077034,0.07679726129821278,0.0007128119355110425,0.042643386559583676,5.222065461619359e-20,0.0006344809535867521
2021-06-30,0.01422317009157314,0.00735645888275496,0.10179585740838527,0.021796272876788512,0.3359362206449775,0.006843793742998203,0.09099901521600617,0.001293097759572342,0.1433749060610217,0.06769952810507958,0.08267916515054845,0.0022412423953678323,0.002685488655878242,0.06989846133277976,0.000650360516512987,0.04986573747857086,4.764545908520052e-20,0.0006612236811844128
2021-09-30,0.016211907464188068,0.01482072561759003,0.10661783018181872,0.02072937742755525,0.3894956685706578,0.007019482378636031,0.0764388396755344,0.0013704943477179145,0.13439942071646135,0.04930405869005664,0.07320873640211326,0.004317938407231274,0.0023651727928589265,0.060060634933330234,0.0005727877478980262,0.042659049414881564,4.1962472373481774e-20,0.00040787523147024286
2021-12-31,0.01776819101718553,0.006761688069535477,0.08994992407393158,0.014805264225515402,0.5041731024736177,0.004816857436690413,0.09734527766958831,0.0017365238187978405,0.08950164346471862,0.04812783639805526,0.04977321580121523,0.0037527816903579233,0.0015307699174651468,0.04171274696748597,0.00037071551652471886,0.027609479421174296,2.7158645899246806e-20,0.00026398203814067894
2022-03-31,0.01508689349480761,0.004123006753510381,0.06434026808405474,0.009832571982804269,0.6161218821244949,0.003619795796835539,0.0676961154922948,0.0011464664720469279,0.07087299070179294,0.04467623181552065,0.034816580595307255,0.005466485062368686,0.0010617276458521551,0.04046005982592778,0.0003780016266531538,0.020108657962092942,1.978030490074065e-20,0.00019226456363519913
