,WSB_capital,VTL_capital,VDL_capital,VCF_capital,THB_capital,SMB_capital,SCD_capital,HAD_capital,BHP_capital,HAT_capital,CTP_capital,EPC_capital,CPA_capital,CFV_capital,BBM_capital,BSP_capital,FGL_capital,HLB_capital,BHK_capital,BHN_capital,BHG_capital,HKT_capital,BSD_capital,HAV_capital,HBH_capital,IFS_capital,PCF_capital,HNR_capital,BQB_capital,NAF_capital,BSH_capital,BSQ_capital,SKV_capital,SKH_capital,BSL_capital,SAB_capital,SBL_capital,SBB_capital,FCC_capital,QHW_capital,SKN_capital,BTB_capital,TAN_capital,SB1_capital
2017-03-31,0.0033658340520415536,0.0006596035833875959,0.0035166583716378695,0.018063732700584475,0.0007163421824782359,0.003075664364801,0.002661387676529124,0.0003683763195381419,0.000622843146806694,0.000501823960691869,0.0012516457764022281,7.719537291243544e-21,7.719537291243544e-21,7.719537291243544e-21,7.719537291243544e-21,0.0011183679650689084,7.719537291243544e-21,0.0005743335744685196,7.719537291243544e-21,0.11350092803891337,7.719537291243544e-21,0.00024392193932871344,7.719537291243544e-21,7.719537291243544e-21,7.719537291243544e-21,0.00346271424504666,0.00017368958905297972,7.719537291243544e-21,7.719537291243544e-21,0.008811604792761185,7.719537291243544e-21,0.0049466794962288625,7.719537291243544e-21,7.719537291243544e-21,7.719537291243544e-21,0.8276311543017163,0.0013691371339749547,7.719537291243544e-21,0.0005094894612220739,0.0013604912522087623,7.719537291243544e-21,0.0005825162839972379,7.719537291243544e-21,0.000911059791112563
2017-06-30,0.0032740800482433108,0.0006973818002919834,0.0038305643990459563,0.022611390965308,0.0007981587437759703,0.0029391429451263856,0.0026028531313586696,0.0004197862503116437,0.0005333544851693264,0.0004511364345151585,0.0017968605577698721,7.432476103251483e-21,7.432476103251483e-21,7.432476103251483e-21,7.432476103251483e-21,0.0011455303794136347,7.432476103251483e-21,0.0004356991816487052,7.432476103251483e-21,0.10509372560475533,7.432476103251483e-21,0.00017319155815796603,0.0006325780411477337,7.432476103251483e-21,7.432476103251483e-21,0.003612317170750079,0.00022297428309754448,7.432476103251483e-21,7.432476103251483e-21,0.006959057105378776,7.432476103251483e-21,0.004535296918204056,7.432476103251483e-21,7.432476103251483e-21,0.0032108296766046405,0.8299337385836424,0.0010649251760738725,7.432476103251483e-21,0.0004905434228145979,0.0011767096166667747,7.432476103251483e-21,0.0005723006599503642,7.432476103251483e-21,0.0007858728607772955
2017-09-30,0.0025066861793140503,0.0007462803208553642,0.0024657611671150465,0.015906802844780948,0.0005615574691584919,0.002499308938096204,0.0018449814933382874,0.00033547770981157094,0.00043868904976125466,0.00046444519334856276,0.001307189946837289,5.836425014119189e-21,5.836425014119189e-21,5.836425014119189e-21,5.836425014119189e-21,0.0008499293926811068,5.836425014119189e-21,0.0003681908720157091,5.836425014119189e-21,0.13440895767040545,5.836425014119189e-21,0.0001228275644221383,0.0004967381329516842,5.836425014119189e-21,0.0006816944416491213,0.00562746348933868,0.00017509275042357567,5.836425014119189e-21,5.836425014119189e-21,0.005529569132576858,5.836425014119189e-21,0.00385816875558349,5.836425014119189e-21,5.836425014119189e-21,0.0021904103077989316,0.8134817472402845,0.0007423932617959608,5.836425014119189e-21,0.00038520405093186647,0.0009828539723776715,5.836425014119189e-21,0.0004044642534784598,5.836425014119189e-21,0.0006171143988678925
2017-12-31,0.0025972372901206233,0.0013157164454027986,0.0023647573089070287,0.021758756747450217,0.0006214974374623274,0.0026395568064052715,0.0019519466813461804,0.00040345201994272157,0.00044833039070039504,0.00041104507762141886,0.0008949429490272907,5.9646957413175876e-21,5.9646957413175876e-21,5.9646957413175876e-21,5.9646957413175876e-21,0.0009737365797700961,5.9646957413175876e-21,0.0006856298460729739,5.9646957413175876e-21,0.14055679062865178,5.9646957413175876e-21,9.933007818016177e-05,0.0005076552545435399,0.00012794272365126223,0.00038174052744432556,0.004457524492009976,0.0001789408722395276,5.9646957413175876e-21,5.9646957413175876e-21,0.004835268673307619,5.9646957413175876e-21,0.0038329134833706814,0.0021511078721487744,0.003222188286417174,0.0024157017752336227,0.7971632145642121,0.0007501201364280998,5.9646957413175876e-21,0.00039366991892696076,0.0008837293210336136,5.9646957413175876e-21,0.0003536468105027198,5.9646957413175876e-21,0.0006219090014684783
2018-03-31,0.002581678714053669,0.001475679494826408,0.0023000953406826616,0.019273320087528568,0.000602457733510339,0.0028645116456448914,0.0011113448902474003,0.0004681271771342402,0.0004250692294874137,0.0004531202876797546,0.0005568458107695118,6.095405952268753e-21,6.095405952268753e-21,6.095405952268753e-21,9.38692516649388e-05,0.0009181205215604809,6.095405952268753e-21,0.000784740848512936,6.095405952268753e-21,0.14577045083975249,6.095405952268753e-21,8.551854551033058e-05,0.0005187800005975935,0.00017701058885388459,0.0002340635885671201,0.004098624107176936,0.00018286217856806257,6.095405952268753e-21,0.0004949469633242227,0.003548330857806114,6.095405952268753e-21,0.003790732961715937,0.0019921615273799965,0.002846249809411894,0.002210803738887877,0.7968854450495435,0.0008989504698405956,6.095405952268753e-21,0.0004022967928497377,0.0007017031332251789,6.095405952268753e-21,0.000469346258324694,6.095405952268753e-21,0.0007827415553605918
2018-06-30,0.0030139510415099972,0.00120389290402299,0.0024717840530328957,0.021173876608812224,0.0006801881067595461,0.003508177940433753,0.001319407158080152,0.0005204503087143553,0.0004706820805315826,0.0004610592409327338,0.0003759670886832058,6.696478496067361e-21,6.696478496067361e-21,6.696478496067361e-21,0.00010312576883943735,0.0009149063745252031,6.696478496067361e-21,0.0005810467426252688,0.00023544818392172838,0.1131585668518154,6.696478496067361e-21,9.395159329982505e-05,0.000569937284800293,7.071481291847132e-05,0.0003428596989986489,0.004753595707610856,0.00020089435488202082,0.0042723532804909755,0.00027187702694033485,0.0033993199860016822,6.696478496067361e-21,0.0040530436097447695,0.0020792565730289154,0.0027733465691462977,0.002829596988513263,0.8204979340694193,0.0012616165486590905,6.696478496067361e-21,0.0004419675807404458,0.0007671485765094768,6.696478496067361e-21,0.0005156288441971867,6.696478496067361e-21,0.0006124264408578405
2018-09-30,0.002919774329471989,0.001178352074742522,0.002590041193988514,0.019897840279935883,0.00047229322599702306,0.003707827679599422,0.0013767906050097588,0.0004027274937202743,0.0004249591398263192,0.0004898921453594276,0.00033748836086930416,6.802829285815445e-21,6.802829285815445e-21,6.802829285815445e-21,0.00010476357100155784,0.0009056266486741811,0.0010000159050148703,0.0008536734414184085,0.000239187477689271,0.1080331332072479,6.802829285815445e-21,7.054533969390615e-05,0.0005789888005157524,6.959294359389201e-05,0.0003918429668629696,0.00610302223718361,0.00020408487857446334,0.004340205084350254,0.00021701025421751267,0.003385223909207481,0.0022126882535043317,0.004089860966632245,0.00224370915504765,0.0029296384319364216,0.0026020822018244074,0.8224476114456842,0.0010473635968441459,6.802829285815445e-21,0.00044898673286381934,0.0007031404349818844,6.802829285815445e-21,0.0003614343199553746,6.802829285815445e-21,0.0006185812669591984
2018-12-31,0.0026652364593516943,0.001717984466455867,0.0023745607080914756,0.014838817458075531,0.0003370359908025867,0.0031137557218055842,0.0010592906848636246,0.00024345923872992148,0.00024644462293107734,0.0004349346072129717,0.00025902257884835047,0.0005547260410984998,5.785628296813724e-21,5.785628296813724e-21,9.569429202929899e-05,0.0007564708998083944,0.0008504873596316174,0.0009695903037498248,0.0001768088007506274,0.08654174048766772,0.0006143006556707908,8.117236500429654e-05,0.0005500396821780807,5.34592054625588e-05,0.0003332521898964705,0.0051904607139204965,0.00017356884890441172,0.0023142513187254894,0.000167783220607598,0.003940591432959827,0.0019411940061469406,0.0036475493597262127,0.0019162000919047053,0.0029249822417371464,0.00201513433578022,0.8536712140258672,0.0011990136082316763,5.785628296813724e-21,0.0003818514675897058,0.0005031182366909214,0.00020076130189943623,0.0002806608286784337,5.785628296813724e-21,0.0006633801405126616
2019-03-31,0.0027251507544974966,0.001820199889872206,0.00251584063986297,0.015754297754972175,0.00027532868004815795,0.0034615918360939367,0.0010821956946099839,0.00032439205958118526,0.0003445715505135598,0.0004788644689055592,0.0003115193588041541,0.0005877307383341656,6.129857512871982e-21,6.129857512871982e-21,0.0001314241450759753,0.0008236996032921725,0.0009010890543921813,0.001070034057304446,0.00023416055699170972,0.09282746046703177,0.0006508498811442084,8.97411139884458e-05,0.0005827655537487393,8.495982512840566e-05,0.0005786585492151151,0.006230736577961315,0.00018389572538615945,0.0014711658030892756,0.00017776586787328745,0.0041477803457998525,0.001706920123034332,0.004151446000592549,0.0021852942033388613,0.0029877538503489324,0.0017791911431110927,0.8443168518689712,0.0009334547020601454,6.129857512871982e-21,0.0004045705958495508,0.0005541391191636271,0.00018696065414259544,0.00035399927136835695,6.129857512871982e-21,0.0005715479145001836
2019-06-30,0.002256850430573746,0.0016319627090750246,0.0021627545406900203,0.017465540368744325,0.0003621380980210532,0.0032411832423227694,0.0015163832123017786,0.0002536923238731836,0.0005015809412036877,0.0003996973125216887,0.00021945265364506545,0.0005269501735910061,5.495934226022176e-21,0.0014867051674812585,6.0785032539805264e-05,0.0009116380897414284,0.0008079023312252598,0.0012551449707362665,0.00020576777742227023,0.09641310765583806,0.0005835418083163566,0.00011398567584769991,0.0005666857780451465,7.617364837266734e-05,0.00031656581141887734,0.010268026434806099,0.00016487802678066525,0.001319024214245322,0.00015938209255464308,0.00530476364990422,0.0016867022139662059,0.004078257992419755,0.0022373948234136274,0.00278577914048612,0.001887029016504714,0.8336953111332728,0.0006971042972286528,5.495934226022176e-21,0.0003627316589174636,0.00046561554762859867,0.0001882357472412595,0.0003173902015527806,0.0004898855931707127,0.0005562984623579646
2019-09-30,0.002602707837090529,0.0011598980366939943,0.0018122488092225486,0.019345927869880153,0.0004582171451890136,0.00391165851356919,0.0014095632180576322,0.00028962998500418354,0.0005108374699823986,0.00039890730944142815,0.00013895808162373596,0.0005505496225654464,5.742069488584131e-21,0.001553287217356893,8.819818734465224e-05,0.001231673905301296,0.0008440842148218672,0.0017077718548777605,0.00017524796079158766,0.08513150880874515,0.0006096757120893973,0.00010157720925305325,0.0005920647849679096,4.926695621205184e-05,0.0003307432025424459,0.009957672966392543,0.00017226208465752392,0.0013780966772601914,0.0002997360273040916,0.006413914587026429,0.0018624976593171487,0.004640740560673694,0.0022808074215605024,0.0027703188454622995,0.002382384630813556,0.8396583769538732,0.0008551089882399488,5.742069488584131e-21,0.0003789765862465526,0.0006063625379944841,0.00018259780973697536,0.00024317664284153793,0.0005118251059344351,0.0004009400020403869
2019-12-31,0.0031164853868907347,0.0010411478510740568,0.0025476552892958805,0.022794862703330344,0.0006419295005545467,0.004868964004928805,0.0014545144731341526,0.0003692982352943375,0.0004504768424944186,0.0004933211074055726,0.0003274203823736607,0.0006177305443129986,0.0007298343352083488,0.0017428273836265044,0.00012073707134361277,0.0012990187838663781,0.001051262963241051,0.0018306806763074813,0.000353835643446703,0.09784944597468984,0.0006898055505627849,0.00011397218741027267,0.0006643116022539974,6.803540412959183e-05,0.00041233578260358686,0.008664360257876345,0.00019328239809543135,0.0015462591847634508,0.00018683965149225032,0.00840018187615951,0.0019297314625847865,0.005511447581691226,0.0026761880840293424,0.0036824162485141585,0.002815158128259958,0.8149430951493296,0.0009053347526790005,6.442746603181046e-21,0.000425221275809949,0.0009494031394447588,0.0001707327849842977,0.0003472640419114583,0.0005742806612211457,0.0004288936413737621
2020-03-31,0.004119816260090243,0.0016671176137281227,0.004173406113416025,0.04396188046993394,0.0006849377475174473,0.00601735923904257,0.002168133223979221,0.0003745787694475597,0.0003593931436591451,0.0004898574765196112,0.0004127629154517616,0.0006413175876440594,0.0012465418038489883,0.0029767127768290064,0.00024671139867844566,0.0013411218427268313,0.0017955351883301503,0.0025833500485257775,0.0002962297436406671,0.09935151655763609,0.0011781734755711478,0.00020137460284636727,0.0011346303442343678,0.00011983439480857593,0.0008099000420487777,0.013159588206323621,0.00019807337984888585,0.002640978397985145,0.0003191182230898717,0.01251185524198779,0.0020777897546148125,0.0076406806276707725,0.004264629908913096,0.004648121980453855,0.003778249720617498,0.7648283784397037,0.001432730780906941,1.1004076658271438e-20,0.0007262690594459149,0.0009454702664786819,0.0002872064007808845,0.0005931197318808305,0.0009808593770116829,0.0006146877221310425
2020-06-30,0.003505918093301029,0.001881272164202789,0.002960804578101524,0.03755330809576142,0.0007853591626977982,0.005351496974934146,0.0016900613333582638,0.0003326025731585963,0.00042225910815258023,0.00037960541267731114,0.00032351214913336134,0.0005194018746967576,0.001009571797626093,0.0024108339245748093,0.0002304689855809566,0.0013769318744105876,0.0014542004786250846,0.0024375972023667515,0.00030907441685798823,0.0930869045338909,0.0009542004206959118,0.0004240415442359596,0.0009189349227862503,9.117160566485639e-05,0.0006559364786836197,0.0119853141169731,9.892520262755679e-05,0.002138923300055282,0.00023260790888101186,0.010678396331917656,0.0021239508369548946,0.005907438789340182,0.003308379614360507,0.0042027169191961216,0.00291963030457546,0.790665849229596,0.0012052832795811513,8.912180416897008e-21,0.0005882039075152025,0.0007493361294527004,0.00022503255552664943,0.0004803665244707487,0.0007943961136405317,0.0006297792291600271
2020-09-30,0.0035008177074121074,0.0011915750143396211,0.0030321797410570103,0.03143876483442389,0.0006872240491516814,0.005074001184983484,0.0014880416180351067,0.0003071987708639228,0.0003606312627238024,0.0003829556927273674,0.00034997521021613403,0.0004435962429620768,0.0008622268771919022,0.0020589776884638194,0.00011691211894127487,0.0011769229421415774,0.0012419629197687383,0.002140587827740405,0.0002831465380609001,0.1136057133003991,0.0008149368384560857,0.0003017946299493196,0.0006083083688663208,7.535351416136856e-05,0.0004018854088606324,0.010236082255408922,8.44872734536557e-05,0.00182675185845742,0.0002383911175286933,0.008002664987394574,0.0015851639251764262,0.004918529378896603,0.002799268879103689,0.0037274871671823654,0.0024387137310406554,0.7884167856757444,0.000982792499850092,7.611466076905917e-21,0.0005023567610757905,0.000663719841906196,0.00018610034558034965,0.00029890227284009533,0.0006146411086423067,0.0005314706188199557
2020-12-31,0.004118446109507868,0.001072281611642235,0.002653100740093015,0.035388846222933326,0.0006575952774764361,0.0062283919772640065,0.001431832145447024,0.0005008227514178518,0.0004395292942771141,0.00044299032205330594,0.0003254356996918149,0.00041249222657762014,0.0008017693793190257,0.0019146065925105015,0.00015217197788982211,0.0012288771935404822,0.0011548791456875477,0.002537485425728818,0.00027235245159071416,0.10975789643572957,0.0007577952165920737,0.0003583473135144974,0.0005656550917653295,6.072723582765925e-05,0.0005209236080321352,0.00851349840822095,0.0001231531355945537,0.0016986639392352237,0.0002216756440701967,0.008264000064379365,0.0024422540786354432,0.004691497467175284,0.002534618930331358,0.0036763334304898325,0.0024651860418151185,0.7880562493595064,0.0008289480023467892,7.077766413480099e-21,0.0004671325832896865,0.0007542067890204394,0.00026718568210887375,0.00023979472608870578,0.000571543793421345,0.00042880647816069176
2021-03-31,0.004534386358548154,0.0012706346236597485,0.00231167437720276,0.04106938520971264,0.0007922146281601374,0.00692003132045454,0.0014639855547234843,0.00043223143845851417,0.00046503070561804794,0.000380246846535801,0.0005980249943745139,0.0004364249520679523,0.0008482878958520528,0.0020256917258734,0.00016219911567933847,0.0012149956841630964,0.0012218850279500303,0.0024360869398941977,0.00029025104911039516,0.11079707768114784,0.0006824643862674142,0.00031975541271965616,0.0005286073673039937,8.649121819466109e-05,0.0011142764733649846,0.009679258437624582,0.00011906583283940357,0.0017972201183306202,0.00029534317277899857,0.007531879932905879,0.002198449509747931,0.005347853114607551,0.003060590977345449,0.004576621031328924,0.002847470624980076,0.775863130125873,0.0008249240343137546,7.488417159710918e-21,0.0004942355325409205,0.0009165822603486164,0.00024936429141837356,0.0003517309539916218,0.0006395707327765902,0.0008043683292103483
2021-06-30,0.00472659515347202,0.000875404835339187,0.0027798634195109373,0.04183683415159916,0.0007751942260156607,0.00695028890329424,0.0013595958986298536,0.0004399874527933412,0.0004508925859356403,0.0003891099638483805,0.0004767056034025276,0.00045921326555866624,0.0014318502851290468,0.002131465004568888,0.00014876366598743339,0.0013513224955955948,0.0012161902460360353,0.0034526486748253974,0.0003388155528315485,0.10772415150539295,0.0007223074820480944,0.00030280655105387,0.00077722711933265,7.800637146586814e-05,0.0007186041492613309,0.012833781581056773,0.00015128508405501704,0.0018910635506877128,0.00026049400410723246,0.011670887809424288,0.0021373745781647874,0.006428434157619043,0.0037224010108995384,0.004677782075569893,0.0028791442559220424,0.7669563907350178,0.0007734449922312744,7.879431461198803e-21,0.000520042476439121,0.0009127533404652693,0.0004514914227266914,0.00039436554463300014,0.0006729664822380675,0.0007520523358141197
