,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_payable,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,debt_on_equity,debt_on_asset,debt_on_ebitda,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2018-09-30,11.974858056062708,0.9809197293127845,-14.638236052350276,0.08594212058624551,0.031233118150089945,2654679.101948379,1803.0490715532242,21213.952462519585,0.3486623830018713,0.5578605207199216,1.2758581575309655,1.2758581575309655,0.04660696463675314,-2783.767252309962,0.029844376808454542,0.0,-0.6980336075830489,2.962724917478295,1820.4713242696102,0.15514799992244616,0.14716736011463277,0.0,0.31302654217528997,0.0,1.2375223678177185,-1.8832559640429278,1.9298078812639137,-0.020672241753043635,0.025361511457441952
2018-12-31,16.89686432813442,0.9484128144779552,-15.488078063184304,0.08662490167590124,0.03137070246580705,-2201443.424844477,1743.3943264568989,21334.019193086584,0.3581093658192982,0.5979799226609804,1.3035568012585481,1.2941544770332334,-0.003190870887895589,-3021.9775786441346,0.016906546768646412,0.0,-0.2500871581402588,2.8567084942502565,1912.5739767463735,0.08464242620423293,0.08575844159440359,0.0,-0.16062235999099553,0.0,-0.8606135448484602,-1.2093039352261914,1.8172270558250943,0.08234611541465972,0.011463135030278813
2019-03-31,15.143997068673851,0.980251771569406,-15.555512399127899,0.09138134142892394,0.03162811706826242,-598346.6873802255,1908.0246486097747,22112.41055492636,0.33918576233059206,0.5472386086046406,1.2981363629094014,1.2981363629094014,0.09179104794493544,-3038.8844691023146,0.01719157623050268,0.0,-0.06829058869155202,3.035131745285926,2247.8611299696286,0.14209742533320013,0.12178092968533122,0.0,-0.08631151499751091,0.0,1.2815012951189169,-2.055337722910604,1.99952767860004,-0.008110627359325452,0.02445617895120664
2019-06-30,9.310534351994074,0.9654148300995936,-13.950262736901974,0.10361309341390416,0.03475022452606149,-301828.82239296363,2210.406461805932,21786.254130732374,0.3344881059340836,0.5196725073839906,1.2871574082717077,1.2871574082717077,0.0681648534656126,-3073.025441184217,0.015995380733950713,0.0,-0.08058748778553707,3.0682830171112205,2310.0790893238486,0.09649915646131255,0.09646210761308832,0.0,-0.1727902316946304,0.0,1.3029131669712666,-1.6910200040028687,2.031254691516828,0.03076855323173716,0.00503966817443015
2019-09-30,13.131101665300687,0.9600288494441268,-13.204980807990207,0.10418452931915234,0.03561578747519672,-1047885.1077796174,2204.310340687072,22042.08745912218,0.33924161457873736,0.5553891654928497,1.2876757653654394,1.2876757653654394,0.024480064845280706,-3123.505865149848,0.00653008874526705,0.0,-0.04935533584594872,3.0365164495937833,2232.5198217372094,0.09602228345395894,0.0957505875135916,0.0,-0.15052663750008918,0.0,1.2284539293114778,-1.5462615615956932,2.0023992402842525,0.025667135951280583,0.02740352606200002
2019-12-31,9.660851955662844,0.9398298212895521,-13.9061605959681,0.10823284589466184,0.037653575493764746,-1055030.156992294,2324.3951423030317,22211.880994286745,0.34252406841291894,0.5452234528908753,1.3150951613891244,1.3150951613891244,0.4944496208389173,-3137.0192184130033,0.0,0.0,-0.02261436695401739,3.027095924360238,1930.5525395342313,0.06974964144906144,0.08192423400293357,0.0,-0.1731483160082693,0.0,1.3345008142158832,-2.5884212458273907,1.9964799303331044,-0.08082453430614314,0.019521823803411
2020-03-31,10.002788435339657,0.8102064509639979,-12.595377372993994,0.0980615952677309,0.03305861149916713,-637687.2544585424,2020.661531726091,21743.681912748016,0.32980085045626534,0.4930255339541425,1.237367042428033,1.237367042428033,-0.1188102318553374,-3175.7185683315197,0.01699967458109907,0.0,-0.050999023743297206,3.145649775703879,1493.5889387461182,0.07158360225826658,0.077565394425927,0.0,-0.2083751156690531,0.0,0.7351614883619241,-0.9059176086289435,2.1144230174131518,0.03877191724274591,-0.034862612698215334
2020-06-30,8.246823803446325,0.8501647101149246,-14.278796802143583,0.11454989845108512,0.037252257551217374,-3960904.2652006475,2390.0138225396545,21746.341661312887,0.32352825882263503,0.5052543487850842,1.231611944292842,1.231611944292842,0.23410778801359103,-3026.1626106242784,0.0095522727474706,0.0,-0.05296926026769732,3.175981127400634,1622.7508853818658,0.10877647591009383,0.1157626546940444,0.0,-0.16713447417213662,0.0,0.8223244998204622,-3.531382002480436,2.132621924720496,-0.0512301872467068,0.0006066195534495025
2020-09-30,8.589888685070218,0.9446490289029708,-15.59618696931491,0.11749089375369881,0.038673408422885025,-2413520.312664464,2502.9147705483324,21648.425315053955,0.32433172970562196,0.49756389979497806,1.214241035805967,1.214241035805967,0.05033687257933181,-3292.335614116883,0.00923543733494145,0.0,-0.03475198301726713,3.181660185510801,1324.7070406827625,0.10263169114795762,0.0903472351180175,0.0,-0.10222183978332708,0.0,0.7727164161035739,-1.7309961725311676,2.1504752812270342,0.060857713827364074,0.005045997216186388
2020-12-31,8.47144609915158,0.9823628104779474,-11.25071742294444,0.1155578536696489,0.03852238194854631,-661660.387540325,2433.821989147214,20027.79745313815,0.3052855138268152,0.47215135874258707,1.1233728215228422,1.1233728215228422,0.09788153206768732,-3440.8647837817334,0.0,0.0,-0.00886718510381411,2.8939927984164417,1358.0549044477134,0.08743175307537553,0.07947267763226343,0.0,-0.053169373820660414,0.0,0.7004057238727687,-1.1832705091962377,1.939502969918557,0.18642936567562868,0.023211228884598298
