,VNX_capital,TPH_capital,STC_capital,SGD_capital,SED_capital,SAP_capital,QST_capital,PNC_capital,HTP_capital,HEV_capital,DST_capital,LBE_capital,IN4_capital,ALT_capital,DAE_capital,EBS_capital,ADC_capital,DAD_capital,BST_capital,EID_capital,BDB_capital,FOC_capital,FHS_capital,BED_capital,ODE_capital,ADG_capital,IBD_capital,ECI_capital,IHK_capital,NBE_capital,VNB_capital,SMN_capital,STH_capital,VEF_capital,CAB_capital,VNZ_capital,YEG_capital,VPR_capital,EPH_capital
2016-09-30,4.384621427523121e-06,0.0009207704997798556,0.0045992851849122746,0.0011253861663976011,0.007368173616393126,0.0007995844353247026,0.0007541548855339769,0.008471088597974671,0.0595935821321805,0.00043846214275231217,0.04339472006323599,0.0006820522220591521,0.0014966174472612255,0.002179887619716912,0.0009372128301330672,0.002411541785137717,0.0016369253329419652,0.002515859236600871,0.0005017346658522639,0.007645683614243442,0.00024450354210424076,6.089751982671003e-20,6.089751982671003e-20,0.0036501973384129986,6.089751982671003e-20,6.089751982671003e-20,6.089751982671003e-20,0.0009163858783523324,0.0006304720227659289,6.089751982671003e-20,0.08269883192467221,0.0014388865984655047,6.089751982671003e-20,0.7629436155953677,6.089751982671003e-20,6.089751982671003e-20,6.089751982671003e-20,6.089751982671003e-20,6.089751982671003e-20
2016-12-31,6.081471959473072e-06,0.0010873165074207897,0.010721888459216004,0.0017838984414454346,0.007517459525903651,0.0011090239837205755,0.0010352016713236385,0.012269369678236922,0.11902200808683736,0.0007002139242226633,0.09491995220300901,0.0010085107666126178,0.004298587096687549,0.003750494436340039,0.001208439157280295,0.003471506910199212,0.0021183793992164534,0.0037832668130105326,0.0008408479632854783,0.010680585128824582,0.0005137999156871486,8.44648883260149e-20,8.44648883260149e-20,0.004670063675545363,8.44648883260149e-20,8.44648883260149e-20,8.44648883260149e-20,0.0010764205368267337,0.0018571294996240896,8.44648883260149e-20,0.1061005694707236,0.00172443516006392,8.44648883260149e-20,0.5980536417923484,8.44648883260149e-20,8.44648883260149e-20,8.44648883260149e-20,0.004670908324428623,8.44648883260149e-20
2017-03-31,4.9748046870951506e-06,0.0007487081054078202,0.0072584473220004535,0.0018185674911714495,0.0073189741123601115,0.0014461480847347433,0.0013089263887823685,0.007178643163478302,0.09736314623231096,0.0005320277234810092,0.05495362721992024,0.0009051380750131454,0.00246833225891371,0.004202258975895,0.0010292318141523521,0.0030677962237086764,0.001981630533692902,0.0029876465926388096,0.0006939161593402306,0.008996105142497064,0.00045678380258869504,6.90945095429882e-20,6.90945095429882e-20,0.004108359537426078,6.90945095429882e-20,6.90945095429882e-20,6.90945095429882e-20,0.0010621208006948144,0.0012696116128524083,6.90945095429882e-20,0.08163239924465884,0.0015079185762661746,6.90945095429882e-20,0.6998776336235994,6.90945095429882e-20,6.90945095429882e-20,6.90945095429882e-20,0.003820926377727248,6.90945095429882e-20
2017-06-30,5.687215920602674e-06,0.0008874426509440423,0.009900732015779179,0.002078993375420311,0.008785800728011033,0.0013451845434425493,0.0013775700785459812,0.010885331272033519,0.11130592458609508,0.0006026869093638667,0.07147092651777379,0.0012796235821356016,0.004236027991528891,0.003818017621364596,0.0012126408168485034,0.003823072924405131,0.0022812054970417395,0.004540373032391143,0.0007637457046709342,0.012713297255847229,0.00045616211029833955,7.898911000837048e-20,7.898911000837048e-20,0.005514229769684343,7.898911000837048e-20,7.898911000837048e-20,7.898911000837048e-20,0.0011274905562594802,0.0020237009984144516,7.898911000837048e-20,0.07615972008787066,0.0020609838583384027,7.898911000837048e-20,0.6540314106515077,7.898911000837048e-20,7.898911000837048e-20,7.898911000837048e-20,0.005312017648062915,7.898911000837048e-20
2017-09-30,9.644724868879236e-06,0.0008208976053171075,0.008392006627387306,0.002332269831928979,0.00785519000911719,0.0008833691186723483,0.0011854243657022478,0.013659560793842692,0.029579932776267668,0.0005487263921612353,0.0766989438587872,0.001123756579419414,0.0037877464939598455,0.003839915687568783,0.001128652007951345,0.0038067436793076375,0.002148143266250375,0.003640152977026996,0.0006791493761835795,0.009644724868879235,0.00046375052077860993,7.306609749150936e-20,7.306609749150936e-20,0.004905657785579939,7.306609749150936e-20,7.306609749150936e-20,7.306609749150936e-20,0.0011481606559815782,0.0020698894758369685,0.0014613219498301872,0.07541005789903697,0.0016813970354746135,7.306609749150936e-20,0.7364551164461702,7.306609749150936e-20,7.306609749150936e-20,7.306609749150936e-20,0.004639697190710845,7.306609749150936e-20
2017-12-31,9.452361672563892e-06,0.0006436198993409415,0.007771559906060712,0.0021826362407556623,0.007964903667544975,0.0005585486442878664,0.0011617811801187619,0.014856534632450649,0.06264724559613039,0.0005778830204362925,0.015910043306138225,0.0010254380238720827,0.004418549429120321,0.004032721211758396,0.001164645532140751,0.003802427309190474,0.0020422829916781986,0.0037358311246792294,0.0006419728969282978,0.009323465831574384,0.0004592272379253958,7.160880054972646e-20,7.160880054972646e-20,0.004554319714962602,7.160880054972646e-20,7.160880054972646e-20,7.160880054972646e-20,0.0011639294441352537,0.001136861317527457,0.0010848733283283557,0.08752027603187568,0.0017329329733033803,7.160880054972646e-20,0.7527846514269773,7.160880054972646e-20,7.160880054972646e-20,7.160880054972646e-20,0.004013673270812168,0.001077712448273383
2018-03-31,1.5483940229238014e-05,0.0008291649992756956,0.009713333771471494,0.002508398317136558,0.009104040723450979,0.0007268849718725625,0.001373597542113737,0.01373115819528827,0.03553564282610124,0.0006873149023978429,0.009140686048660175,0.0011492524525701104,0.00546376637555712,0.004231502798980262,0.0014154041807326794,0.004524751422543997,0.002924744265522736,0.004463503836748345,0.0008402618231066498,0.011419405919063036,0.00023182899398775807,8.602189016243342e-20,8.602189016243342e-20,0.004485181353069278,8.602189016243342e-20,8.602189016243342e-20,8.602189016243342e-20,0.0013223284955769263,0.001884137460227779,0.0011397900446522427,0.10805639732754074,0.0022936876792911246,8.602189016243342e-20,0.7523904623057238,8.602189016243342e-20,8.602189016243342e-20,8.602189016243342e-20,0.007393581459461152,0.0010043055676464102
2018-06-30,4.927691600968674e-06,0.0003501124882488243,0.002237664755999875,0.0007468190381912525,0.002897318404982882,0.00023132774460102946,0.00043714099713482114,0.003630723171593719,0.010303803137625496,0.00022640005300006075,0.00238007504326787,0.00044349224408718067,0.0011997286484491734,0.001438721691096154,0.00042859966502647534,0.0015357972156352369,0.0009734928518358115,0.001332995330190926,0.00026740939754590014,0.00360542768804208,9.064214939337379e-05,2.7376064449825973e-20,2.7376064449825973e-20,0.001957936129451553,2.7376064449825973e-20,2.7376064449825973e-20,2.7376064449825973e-20,0.00044447778240737444,0.0004305981177313127,0.0004914003568743761,0.03513197726910616,0.0007082735394458975,2.7376064449825973e-20,0.22895478733451852,2.7376064449825973e-20,2.7376064449825973e-20,0.6947464784799495,0.00208742491429923,0.0002840266686669444
2018-09-30,7.359163048841861e-06,0.0004819283486063941,0.0028277584015174856,0.0008546957786549672,0.003491051386840733,0.00038603328975503803,0.0005153996296662582,0.0037334196119887747,0.01866709805994387,0.0002737092221674517,0.003221893226032433,0.0005228879008387639,0.0016496144960535524,0.001617176079982999,0.0005470311199639118,0.0017365042632793517,0.0011658463566849475,0.0016095587006868296,0.0006966028812285312,0.004129846105698756,0.00016900253387603503,3.2277030915973086e-20,3.2277030915973086e-20,0.0024304604279727733,3.2277030915973086e-20,3.2277030915973086e-20,3.2277030915973086e-20,0.0003544017994573844,0.0006073246137149495,0.0006923423131476225,0.03835318198590501,0.0007938858524092738,3.2277030915973086e-20,0.3371600550826899,3.2277030915973086e-20,3.2277030915973086e-20,0.5700782111191531,0.0010247957315821453,0.00020092451745193243
2018-12-31,8.603506129496245e-06,0.0004281965000650281,0.001807940778052341,0.0008052881737208485,0.0031231587600684322,0.000249788461293041,0.0005093275628661778,0.005094996329887676,0.013163364378129254,0.00023114753134579913,0.0019392302815884536,0.00033668387320095306,0.0014722319688793973,0.001413986232382708,0.0005034771786981203,0.001709229884393254,0.0010083309183769598,0.0014543653544838104,0.0009037983189035806,0.0038629742521438144,0.00023186449018992384,0.035950954852958183,0.00730862110029953,0.001241485934486308,2.8678353764987486e-20,2.8678353764987486e-20,2.8678353764987486e-20,0.0006545547463320744,0.0005046816695562498,0.0004287413887865629,0.03368760181711785,0.0007419663686077561,2.8678353764987486e-20,0.3411359008394297,2.8678353764987486e-20,2.8678353764987486e-20,0.5361423972035163,0.0017034942136402566,0.00024161513047001956
