,VMD_capital,TRA_capital,SPM_capital,OPC_capital,NDC_capital,LDP_capital,MKV_capital,PPP_capital,PMC_capital,DCL_capital,MTP_capital,IMP_capital,DBM_capital,DMC_capital,DBT_capital,DDN_capital,DPP_capital,APC_capital,FIT_capital,DHG_capital,BIO_capital,DP3_capital,BCP_capital,AGP_capital,DHD_capital,MKP_capital,DAN_capital,DBD_capital,DHN_capital,DPH_capital,CDP_capital,GPC_capital,AMP_capital,DP1_capital,DTP_capital,TW3_capital,CNC_capital,DP2_capital,MED_capital,NDP_capital,HDP_capital,NTF_capital,PBC_capital,VHE_capital,DTG_capital,UPH_capital,DVM_capital,VDP_capital,DVN_capital
2017-09-30,0.006908533617487623,0.10268306509268642,0.004996391949246289,0.029469189361579554,0.0031207621405411608,0.009164448914426164,0.0016252230159408219,0.0017657046218392685,0.012389292117974494,0.04335282395022142,0.0014151128486402534,0.06839962564212311,0.0008195687982783768,0.07983209553862369,0.005414330292626415,0.0032913270697312513,0.0005518522672278511,0.024921013883133662,0.07765947292125211,0.29861997972367305,2.782916123186339e-20,0.008221012519504764,0.000874948829129785,0.00537425630045253,0.005885366675636933,2.782916123186339e-20,2.782916123186339e-20,0.060796253526998315,2.782916123186339e-20,0.0015553718212488448,2.782916123186339e-20,2.782916123186339e-20,0.006077888813038964,2.782916123186339e-20,2.782916123186339e-20,0.0005942082506227471,0.005352048629789503,0.006178073793473672,2.782916123186339e-20,0.007447667958032512,0.002201314482601626,2.782916123186339e-20,2.782916123186339e-20,2.782916123186339e-20,0.0026368686850415197,0.009005210453857443,2.782916123186339e-20,0.012294339019851375,0.08910535647346643
2017-12-31,0.0064085931629935585,0.09471038025076518,0.00417910637354625,0.02973629705658,0.0028489749825495844,0.008130782534467352,0.0013350600618243324,0.0016789999879323785,0.010188019900143607,0.04126491542184913,0.0013071139901210639,0.06588565864762609,0.0007317805903099537,0.07929735954082065,0.004678172403127167,0.0027131570740716988,0.0002911472561085985,0.0417095120171284,0.0674419753807811,0.29838025838683846,2.5405519730244198e-20,0.009924793310218546,0.0006158297982611193,0.005223120801340905,0.005805186663880528,2.5405519730244198e-20,2.5405519730244198e-20,0.06061411492567933,2.5405519730244198e-20,0.0013170221428158591,2.5405519730244198e-20,2.5405519730244198e-20,0.006275163373370316,2.5405519730244198e-20,2.5405519730244198e-20,0.0006145849277943373,0.004700580071529242,0.006097324735258607,2.5405519730244198e-20,0.006285808286137288,0.002190692560819227,2.5405519730244198e-20,2.5405519730244198e-20,2.5405519730244198e-20,0.0028084277730601147,0.006906541349706346,2.5405519730244198e-20,0.011852462525270556,0.10585108173527323
2018-03-31,0.00572572685303119,0.08498644208123651,0.004692121615925559,0.029790510655787278,0.004060707468891685,0.007288096983876657,0.0015478214177801707,0.0016762272816120297,0.010716501217713814,0.03768332220401687,0.0013700038136487673,0.06671716507010256,0.0010002509653003761,0.07274375392091185,0.005086391739995099,0.0030833572556385356,0.0005148627901441089,0.02058804551106867,0.05631928066851874,0.30540472566448207,2.6942061232030823e-20,0.009853115923472152,0.001134799619093138,0.006671716507010257,0.006953072452456354,0.03883951381972824,2.6942061232030823e-20,0.058933926884903634,2.6942061232030823e-20,0.0014395143316274066,2.6942061232030823e-20,2.6942061232030823e-20,0.006514590405905052,2.6942061232030823e-20,2.6942061232030823e-20,0.0006210683955207745,0.005995363001841354,0.006088905838438965,2.6942061232030823e-20,0.006779619462244539,0.002507228218252788,2.6942061232030823e-20,2.6942061232030823e-20,2.6942061232030823e-20,0.002552814185857384,0.00871815465201162,2.6942061232030823e-20,0.012343047338413977,0.10305823378353966
2018-06-30,0.005880393957050567,0.07806016563635176,0.004904733018759283,0.03045406023100849,0.003967894381954277,0.008468152483428908,0.002291973902300185,0.0013873960512372971,0.011698726911020956,0.03281972967587966,0.0015446901647709,0.07208979385692062,0.0007353150467737347,0.07422939478249532,0.00458230742566433,0.003825090282355693,0.0007846479244057492,0.01801439845648848,0.042333623731033984,0.31782448206629904,3.037738770444248e-20,0.011246620249815738,0.0015328429835661675,0.00844868057791036,0.006678529441597087,0.044806343090175615,3.037738770444248e-20,0.05754886742010891,0.0009434912847122789,0.0017388016722022874,3.037738770444248e-20,3.037738770444248e-20,0.007305761742918416,0.005760464030393427,3.037738770444248e-20,0.0005107350194747914,0.005921767959104017,0.006440006193341806,3.037738770444248e-20,0.0074518769777767845,0.0021893590866345785,3.037738770444248e-20,3.037738770444248e-20,3.037738770444248e-20,0.0021306699735895956,0.009829788509892837,3.037738770444248e-20,0.012473502184422761,0.0911449216161633
2018-09-30,0.006586784735284313,0.08760898263208958,0.005226686685865502,0.02881146274047424,0.005270395055041864,0.007082660113111576,0.0020599760438237157,0.0012927520974651899,0.011862922937036766,0.030892083885368123,0.0017410802659463833,0.07103486576709442,0.0007644128271791336,0.06902678963328165,0.004486546210310588,0.003181824186017016,0.0008641924445035953,0.02111331866251544,0.039452878826345045,0.3132099417254994,0.0022771878978357072,0.012945657227422172,0.001525258857980113,0.009433299834666897,0.007733388862509037,0.03481120720067272,3.0227087950458045e-20,0.05072854989868031,0.0012149475730807106,0.0015261656706186265,0.004819165086117427,3.0227087950458045e-20,0.00726961465208516,0.00443068655177814,3.0227087950458045e-20,0.0005313317519931515,0.004713974820049833,0.00556178418288428,3.0227087950458045e-20,0.006421865743426613,0.0020318950791177403,3.0227087950458045e-20,3.0227087950458045e-20,3.0227087950458045e-20,0.0026507947049033685,0.009897739041025685,3.0227087950458045e-20,0.01381462555182194,0.10409030233707682
2018-12-31,0.007664483628672871,0.07651092005502705,0.004968665127409768,0.03409707285900747,0.0071541780287808715,0.008960080791832102,0.002310478782397007,0.0015484106669058856,0.011785781086424084,0.02314038580961228,0.001576482221298031,0.09329994716919905,0.0010383762897616365,0.06991515576102036,0.0050258253214981235,0.003179713786092926,0.0007617968927433711,0.02115079744064723,0.027310876293236686,0.2775198957989326,0.002554104615563623,0.015620565614020674,0.0012489807533896658,0.007400821215016208,0.009279174354560212,0.041283119560649,3.390284346877486e-20,0.0616256054073137,0.0013755061652151338,0.0016670028133596601,0.006151806558783075,3.390284346877486e-20,0.008374002336787392,0.005019315975552118,3.390284346877486e-20,0.0006218798577477372,0.005032131250383315,0.006780568693754973,3.390284346877486e-20,0.006092646096930062,0.0023393979078758717,3.390284346877486e-20,3.390284346877486e-20,3.390284346877486e-20,0.0029873829550945657,0.0088828840172537,3.390284346877486e-20,0.01409344593281318,0.11265033410743698
2019-03-31,0.005849962007639201,0.06786400133462785,0.004933356442415699,0.02836593239384993,0.0057634707842605685,0.007769356663063427,0.0017161179024188788,0.0016123396233972973,0.011037952863514056,0.04043156994549711,0.001548282410739771,0.06702901976352428,0.001166065051022549,0.05577346818504826,0.004110291191221355,0.003141376897757864,0.000716657549469791,0.01767377658835873,0.029854745095371407,0.3487839703231046,0.0021073424335228794,0.012515352751601348,0.0015105194251119718,0.009763577975194587,0.0068912413705983335,0.03399113470554886,2.7972581946518e-20,0.05582074184853787,0.0012335908638414436,0.001356949950225588,0.004261175298240871,2.7972581946518e-20,0.005891025757936689,0.004705268009223792,2.7972581946518e-20,0.0005131010706449795,0.0045569014345794604,0.004867229258694131,2.7972581946518e-20,0.006060875275515947,0.0017474192216170327,2.7972581946518e-20,2.7972581946518e-20,0.020295562776460028,0.0018210150847183216,0.00732909619580718,2.7972581946518e-20,0.012419518685852579,0.09519964759022362
2019-06-30,0.00616300758438575,0.0666919210544503,0.004980287552827492,0.029584377828668355,0.007024856743333943,0.00737791594308687,0.001738943853046381,0.0017949235524252717,0.011674983175569342,0.04010439261088217,0.0015900616738472046,0.06630735838557883,0.00264489191347337,0.058564174904044704,0.004414118401768865,0.005015929946527775,0.0009013327128718143,0.015821113654779687,0.030767872047558452,0.34208747643902293,0.0022432375704298318,0.011478667134077308,0.0021439033804681413,0.006527560488372854,0.007468555413783329,0.037689791652194084,2.9776435839835295e-20,0.05978274576435411,0.0014088125088901273,0.001564156174666548,0.0037068089448294163,2.9776435839835295e-20,0.005341892589666452,0.004327111656244865,2.9776435839835295e-20,0.0007511999233673648,0.004433234873578038,0.004406912504295623,2.9776435839835295e-20,0.004584290732593523,0.0016124833300346006,2.9776435839835295e-20,2.9776435839835295e-20,0.019712000525970965,0.002336140050250118,0.007801723954395245,2.9776435839835295e-20,0.01368763202685549,0.09174119882253254
2019-09-30,0.008925487541427303,0.06609545669532403,0.00485772761073081,0.03230861863766402,0.0067029080508903185,0.007539768503297117,0.001830573466947225,0.0038369321394191086,0.012409689488662215,0.03912850785599694,0.0019136388725535633,0.07380784451510193,0.0022417002065444817,0.06289004105656563,0.00453010511284498,0.003136487024823172,0.0009177943683598416,0.013723031914888613,0.03366763136425588,0.3113604856486331,0.0023614397723619204,0.012804610637807216,0.0024449440140733485,0.010368819491068606,0.006821393799264642,0.031420226288345225,3.134543607786345e-20,0.08399849654750395,0.0014119551681273587,0.0017133415360160156,0.0033202339711116075,3.134543607786345e-20,0.005704869366171147,0.00886010096176888,3.134543607786345e-20,0.0005509900753766835,0.0048526496500861955,0.003259925352097798,3.134543607786345e-20,0.005410378994219619,0.0018619189030250887,0.004034157623221024,3.134543607786345e-20,0.008476652242228377,0.002709374112826204,0.008337885996711676,3.134543607786345e-20,0.014990766731621726,0.08246043869003536
2019-12-31,0.007856814842843719,0.05656006233667491,0.004481725352675646,0.027062476350613162,0.007293004577988352,0.006218456381204135,0.0016210377839480847,0.0032243107702638616,0.009342257257363956,0.05673632243818296,0.0016550407169161738,0.06270918049212044,0.0011333663314449355,0.05647154368097268,0.004424600425289257,0.00277747059481872,0.000896844705468538,0.011185577071686291,0.08802643202033716,0.2689728593862974,0.0020911387412930293,0.012812999079783486,0.0020818122225360674,0.005943906985296079,0.006040586344910653,0.03147550189994512,2.7757496300480903e-20,0.07100611819630458,0.0012870595884606985,0.0014980720753369542,0.0031725707971597653,2.7757496300480903e-20,0.004294084677684396,0.006178818676487049,2.7757496300480903e-20,0.00048792126996985327,0.004930064432921014,0.00277574963004809,2.7757496300480903e-20,0.007718110633830217,0.0017422270127959842,0.007955853589643836,0.059407620609652344,0.00436417235584311,0.002832930072427081,0.008491018118317109,2.7757496300480903e-20,0.012305619804906997,0.06045665966733641
2020-03-31,0.007934134787732881,0.057859346345762924,0.00533235682162567,0.035944936934665585,0.006318094692290052,0.007073840762021689,0.0018001294517449697,0.0038464878378218687,0.008690771501912576,0.04501180018254786,0.002042487508283422,0.0683686082772727,0.0019200238966756529,0.04074753158747611,0.004587504018604879,0.0035691891144750453,0.0011756506714345836,0.008861912258162201,0.05251201984629875,0.2865856442844863,0.002580676543799411,0.013463118499044873,0.0027130400110028847,0.009036684103315444,0.007712741131279451,0.02830529715923815,3.4255555694480875e-20,0.07765707071494257,0.0015883616064416891,0.0021313806753106,0.004114777350021042,3.4255555694480875e-20,0.004542286685088164,0.005870032023806242,3.4255555694480875e-20,0.0004711166574661954,0.00504933742047787,0.0027404444555584697,0.011218146401051374,0.007669373597770239,0.0022619971091736553,0.006011850024381393,0.05965334405303857,0.003877797415726624,0.002572455210432736,0.007972980587890423,3.4255555694480875e-20,0.014436901180771882,0.06616631860167453
2020-06-30,0.006678137901996103,0.0535878765045198,0.004109798198916974,0.03433598515307553,0.00585335928347244,0.005983680215961053,0.0013839139581760746,0.002815796022335747,0.009730762239063667,0.04262994916545869,0.0016943710422227605,0.07557761570607648,0.0014561787055198477,0.03990642354604281,0.003958903268364305,0.0031391260637346663,0.0010485918902812558,0.010179013959315603,0.07987976942004259,0.2842414626930472,0.0021408324836376335,0.013062499571967066,0.0022165357030335484,0.0065052765342838844,0.006112779212100558,0.02961368425488695,2.8417124397866005e-20,0.06503315752700431,0.001317645224080251,0.0016231861456061062,0.003941000479993649,2.8417124397866005e-20,0.003768110695157032,0.004654724976370451,0.007908940393916474,0.00043429891217258617,0.004072117091965403,0.0017050274638719604,0.009094730160790628,0.007254891858775191,0.002064958761495331,0.004987205331825484,0.06561667475939008,0.004232730679062142,0.001692410260639308,0.006614085703603313,2.8417124397866005e-20,0.013709642745879668,0.06243213813086763
2020-09-30,0.0070407218067904545,0.05399097576997929,0.00419638079271392,0.03206125885957672,0.00646062419638557,0.00421235457194106,0.001549615792134538,0.002435444107282131,0.010078127966476082,0.03757818295926254,0.0014448044500295478,0.07931538611131905,0.001135358912908435,0.04498773455219461,0.005364801713790157,0.0034751726209636337,0.0009902681740147424,0.011009569116327087,0.07350552094407903,0.30928171301322505,0.001999004371853554,0.013880073164154384,0.001830881672213752,0.005872035540544332,0.005907697931377017,0.022214087328969456,2.6534516988605104e-20,0.06015353773703185,0.0013473697036473899,0.0016915754580235753,0.0039889870079309825,2.6534516988605104e-20,0.0035184769526890366,0.0076562695318921166,0.010720687829872143,0.00044612483412941756,0.004888294857708787,0.0012205877814758348,0.00882782152597301,0.006252938531915758,0.0018703650334927966,0.004656807731500195,0.03980421665847061,0.0032935969212106084,0.0024696205651634543,0.005258345231631874,2.6534516988605104e-20,0.013206016829092851,0.07691056283664179
2020-12-31,0.006230986532033278,0.059224659433241,0.004054075338338374,0.031020856173801015,0.0066991575418548594,0.0035560836272333,0.0030100707868313367,0.0017412676154767574,0.008947120406448225,0.04292500945313897,0.001391282718331926,0.08178619000523496,0.0011739742746283582,0.04073528795818849,0.004248959921374151,0.0030559918667420667,0.0008610202483261732,0.01128356535184519,0.11254353664883684,0.2681329989276914,0.0017578813395095006,0.01379615777297696,0.0012600296316968387,0.005659633095704967,0.005898198705972902,0.02026661993667884,2.3333882068459978e-20,0.05503809431251791,0.0011510370685550622,0.0016366384882817828,0.003507829159115725,2.3333882068459978e-20,0.0030940727622777928,0.00634564922851769,0.014058150600841628,0.00039231255921701755,0.004593928033874263,0.002800065848215197,0.0077629958931200865,0.007860834860633138,0.0013721722689178574,0.0034118802360502175,0.03955018342181347,0.003089405985864101,0.001201508255469141,0.0034137469466156947,2.3333882068459978e-20,0.010916920062903481,0.08754195869506197
2021-03-31,0.006447806695894165,0.057657514492810834,0.0037322913822324193,0.030349455949766183,0.009150846511997044,0.0028939931883322978,0.004033820935776944,0.0020822572161719,0.010591835532615473,0.04872809655372206,0.0013137251350041033,0.10531299446674855,0.0010552843848363226,0.03699615706338388,0.004234165457460269,0.003173034621738426,0.0009101128661946954,0.01122219342218573,0.0784712709431552,0.25354713267146134,0.0017340481256359023,0.02141826566139322,0.0016848826961419244,0.005550997958092502,0.005728324956604488,0.020230607500798536,2.3017523171337772e-20,0.05317158336690247,0.001928638266526392,0.0019244951123555509,0.0035440540777372195,2.3017523171337772e-20,0.003052123572519388,0.006834823330497037,0.028823923566539435,0.00039051529812491665,0.00440831603777461,0.004005049031812772,0.008325622271258243,0.005886593445930606,0.0017546257913510783,0.003365622238113009,0.03314622312022276,0.005714100127284601,0.0011581496958890313,0.004224636202867334,2.3017523171337772e-20,0.012752789660510178,0.0873369993956289
2021-06-30,0.007248589989668448,0.05686317483624095,0.0036375864339849183,0.026718861511414668,0.012130572171661011,0.0033295664771532357,0.003264938378530595,0.0016972395509981144,0.009365282159368665,0.06824564628139271,0.0012651255154903802,0.10290744337664015,0.0008722964216925719,0.030810998905712164,0.004384955521641838,0.003476382006854481,0.0009041836816733656,0.008897541376412663,0.1014769065106184,0.22336452499444975,0.009333272959579149,0.017298889347834204,0.0011584281828586611,0.005333159474263832,0.005233595620442348,0.019641657922904943,2.0323301453660724e-20,0.048355475028312396,0.002645240270605572,0.0020552954760087085,0.00436093337932361,2.0323301453660724e-20,0.003830942324015046,0.010033817160686836,0.015793522085860098,0.00037348131081392304,0.004872348937103529,0.003007848615141787,0.006590033729364025,0.005405103961409791,0.001682037721510776,0.0035667394051174567,0.05144075542199263,0.007870604953959187,0.0017771507723139083,0.004027468649071946,2.0323301453660724e-20,0.01113430361110111,0.08231607757680563
2021-09-30,0.012460181713410828,0.06593017909309118,0.005294302044283303,0.026052413645724262,0.013968168436992508,0.0034478515865854135,0.002864457421926097,0.00193043226713492,0.008107018903576062,0.05178812194023978,0.0013792199001456682,0.0917958035609595,0.0008987321857946335,0.03500028109532016,0.0045262192378228705,0.004368976279379539,0.0008863865823780998,0.009207977225591767,0.0787390101588463,0.227609251704045,0.011375591719520413,0.01665011701868381,0.0013792199001456682,0.007379064262313834,0.005467952963607677,0.022982083874047977,1.9816377875656152e-20,0.051879118747444795,0.002970019266869717,0.002201995909542912,0.006163646541688338,1.9816377875656152e-20,0.004327896928043304,0.011169303225834834,0.018346597128618733,0.0007505651284183524,0.005780952652153667,0.0028139256583431735,0.0059170119026479215,0.005067919743431806,0.002552329654006637,0.004717883244636217,0.037786642172038296,0.005378561283010593,0.0019059392240806086,0.0033471843869770806,1.9816377875656152e-20,0.011500355634625547,0.10393313684602014
