,WSS_capital,VND_capital,VIX_capital,VIG_capital,VDS_capital,SSI_capital,SHS_capital,PHS_capital,PSI_capital,OGC_capital,ORS_capital,IVS_capital,APS_capital,HCM_capital,BVS_capital,HAC_capital,HBS_capital,CTS_capital,BSI_capital,APG_capital,AGR_capital,BMS_capital,DSC_capital,DSE_capital,AAS_capital,BCG_capital,TIN_capital,ABW_capital,EVF_capital,ART_capital,IBC_capital,FTS_capital,EVS_capital,SBS_capital,TVB_capital,CSI_capital,TVS_capital,VUA_capital,TCI_capital,MBS_capital,TVC_capital,VCI_capital,VFS_capital
2016-09-30,0.006428760382933417,0.08362054862526067,0.04402413261090611,0.0020849078235248304,0.02127764413193216,0.3750920492106773,0.02830536342605585,2.719326755608231e-20,0.010570023099049192,0.011747491584227556,0.01215212740546206,0.02413745130773511,0.005462039721314691,0.10866429715410489,0.025425433232261395,2.719326755608231e-20,0.0021178116772676897,0.013627063044436408,0.03743226700917131,0.029976444103912214,0.012827771331160481,2.719326755608231e-20,2.719326755608231e-20,2.719326755608231e-20,2.719326755608231e-20,0.06821621519316139,2.719326755608231e-20,2.719326755608231e-20,2.719326755608231e-20,2.719326755608231e-20,2.719326755608231e-20,2.719326755608231e-20,2.719326755608231e-20,0.004783839628465999,0.006706403644681018,2.719326755608231e-20,0.015394924561524874,2.719326755608231e-20,2.719326755608231e-20,0.024543283632742083,0.02538170645803121,2.719326755608231e-20,2.719326755608231e-20
2016-12-31,0.005963240642607345,0.07932461013063848,0.04302650853321841,0.0018651497039733087,0.023180791841931683,0.34946167202827116,0.02488663873748581,2.757057951180057e-20,0.011705916649120286,0.010504390793996017,0.015192492134182585,0.028318293628160605,0.0048970863328860175,0.10381977420963624,0.023349689212020977,0.001932146212186984,0.002529324964412584,0.014267113203448511,0.03524520873644391,0.019110822894399682,0.0135402424451994,2.757057951180057e-20,2.757057951180057e-20,2.757057951180057e-20,2.757057951180057e-20,0.06285314638348297,2.757057951180057e-20,2.757057951180057e-20,2.757057951180057e-20,2.757057951180057e-20,0.041840229208564166,2.757057951180057e-20,2.757057951180057e-20,0.00444603165207296,0.011929955178233177,2.757057951180057e-20,0.01510206063338388,2.757057951180057e-20,2.757057951180057e-20,0.023978960118798312,0.027728503791244162,2.757057951180057e-20,2.757057951180057e-20
2017-03-31,0.004748028484947692,0.07605389402569869,0.0413021841667766,0.0014536707488706654,0.01963698751717226,0.3555145209367496,0.03669567791960699,2.302297670051735e-20,0.008122966639476531,0.009186167703506422,0.01183565186220196,0.018853976079587668,0.004624395100065914,0.10327186428784062,0.019265580857039517,0.0024201753107583835,0.002051347224016096,0.01653558534882227,0.0342085978385569,0.016885235295973026,0.016761924232765058,2.302297670051735e-20,2.302297670051735e-20,2.302297670051735e-20,2.302297670051735e-20,0.04964881902489866,2.302297670051735e-20,2.302297670051735e-20,2.302297670051735e-20,2.302297670051735e-20,0.050914299962219293,0.025001686433043308,2.302297670051735e-20,0.004050202061155012,0.00947181377542974,2.302297670051735e-20,0.011457614584779464,2.302297670051735e-20,2.302297670051735e-20,0.02430558673250317,0.025721545845538388,2.302297670051735e-20,2.302297670051735e-20
2017-06-30,0.003949937616376248,0.08880303372260644,0.03954097708772555,0.0013491787295167573,0.02167193122464202,0.3345714952450892,0.05640845967222325,1.869704447778211e-20,0.004584141365062617,0.011891320287869421,0.009297666277911487,0.014143566265663056,0.005198713217047316,0.11927218613266763,0.019020465953158785,0.0018453235017791832,0.0015116560460286838,0.019016913514708005,0.030742559291459803,0.011245973100674293,0.01421652213321536,1.869704447778211e-20,1.869704447778211e-20,1.869704447778211e-20,1.869704447778211e-20,0.0651702686554015,1.869704447778211e-20,1.869704447778211e-20,1.869704447778211e-20,1.869704447778211e-20,0.031983014707338255,0.020990293074115516,1.869704447778211e-20,0.006578368129062857,0.0065812474739124355,1.869704447778211e-20,0.011740248168488942,1.869704447778211e-20,1.869704447778211e-20,0.0324204881540294,0.016254051252226145,1.869704447778211e-20,1.869704447778211e-20
2017-09-30,0.0035235304520740557,0.07663026287957979,0.03492732753060481,0.0013224846368272776,0.020149563596360612,0.26402361535956265,0.06120415891606175,1.6290769115881714e-20,0.004091589571144851,0.012560182988344801,0.006732649060211594,0.011305793766421908,0.004651340397966546,0.09524235255909085,0.01724299715224323,0.0017695685044435353,0.00122571746827894,0.01661792034126685,0.03049320824802943,0.01038145552678678,0.018387325938019228,1.6290769115881714e-20,1.6290769115881714e-20,1.6290769115881714e-20,1.6290769115881714e-20,0.05147749456311871,1.6290769115881714e-20,1.6290769115881714e-20,1.6290769115881714e-20,0.018564048201388312,0.027744874044334608,0.017192544640291345,1.6290769115881714e-20,0.005254098855254171,0.009003142424199374,1.6290769115881714e-20,0.011208700782491253,1.6290769115881714e-20,1.6290769115881714e-20,0.03475309775491046,0.01170843641589004,0.12061051742480214,1.6290769115881714e-20
2017-12-31,0.0027734864783091648,0.08016073429350278,0.043627893449762416,0.0021137495854071935,0.014604639433593409,0.26749489975548796,0.061653556773785145,1.378472404726225e-20,0.0033797386419077585,0.008353542772640924,0.005465367390258537,0.009566598488800001,0.003512485534482894,0.11840526567636384,0.015237385836810842,0.001360497124568595,0.001073554308800784,0.01467648541532774,0.025279557305241392,0.00881527588932802,0.0164495317611828,1.378472404726225e-20,1.378472404726225e-20,1.378472404726225e-20,1.378472404726225e-20,0.038219939435160735,1.378472404726225e-20,1.378472404726225e-20,1.378472404726225e-20,0.014466061602746284,0.024726927718186645,0.015601964218412832,1.378472404726225e-20,0.0046479332542558845,0.009565206231671229,1.378472404726225e-20,0.010105994740769373,1.378472404726225e-20,1.378472404726225e-20,0.035891561696337664,0.009433189929470596,0.13333697525742663,1.378472404726225e-20
2018-03-31,0.001715296953438233,0.08305993009046592,0.02516096505282552,0.0013570323810091975,0.014891549793464787,0.26350819670125186,0.0491005407839232,1.0029803259491481e-20,0.0024591071631621213,0.006589580741485903,0.004819119870120466,0.006543042454361864,0.0024058489078542214,0.11568776271627854,0.010253989421947635,0.0008903255757385398,0.0006983752009583917,0.012199911671534612,0.018773876009345488,0.007423217869201797,0.010305201597390597,1.0029803259491481e-20,0.09282494654390683,1.0029803259491481e-20,1.0029803259491481e-20,0.027720651083073825,1.0029803259491481e-20,1.0029803259491481e-20,1.0029803259491481e-20,0.007211408483967856,0.020327923815780878,0.01411333735856084,1.0029803259491481e-20,0.0038229598103877733,0.009714305768160916,1.0029803259491481e-20,0.008542383436108894,1.0029803259491481e-20,1.0029803259491481e-20,0.033740759655092316,0.009813660999249438,0.13432479208995152,1.0029803259491481e-20
2018-06-30,0.0018073914379052667,0.06583492610452388,0.0271394248627379,0.0009839016014214486,0.012691907171277253,0.24625564612517872,0.03652511722923865,1.2832941195010417e-20,0.0028394165688080046,0.00773826354059128,0.005303597937073904,0.010954455262884792,0.003174099675173876,0.1079199022735596,0.011072133333643036,0.0010117490838146212,0.0007876859305497394,0.01213652314223959,0.021988064107060404,0.009641337388046544,0.00873492108556057,1.2832941195010417e-20,0.11374790551962641,1.2832941195010417e-20,1.2832941195010417e-20,0.03411257561634147,1.2832941195010417e-20,1.2832941195010417e-20,1.2832941195010417e-20,0.008294225051982717,0.024674563348588665,0.018646584379880007,1.2832941195010417e-20,0.0035744874404582006,0.01129279575749124,1.2832941195010417e-20,0.012429986841487089,1.2832941195010417e-20,1.2832941195010417e-20,0.0352384865450269,0.012221554210597728,0.1312263714272306,1.2832941195010417e-20
2018-09-30,0.0017176049873794095,0.0746197641357029,0.031810114863745784,0.0008445377693989568,0.013356738790140774,0.248549327108171,0.03905507470155224,1.1015231112546717e-20,0.00210787462569694,0.010012845081304964,0.005847765893028801,0.010167278621502872,0.002642223486966581,0.11214386491061562,0.00882782651821719,0.000897388848276956,0.0007960707525037512,0.013136478228814287,0.020298933985587762,0.010172213445041291,0.008589104429546078,0.003516491365138301,0.03377111239778803,1.1015231112546717e-20,1.1015231112546717e-20,0.034419402809685855,1.1015231112546717e-20,1.1015231112546717e-20,0.04951507207463993,0.011207446895460658,0.018915883597558626,0.01920648742476983,0.013778203562969035,0.0038755989146384367,0.01260738363278533,1.1015231112546717e-20,0.010283048700495736,1.1015231112546717e-20,0.005386315831261994,0.03681477496742026,0.01000707310020199,0.1211026735419921,1.1015231112546717e-20
2018-12-31,0.0021249824255926628,0.06838439881557506,0.04600664402722501,0.0008256310113485609,0.013756198358279978,0.2605547130730158,0.038019075892599646,1.4082057160985176e-20,0.002778953160148814,0.014955144704966257,0.007475882505623811,0.012216184587154642,0.0033778630512055143,0.09834908721232045,0.010177412515501529,0.0017722550578243062,0.0008643566685412701,0.013234092006979293,0.019635668453848707,0.014767628031810578,0.009494151102050527,0.004996158978088769,0.019005594970294748,1.4082057160985176e-20,1.4082057160985176e-20,0.0350779255980706,1.4082057160985176e-20,1.4082057160985176e-20,0.03191822177640307,0.003411378347248659,0.024381561112072448,0.02584620771327219,0.014504518875814732,0.0035095302856607254,0.016496355450950278,1.4082057160985176e-20,0.012863818395988349,1.4082057160985176e-20,0.008578958207158099,0.03512515681778854,0.014379836341711368,0.11113445446786499,1.4082057160985176e-20
