,VNR_capital,PVI_capital,PTI_capital,PGI_capital,BIC_capital,ABI_capital,BMI_capital,BHI_capital,BLI_capital,PRE_capital,MIG_capital,AIC_capital
2017-12-31,0.11940850913076238,0.26526094350098567,0.08974401187797379,0.07779927993970495,0.1836903933085242,0.045678874471012314,0.14170912881620473,5.657471126247488e-20,0.016327461670350246,5.657471126247488e-20,0.06038139728448175,5.657471126247488e-20
2018-03-31,0.11735751700515196,0.3180773495046535,0.08491007307051764,0.06502747756092796,0.17261243022716044,0.04553733034014926,0.11830203716778744,5.374531481936226e-20,0.015059437212385302,5.374531481936226e-20,0.06311634791126625,5.374531481936226e-20
2018-06-30,0.14758982258428308,0.2873645301067779,0.10623206792619312,0.07223386091645971,0.15185896813980856,0.04672890935027303,0.0938532144921056,6.203259986814351e-20,0.016897680204082288,6.203259986814351e-20,0.07724094628001664,6.203259986814351e-20
2018-09-30,0.13122077932880616,0.3291703621438145,0.079613498299474,0.07122044048966293,0.14563905765776158,0.05086354745867279,0.10526937069681169,6.116230021869805e-20,0.017394558182197727,6.116230021869805e-20,0.0696083857427987,6.116230021869805e-20
2018-12-31,0.13722181063696465,0.3197721588183134,0.0940232422531489,0.0723858213528234,0.144933522834246,0.04691321976547099,0.09023788034567558,6.180990019060938e-20,0.019470118560041952,6.180990019060938e-20,0.07504222543331521,6.180990019060938e-20
2019-03-31,0.11700845158213669,0.35604066685886204,0.08833646230480692,0.0679785972286887,0.13138957190117226,0.045675512112559026,0.09436689413616457,5.945412433557788e-20,0.015624543875389864,5.945412433557788e-20,0.08357930000021999,5.945412433557788e-20
2019-06-30,0.11679265978724039,0.37028325594392353,0.07692398309083603,0.07049373847508132,0.10353092683174189,0.051687367394480536,0.11021585058616566,5.979787242757777e-20,0.017042393641859662,5.979787242757777e-20,0.08302982424867113,5.979787242757777e-20
2019-09-30,0.11941035967875611,0.3411720930953187,0.06530088745267058,0.07047439626964123,0.13495551842756126,0.057914829381695426,0.11291409041275863,6.052161644522413e-20,0.020407889065329574,6.052161644522413e-20,0.07744993621626842,6.052161644522413e-20
2019-12-31,0.1282047843770736,0.30615994027134147,0.08515622447914492,0.07985742671392489,0.13989892936533221,0.059555696330171555,0.10848591524959864,5.907178030590558e-20,0.02218736068289813,5.907178030590558e-20,0.07049372253051456,5.907178030590558e-20
2020-03-31,0.13463157892582014,0.31226758290727163,0.10341483772350887,0.07355517999813989,0.1584815294920347,0.05349125214082853,0.07681864914376753,6.82362971109366e-20,0.020757481581146917,6.82362971109366e-20,0.06658190808748195,6.82362971109366e-20
2020-06-30,0.1278057209134669,0.3170738886455625,0.09552272747470607,0.08073332542111301,0.1165181381558127,0.05950628375470108,0.10672686004881078,6.302883953884824e-20,0.022312209196752274,6.302883953884824e-20,0.07380084638907462,6.302883953884824e-20
2020-09-30,0.12242668965813767,0.3118490428376635,0.09235437334941457,0.0801557884729886,0.10215871417972432,0.06753048257379325,0.13136757722281925,5.78683242160824e-20,0.0217006215810309,5.78683242160824e-20,0.07045671012442788,5.78683242160824e-20
2020-12-31,0.10186055157946297,0.2677420625300551,0.08000762831707171,0.07875368398706084,0.1047807842281835,0.06682757083465649,0.11305821838337518,4.671923733274456e-20,0.026013271346872167,0.07228437775512105,0.08867185103814118,4.671923733274456e-20
2021-03-31,0.10917219393357819,0.2473899079933909,0.09864693181779786,0.06646535645380916,0.08778961132867275,0.06666948239102302,0.08585529316758853,4.223586534530354e-20,0.032310436989157205,0.054897333058518634,0.08322606831397804,0.06757738455248566
2021-06-30,0.11016570607387698,0.26756300212361,0.0899403785422414,0.060021192774342126,0.07931458655658753,0.07309980086406119,0.10962626267576567,3.55130611001506e-20,0.026016868561970326,0.048606158518798515,0.08770341082354291,0.0479426324852033
2021-09-30,0.1396967318930534,0.2577159962991332,0.08323471698788273,0.05697641373821718,0.08073047008483536,0.06388230020230867,0.1135174119021946,2.7606871306097095e-20,0.025160902508376888,0.04487519016303127,0.0933516966879429,0.040858169533023694
2021-12-31,0.10998718774030254,0.2486037537699104,0.12531957667683163,0.0605595837707714,0.08007581733998023,0.06448098539082202,0.11581297878710699,2.6418664448273805e-20,0.026883632942563424,0.04377118298050459,0.08276381077293431,0.04174148982827261
2022-03-31,0.10606269893382572,0.2538807746140612,0.1391100933542921,0.0729950945236359,0.08419830166877322,0.05752383072593224,0.10266895863810524,2.4030903357222935e-20,0.02392036120177971,0.041220016281417644,0.08333475115663139,0.03508511890154548
2022-06-30,0.08995208150388465,0.25431577288755175,0.15857695864747978,0.07506402377962135,0.07868704985329479,0.05321917362865551,0.08508949649057634,2.7470058940582565e-20,0.029173202594898685,0.04319018475015611,0.09976798513518194,0.03296407072869908
2022-09-30,0.1035554733570644,0.2783751204468137,0.11276977636206162,0.0825275748315213,0.08644648879724375,0.05392324916689361,0.0884228190484034,2.997028116948952e-20,0.02679343136552363,0.04896724359158215,0.08824854186340282,0.02997028116948952
2022-12-31,0.08571227867000872,0.31095115460468326,0.12592776922068644,0.08897281088147305,0.08954193976399169,0.05412763452810641,0.07108800166331776,3.138809191035963e-20,0.02372939748423188,0.05387251211705901,0.06971050386173971,0.02636599720470209
2023-03-31,0.09804025088264094,0.3269874619303922,0.0999333771392834,0.08733462220597313,0.08965882143309431,0.04750271812071438,0.07574241504260051,3.0464520881890606e-20,0.02175166790966989,0.04897963809306844,0.07360450636067208,0.030464520881890604
2023-06-30,0.1073408829546534,0.3074594792123252,0.09036790256787515,0.0849609346900528,0.0858208234982683,0.05367164038814019,0.07638776324484732,2.99727703376037e-20,0.022479577753202775,0.05272629921169218,0.0870135599210829,0.03177113655785992
2023-09-30,0.11555591685825281,0.2910810288901389,0.07277345350683444,0.0771987232626222,0.07909904156445274,0.05479936089022571,0.08030214560342185,0.05261140528712378,0.021214276325453134,0.04586051341773278,0.08206700367948895,0.027437130714252717
2023-12-31,0.10209538062225718,0.2804278911201701,0.08400152295249635,0.07135181620398,0.08041175515720238,0.05132261090812734,0.07187461229420314,0.055228948760232516,0.019472474717525282,0.054538302215426736,0.08771063082676087,0.04156405422161829
2024-03-31,0.10651787517108065,0.2974235336817548,0.0775338277384807,0.07471194629167482,0.08918826874231967,0.04692211865272602,0.07902908806152638,0.04563689671384191,0.017928780851866465,0.050395847107594614,0.07994084806230219,0.03477096892483193
2024-06-30,0.10400127892436536,0.31292856801331764,0.06461026739867923,0.06704981663326184,0.10005522490532891,0.04869727214360753,0.07606088272484247,0.030229854207962956,0.01859136033789722,0.04826045075030247,0.09701793068687418,0.03249709327356018
2024-09-30,0.11116688266152829,0.29311940078055393,0.07681779099234798,0.07249817313018335,0.10633895121119856,0.048534379249653155,0.07660792830071311,0.03352439163496028,0.016091707984780934,0.0530825217147961,0.08009033035578068,0.0321275419835036
2024-12-31,0.10528689065076956,0.30592478286305624,0.07053773814946643,0.07104185765531233,0.10568837588153025,0.049774698966151165,0.07478654647083621,0.03620747832042421,0.015541363771382084,0.0561193632441455,0.07984640230658349,0.029244501720342632
