,PVC_capital,PVS_capital,PVE_capital,PVD_capital,PVB_capital,PTV_capital,TOS_capital,PEQ_capital,POS_capital
2016-12-31,0.0253754123504507,0.38141036458509125,0.00942723652592688,0.5505043623625551,0.013605221084842632,6.944557293500466e-20,6.944557293500466e-20,0.0014271065238143457,0.018250296567319222
2017-03-31,0.02475419211098135,0.40466974052549376,0.011157403081132309,0.5271086101439264,0.012813779646850685,6.86609420377373e-20,6.86609420377373e-20,0.0008479626341660557,0.01864831185744945
2017-06-30,0.02941280301345793,0.4706486834943945,0.013029283806829637,0.44364698813987996,0.017166029131052595,8.365511272442785e-20,8.365511272442785e-20,0.0017358435890318777,0.024360368825353387
2017-09-30,0.03775512501958279,0.4557349656452728,0.014965541587356721,0.43859494504102303,0.024180751016644273,8.100428464063179e-20,8.100428464063179e-20,0.003462933168387009,0.025305738521733366
2017-12-31,0.032969325768051894,0.43687344180078674,0.01015065448523765,0.47944729807009373,0.020413515941059807,5.363621920865338e-20,5.363621920865338e-20,0.0031109007141018954,0.01703486322066831
2018-03-31,0.025492263461665336,0.4651129115983882,0.010142330285578687,0.45625413221941213,0.01851009605005231,6.241434021894577e-20,6.241434021894577e-20,0.004191122945702209,0.020297143439201165
2018-06-30,0.0242889932018251,0.49520596616817275,0.010538297876824807,0.4235958001802535,0.02328801703118639,8.106382982172929e-20,8.106382982172929e-20,0.00580011702374473,0.017282808517992684
2018-09-30,0.023604810239389155,0.4679133283326144,0.0077101081573972335,0.45273378161615524,0.02461066523841197,5.711191227701655e-20,5.711191227701655e-20,0.004671754424259953,0.018755551991772236
2018-12-31,0.021566761814145262,0.5081838065672368,0.008369764126655289,0.4156458344353523,0.02193547782313818,7.439790334804701e-20,7.439790334804701e-20,0.006651172559315402,0.01764718267415675
2019-03-31,0.022540690237680332,0.4985575991863044,0.006082131228687199,0.4275736382342107,0.02153186740454875,6.23808331147405e-20,6.23808331147405e-20,0.006422106769162534,0.017291966939406066
2019-06-30,0.02067157870655816,0.5186993695812491,0.003777955709804644,0.4148634774675746,0.02071482176883654,5.812239553545606e-20,5.812239553545606e-20,0.0069979364224689086,0.014274860343508007
2019-09-30,0.021957763688840982,0.4700318425107921,0.00374744746363462,0.45830532990758677,0.022690464616930823,5.995915941815393e-20,5.995915941815393e-20,0.007917607001167226,0.015349544811047403
2019-12-31,0.024158687465145885,0.4746947443527385,0.004385226939542023,0.4275434349981859,0.02370937036641742,0.015516956862994853,6.746502983910806e-20,0.011074384648089585,0.018917194366885895
2020-03-31,0.02980440395934853,0.497435672546375,0.008935657355757525,0.39050870972269625,0.020162142314228026,0.016496598195244662,1.3747165162703887e-19,0.01334162379040412,0.02331519211594579
2020-06-30,0.031223136770888484,0.4741882089489227,0.004707413909327875,0.4164925584209887,0.029669194663556674,0.00991034507226921,9.910345072269212e-20,0.012402796857944917,0.021406345356101496
2020-09-30,0.028031874234500195,0.47076661337420644,0.004089265832152253,0.41875158243826477,0.02965966030511777,0.006715004945428963,8.608980699267901e-20,0.014368388787078128,0.02761761008325142
2020-12-31,0.02965253343538539,0.4730751369374766,0.002166316002000686,0.42217741868098463,0.022701011069193932,0.005322947890630257,6.189474291430531e-20,0.010095032569323195,0.0348096034150053
2021-03-31,0.028537162218987822,0.4639929380653332,0.00223175628507205,0.4471503667174943,0.01742517719909982,0.006201933255358117,4.6984342843622107e-20,0.00803667184340156,0.02642399441525307
2021-06-30,0.028621294394079445,0.5270502908250059,0.002557284123344462,0.39496626750445,0.013984252500096857,0.005285053854911888,4.2621402055741043e-20,0.006531729865042314,0.021003826933069184
2021-09-30,0.02664197421778187,0.4960746237131147,0.0027538632078249682,0.3776881294765767,0.012669973846561116,0.005350362803774224,0.05011204879279096,0.007386254532416254,0.02132276940915904
2021-12-31,0.03564814746577934,0.4267451857145474,0.004913055413018459,0.4381573010144125,0.014932880995340108,0.006316785531023734,0.043395965665603546,0.005929005085924776,0.02396167311435003
2022-03-31,0.0512457857670195,0.4442605028596476,0.0037360539929924843,0.4139366481922628,0.014525777924754778,0.008621663060751886,0.03861183062880864,0.005231912534032936,0.01982982503972934
2022-06-30,0.043402310541742505,0.47476721457112353,0.004569424469620215,0.37395862259090473,0.013769793465134562,0.006865281642161105,0.05295717771659753,0.008775523969216971,0.02093465103349906
2022-09-30,0.043328637088019956,0.425421686459124,0.003086141988017008,0.4383046368586499,0.014794367372749403,0.0058935356674389315,0.04140368091123618,0.007060296444844072,0.02070701720992057
2022-12-31,0.032937600011566634,0.4396204912044709,0.003904631843865776,0.44279930776901694,0.010891914748008671,0.004194690209410091,0.03990979988070122,0.007606222831850532,0.018135341501109157
2023-03-31,0.03466737172958248,0.45439031028491883,0.0028164704706862146,0.43838926170325065,0.010992392888074087,0.0030301337477727547,0.03355135016155663,0.007416058108331011,0.014746650905827408
2023-06-30,0.03485947359643471,0.4671420969480222,0.001957074498655443,0.4264715838106038,0.015556393774912386,0.0034444511176335794,0.03027641219207938,0.006264204055296341,0.014028310006362215
2023-09-30,0.030502248820257077,0.5004460695670283,0.0015487548883632131,0.40386515154510255,0.012590532466999269,0.0029848730575727377,0.027898988967177032,0.005633243916673831,0.014530136770825779
2023-12-31,0.03263292580264821,0.479800235186535,0.00141318649975669,0.42347062130623336,0.012326216418449209,0.0023149340757919108,0.029673147997557804,0.004909813667726099,0.013458919045301807
2024-03-31,0.029607900212665777,0.45519650116266747,0.000990167855977907,0.44516374913295337,0.012992982606142095,0.002277386068749186,0.03638148999023224,0.004715674414094782,0.01267414855651721
2024-06-30,0.029962547191770862,0.47705360420026177,0.0013777887822742014,0.4010597851110433,0.01471779027930434,0.002204462051638722,0.04504116782780025,0.005035191731583899,0.02354766282432271
2024-09-30,0.02682811756913246,0.48623601302156727,0.0012766442680280938,0.39316634792263677,0.016269554551750026,0.0022979596824505687,0.04654134343523218,0.005119343514792656,0.022264676034409955
2024-12-31,0.024690805965931196,0.4759413399585684,0.001266974854573645,0.38281391835971773,0.01699952331934295,0.002444516190000915,0.06607646506264668,0.0059175178501851425,0.023848938439033317
