,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2016-09-30,3.3825132215854024,1.4816379917768354,2.6670009745773005,-0.13592974404522473,-0.004438689369008451,34.77786386693916,55.49026907512345,16.113782574773836,-0.12026985802487423,-3356.8076033227426,5793.17424956198,0.2095500935432229,0.3836319607361433,0.9938825701844138,0.4855300917614473,0.03875339414767681,1019.2985041183315,0.058708166741807205,-0.021593196316583747,-0.1473197045491973,1.9031515832156733,0.3491138365679761,-0.5562736051531114,3.458845571342568,70.90230739949841,0.13113143025293117,0.09111477874935546,73.69221175054062,10.660393826417254,-0.12369839667185901,1.3680441232448837,0.9014548468347836,-0.021593196316583747,1.8313209166965883,2.51117686283297,0.0436645834289463,-0.04114843001266141
2016-12-31,3.1992157044379086,1.646177717051481,2.9622534602410004,-0.09747493882340233,0.02517258362088264,31.881676354569528,47.36669677250025,13.752252147935435,6.253923407671584,-960.1295322788576,3762.485815520715,0.17356062465744967,0.2897014890808457,0.8868252240568768,0.45227299043560826,0.08736768486139737,4426.18951236269,0.12484722447372687,-0.24584584269315987,-0.41838997089769425,3.4570636776977532,0.27129524559412704,-0.7319546405440669,5.518701898211405,53.57340805755618,0.12725031842708598,0.045008159452845774,65.49612097913435,7.5187111615448154,-0.1095668310908347,1.309563619801919,0.8566051426939316,-0.24584584269315987,0.7537883173926805,4.6620967555174735,0.08336468971692793,-0.08148170105679198
2017-03-31,7.426326062972079,2.5194687261308664,9.581369770007637,0.15348999405923786,0.07504413137571077,22.500755325468894,67.707969108037,14.48631078672664,6.844946108800815e-16,722.5815496902316,5202.660256301451,0.25545484172112365,0.4894576932869387,1.1195451073580582,0.3666010353899686,0.03480558431638801,7710.45910209624,0.11852742086056182,0.03351173724857846,0.06532597810404821,1.44469320207078,0.27752864296019686,0.46443011117711963,3.184895187982687,91.9766952389035,0.1384984978358652,0.035196808962063994,75.61929899007043,15.536058728676908,-0.24055193074768735,1.9475193074768733,0.9929576508529238,0.03351173724857846,3.8051379105490963,2.123488076041755,0.06164182296528897,0.10260996350674702
2017-06-30,12.766893947249084,4.091571546536511,8.645824187767573,0.18280967645622181,0.07484675550514129,25.572866995886216,73.63278736856309,18.28469953615273,2.6504348021622057,1100.3107114615125,5491.603863436767,0.24833817626696014,0.4325311469757483,1.0469042910557302,0.4065821839173795,0.07888252283944988,5757.540676270083,0.11101614783148589,-0.05982969072267982,-0.03466135526353597,1.3657888589207214,0.25298889789738394,1.1494506414284449,3.1593101130697994,106.15338441108386,0.1197777730583813,0.029950690773899127,80.8644574061281,11.650092257260965,-0.21781798648059472,1.7899720042624478,0.981407132479428,-0.05982969072267982,0.8221641042425848,2.1779029805903716,-0.15611827668183675,0.05312223056444953
2017-09-30,8.697673613324698,3.203250512527136,6.405778152083831,0.15348206943526388,0.08028535162213582,25.844785644542718,64.19479319404228,13.445979472071883,6.467290534940762e-16,1091.9244291739506,5259.360871447122,0.23851323779581457,0.45271033744585326,1.043474715887167,0.3320727570436831,0.055680228028439804,5635.50989655508,0.10494208560796958,0.030244291739505356,0.009084130951941565,1.9023618189931986,0.31576583801122693,0.7553297789170998,3.571988605288676,99.1386718920388,0.11915180063952652,0.036587347038750745,76.5935993665131,15.862278271198157,-0.20783689658527746,1.8918211741652768,0.9869552700539872,0.030244291739505356,-0.29202833243298554,2.6497062405840963,0.061948977462227335,0.017884319521663708
2017-12-31,8.72172626639155,2.602031122163571,8.070340367882235,0.523954797957337,0.07321775517299935,25.656005927751128,67.08802019434263,17.493979260221955,6.156846354072867,1223.1350915662601,5487.220741101208,0.2373039589644372,0.4693671111254863,1.0547813443439744,0.37660148149672784,0.03309166990718042,5787.550780259355,0.12908113756366785,-0.21507854049711073,-0.24025585846906128,0.2191699972287176,0.31414228807958955,1.2830027764280745,1.4326886364922773,119.77754908367585,0.19595525224183524,0.055610748753474284,75.19645893319593,12.162701037429958,-0.2384419173746179,1.773985229138014,0.9352217503772843,-0.21507854049711073,0.8049445706754212,0.497466886114993,0.026034278632236126,-0.08620453093655381
2018-03-31,7.68740423712631,2.420083824897077,5.823089190550767,1.250168744692513,0.08315827342349301,28.767489860784984,68.1097329295244,18.83521388643949,-2.1558907161091483,1207.1505661211074,5706.870874986721,0.29892897433440935,0.6952793587545272,1.1973384845694282,0.3326320770026376,0.05774505682718008,5778.375542316844,0.11114550482309248,0.042566910998449545,0.026355588445954713,0.1592353699094558,0.2980091749875684,1.5659943469354904,1.2162838106894667,121.94089308513031,0.10084578291424144,0.07676021204531577,78.72971260873221,17.481873892474464,-0.11415292992846014,1.8886863109680794,0.9187282364511217,0.042566910998449545,0.7870500896448034,0.297555574238345,0.023100664173165995,-0.0038330110552148126
2018-06-30,6.316689772364777,2.115769374392436,5.064589018418542,0.5317279262472163,0.07456467201751295,36.71585887432667,71.13786769430328,21.847484250581672,2.2399292164371465,1254.0202765729382,5611.190817790531,0.26896279403071716,0.5979800530045217,1.1649096761221127,0.3860984831877699,0.04217483328369514,3198.605113288472,0.047658560774537256,-0.04108171253286327,-0.040801255720361085,0.21102754088347914,0.30531088376649584,1.4996964258987409,1.3906945769389505,121.49690151832402,0.16649185051696794,0.06984038926424098,86.00624231804828,12.84840646274187,-0.06251429806804111,1.7323524120383458,0.9322750066898176,-0.04108171253286327,0.8799512588195985,0.5192624419270906,-0.25084316043619115,0.0024762424541123875
2018-09-30,7.05363386080961,2.1679678458746,6.485285787377116,0.5013156985101537,0.08364611123293011,36.37089013144271,71.88891782090171,17.820825567372,4.625705027470186,1407.671247061117,6204.278983785892,0.30412621514453825,0.7015495376968901,1.2433524893712924,0.3951846471512627,-0.01559181954951333,3480.5527308774626,0.08874057425477226,0.025035814786390387,0.010357097175017364,0.294410639671576,0.3165512431629086,1.4613384558223395,1.2501225803700864,132.51268440351328,0.11067890490808757,0.043474590079060536,91.02785543739112,16.624812703285457,-0.19327058893396196,1.9958033354042566,0.9745421128287592,0.025035814786390387,1.144647882176662,0.35328500164455656,0.017335163663828285,0.06031324233453935
2018-12-31,9.165204380347324,2.3656508518914876,2.1216217363977643,0.2253704199154054,0.0800360263183226,36.728024653609424,70.414791033198,21.100515551478708,4.381965324137775,1871.5412611051659,6676.997082505224,0.31057085081565283,0.7520950471951848,1.2922293567072654,0.4036823285600231,-0.1063617028203865,3868.425557877095,0.12630752178565968,0.04337681264049557,0.024848066611176223,0.24178189426240182,0.25213963772670395,-2.922663739262884,1.506455010277056,141.41775241071986,0.10996169461006643,0.049970718884302434,85.99452456584395,14.436380636101628,-0.24592745474414948,1.9382746720118684,1.05154807000855,0.04337681264049557,0.5929195898237329,0.5207303504391106,-0.09250871284830159,0.013982040632591007
