,VTC_capital,VIE_capital,ST8_capital,SMT_capital,SAM_capital,PMT_capital,POT_capital,ONE_capital,LTC_capital,KST_capital,ELC_capital,CKV_capital,PMJ_capital,VEC_capital,VTE_capital
2019-06-30,0.00516701260047251,0.011504808671648024,0.06817884969508872,0.03622886809150338,0.6086269371785562,0.004410402241948834,0.05724251392251037,0.0058631663173490944,0.0020753772505718,0.0073766126188802034,0.07441310248821942,0.00966403928418434,0.0015308163067804606,0.08892540349732649,0.018792089834960137
2019-09-30,0.004621328936575436,0.011072951645071516,0.058644740195986894,0.03140593049920774,0.5808305929587317,0.004585287564554222,0.061454013163351216,0.005128513545259496,0.0033957051711552646,0.007138797060587283,0.06619410493423751,0.009527080748739963,0.004728801702542306,0.1388417866272614,0.01243036524673793
2019-12-31,0.0038259995300828913,0.01114687095311211,0.06779898476047888,0.02576129303703056,0.6112856604247833,0.0042731857647900955,0.05736966630421122,0.005024616006688123,0.003217292949604122,0.0062160198020884,0.06372294561529089,0.0098879302337018,0.003859440142942228,0.11583566015157558,0.010774434323619892
2020-03-31,0.0074640451068923724,0.007088108769091016,0.04028579363920274,0.01714269700374182,0.6952316007073072,0.003818146150833406,0.05445563165165238,0.004463845291032826,0.0033538078135975495,0.007587078817445543,0.04611918640085614,0.011373783020026472,0.003375224792841991,0.06486610628608848,0.03337494454939018
2020-06-30,0.006953307352528224,0.006603094985871583,0.040256593172302145,0.009782598775275516,0.6895999874348048,0.006604156235467513,0.05632943055256931,0.005583658624021979,0.002733778959113661,0.008685266693084706,0.05922940119840549,0.007564587119783453,0.0041032154377007215,0.06600547986841353,0.02996544359065735
2020-09-30,0.0069229706882326025,0.0060199745115066105,0.033015625571750036,0.007682353093932456,0.7131899215396655,0.003614935674801764,0.051523899495541876,0.005315283377512602,0.0019909196750472844,0.0072239694138079335,0.06718960440898211,0.007216100166080474,0.0053294480234220305,0.07151965797101678,0.012245336388699919
2020-12-31,0.006468894744784835,0.004144271734209396,0.035701488610024416,0.011173281636348863,0.65213269408619,0.004038633435102097,0.06609823200956548,0.006006872293744124,0.002847977587654636,0.008091197195361203,0.08767437091038545,0.006516296545666315,0.005269145490637661,0.09152223628153187,0.012314407438793633
2021-03-31,0.00821948795921192,0.003687536539665291,0.032917202926065404,0.009657833794361477,0.6509138961939526,0.00545779509416474,0.04568826784943282,0.008132894547472815,0.0017421974687867761,0.009007092052067603,0.11328931702416146,0.007244236115271497,0.005429045392851757,0.07766551048107374,0.020947686561459972
2021-06-30,0.0075815744264794436,0.006954955228662495,0.03274059415238274,0.008070095729460701,0.6343181554540384,0.005024346658859534,0.0443056023553977,0.007500441913263475,0.0015087195010799255,0.010367699454789513,0.1345915892858129,0.007160375847230585,0.005443819014422945,0.0756085974225409,0.018823433555578882
2021-09-30,0.008314428017113176,0.0038932134249986716,0.02681228095373268,0.020059803377171805,0.5592147300874999,0.004938896057704379,0.04357826178905738,0.007571833604567134,0.001690734660965291,0.01096715677238188,0.19335812700527355,0.0064123515235272235,0.0044581110592141655,0.0916389495505134,0.01709112211627957
